start_date,end_date,pub_date,Polling,Publisher,Con,Lab,LD,SDP,Green,Referendum,method,UKIP,BNP,TIG/CUK,BXP,BXP/Reform
1990-06-29,1990-06-01,1990-06-02,G9000,NA,33.7,49.5,8.8,NA,5.3,NA,NA,NA,NA,NA,NA,NA
1990-06-01,1990-06-26,1990-06-06,ICM,GU,35,51,8,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-07-06,1990-07-07,1990-07-12,NOP,Ind,37,50,7,NA,3,NA,NA,NA,NA,NA,NA,NA
1990-07-14,1990-07-16,1990-07-21,Harris,OB,37,49,7,NA,5,NA,NA,NA,NA,NA,NA,NA
1990-07-18,1990-07-19,1990-07-22,MORI,ST,38,46,10,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-07-19,1990-07-23,1990-07-29,ICM,SC,36,52,7,NA,3,NA,NA,NA,NA,NA,NA,NA
1990-07-20,1990-07-21,1990-07-29,Gallup,DT,33.5,48,11.5,NA,4.5,NA,NA,NA,NA,NA,NA,NA
1990-07-24,1990-07-30,1990-07-03,ASL,NA,35,46,9,NA,7,NA,NA,NA,NA,NA,NA,NA
1990-07-27,1990-07-29,1990-07-30,G9000,NA,34.4,47.9,9.9,NA,4.9,NA,NA,NA,NA,NA,NA,NA
1990-07-01,1990-07-31,1990-07-03,ICM,GU,38,49,9,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-08-01,NA,1990-08-12,NOP,Ind,36,48,7,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-08-10,1990-08-11,1990-08-16,MORI,ST,35,50,10,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-08-11,1990-08-13,1990-08-18,Harris,OB,38,46,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-08-16,1990-08-20,1990-08-26,ICM,SC,37,51,6,NA,3,NA,NA,NA,NA,NA,NA,NA
1990-08-22,1990-08-23,1990-08-26,Gallup,DT,35.5,48,8.5,NA,4.5,NA,NA,NA,NA,NA,NA,NA
1990-08-24,1990-08-25,1990-08-26,ASL,NA,38,45,6,NA,6,NA,NA,NA,NA,NA,NA,NA
1990-08-29,1990-08-03,1990-08-08,G9000,NA,35.1,47.6,9.3,NA,4.5,NA,NA,NA,NA,NA,NA,NA
1990-08-31,1990-08-02,1990-08-03,ICM,GU,37,50,8,NA,3,NA,NA,NA,NA,NA,NA,NA
1990-08-01,1990-08-28,1990-08-08,Harris,OB,38,46,10,NA,3,NA,NA,NA,NA,NA,NA,NA
1990-09-07,1990-09-08,1990-09-13,MORI,ST,38,45,12,NA,3,NA,NA,NA,NA,NA,NA,NA
1990-09-19,1990-09-20,1990-09-23,ICM,SC,35,44,12,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-09-20,1990-09-24,1990-09-30,NOP,Ind,39,44,12,NA,3,NA,NA,NA,NA,NA,NA,NA
1990-09-21,1990-09-22,1990-09-30,NMR,IoS,33,52,10,NA,3,NA,NA,NA,NA,NA,NA,NA
1990-09-22,1990-09-24,1990-09-29,Gallup,STel,31.5,46,14,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-09-28,1990-09-29,1990-09-30,ASL,NA,32,45,15,NA,5,NA,NA,NA,NA,NA,NA,NA
1990-09-26,1990-09-01,1990-09-07,Gallup,DT,31.5,46,14,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-09-01,NA,1990-09-01,G9000,NA,34.6,46.6,11.1,NA,4.5,NA,NA,NA,NA,NA,NA,NA
1990-09-01,NA,1990-09-08,ICM,GU,36,49,9,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-09-29,1990-09-02,1990-09-08,MORI,ST,33,49,14,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-10-01,NA,1990-10-07,NOP,Ind,35,45,15,NA,3,NA,NA,NA,NA,NA,NA,NA
1990-10-12,1990-10-13,1990-10-15,Harris,OB,32,48,14,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-10-18,1990-10-22,1990-10-28,ICM,SC,34,44,14,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-10-20,1990-10-22,1990-10-27,ASL,NA,36,40,13,NA,7,NA,NA,NA,NA,NA,NA,NA
1990-10-24,1990-10-25,1990-10-28,Gallup,DT,31.5,46,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-10-26,1990-10-27,1990-10-28,G9000,NA,34.3,46.4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-10-26,1990-10-28,1990-10-29,NMR,IoS,32,49,13,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-10-24,1990-10-29,NA,NOP,MoS,30,51,12,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-10-03,1990-10-30,NA,ICM,GU,33,49,13,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-02,1990-11-03,1990-11-04,Harris,ITN,34,49,13,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-03,NA,1990-11-04,NOP,Ind,32,46,15,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-11-09,1990-11-10,1990-11-15,MORI,TT,41,45,10,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-01,NA,1990-11-15,Gallup,STel,35,48,11,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-14,NA,1990-11-15,NMR,IoS,42,44,11,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-11-15,NA,1990-11-16,Harris,OB,34,49,13,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-01,NA,1990-11-18,MORI,ST,38,46,12,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-11,1990-11-17,1990-11-18,MORI,ST,37,48,11,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-14,1990-11-15,1990-11-18,ICM,SC,37,49,9,NA,3,NA,NA,NA,NA,NA,NA,NA
1990-11-15,1990-11-19,1990-11-25,G9000,NA,33.5,44.4,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-11-16,NA,1990-11-18,Gallup,DT,36,44.5,10.5,NA,3,NA,NA,NA,NA,NA,NA,NA
1990-11-16,NA,1990-11-18,NOP,Ind,40,45,11,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-01,NA,1990-11-21,Gallup,STel,43,41.5,11,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-17,1990-11-19,1990-11-20,ICM,SC,46,40,10,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-17,1990-11-19,1990-11-24,ASL,NA,44,37,12,NA,5,NA,NA,NA,NA,NA,NA,NA
1990-11-23,NA,1990-11-25,Gallup,DT,44,41,10,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-23,NA,1990-11-25,NOP,Ind,49,38,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-11-23,1990-11-25,1990-11-26,Harris,ITN,49,38,9,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-24,1990-11-26,1990-11-26,NMR,IoS,48,40,8,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-26,NA,1990-11-27,ASL,NA,49,36,9,NA,3,NA,NA,NA,NA,NA,NA,NA
1990-11-27,1990-11-28,1990-11-29,G9000,NA,48.4,36.9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-11-30,1990-11-01,1990-11-02,Gallup,DT,43,40.5,10.5,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-30,1990-11-02,1990-11-03,ICM,GU,45,43,9,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-11-01,NA,1990-11-14,NOP,Ind,47,42,7,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-12-04,1990-12-10,1990-12-14,Harris,OB,44,40,10,NA,3,NA,NA,NA,NA,NA,NA,NA
1990-12-07,1990-12-08,1990-12-13,MORI,ST,41,45,9,NA,2,NA,NA,NA,NA,NA,NA,NA
1990-12-08,1990-12-10,1990-12-13,G9000,NA,44.6,39.1,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990-12-12,1990-12-13,1990-12-16,ASL,NA,39,43,11,NA,4,NA,NA,NA,NA,NA,NA,NA
1990-12-27,1990-12-28,1990-12-30,Gallup,DT,43,41.5,10,NA,2.5,NA,NA,NA,NA,NA,NA,NA
1990-12-01,1990-12-18,1990-12-08,MORI,TT,44,42,11,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-01-04,1991-01-05,1991-01-06,Harris,ITN,47,41,7,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-01-04,1991-01-07,1991-01-08,ICM,GU,43,43,10,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-01-09,1991-01-10,1991-01-11,NOP,Ind,43,44,8,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-01-10,1991-01-11,1991-01-12,Harris,OB,46,41,9,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-01-11,1991-01-12,1991-01-17,MORI,ST,46,41,9,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-01-12,1991-01-14,1991-01-15,ASL,NA,51,34,8,NA,4,NA,NA,NA,NA,NA,NA,NA
1991-01-16,1991-01-17,1991-01-20,Gallup,DT,42,42.5,10,NA,3,NA,NA,NA,NA,NA,NA,NA
1991-01-18,1991-01-21,1991-01-27,G9000,NA,44.3,39.2,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-01-25,1991-01-27,1991-01-28,ASL,NA,46,39,8,NA,5,NA,NA,NA,NA,NA,NA,NA
1991-01-30,1991-01-04,1991-01-08,ICM,GU,44,42,9,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-01-04,1991-01-28,1991-01-08,NOP,Ind,45,42,9,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-02-01,1991-02-03,1991-02-04,NMR,IoS,47,40,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-02-08,1991-02-09,1991-02-14,Harris,OB,46,42,8,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-02-09,1991-02-13,1991-02-16,ICM,DM,44,43,9,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-02-15,1991-02-16,1991-02-17,MORI,ST,44,41,11,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-02-13,1991-02-14,1991-02-17,Gallup,DT,45,36.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-02-22,1991-02-23,1991-02-24,Harris,OB,47,39,9,NA,3,NA,NA,NA,NA,NA,NA,NA
1991-02-22,1991-02-25,1991-02-03,G9000,NA,44.3,39.3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-02-25,1991-02-01,1991-02-08,NOP,Prov Cap,43,38,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-02-02,NA,1991-02-03,Harris,OB,47,39,9,NA,3,NA,NA,NA,NA,NA,NA,NA
1991-02-01,NA,1991-02-08,MORI,SE,41,37,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-03-01,1991-03-04,1991-03-05,ICM,GU,39,40,16,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-03-02,1991-03-04,1991-03-10,ASL,NA,44,32,19,NA,3,NA,NA,NA,NA,NA,NA,NA
1991-03-08,NA,1991-03-10,NOP,Ind,38,39,18,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-03-08,1991-03-09,1991-03-13,Harris,OB,40,39,17,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-03-08,1991-03-10,1991-03-12,ICM,DE,37,40,14,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-03-09,1991-03-11,1991-03-15,MORI,ST,40,40,16,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-03-13,1991-03-14,1991-03-17,MORI,SE,38,44,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-03-21,NA,1991-03-23,ICM,DM,41,40,15,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-03-21,1991-03-25,1991-03-31,Gallup,DT,39.5,34.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-03-22,NA,1991-03-24,G9000,NA,41.2,36.2,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-03-23,1991-03-24,1991-03-27,ICM,GU,39,43,13,NA,3,NA,NA,NA,NA,NA,NA,NA
1991-03-25,1991-03-30,1991-03-05,Harris,OB,40,40,14,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-03-01,1991-03-31,1991-03-05,MORI,ST,42,40,15,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-04-05,1991-04-06,1991-04-11,NOP,Ind,41,41,13,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-04-17,1991-04-18,1991-04-21,Harris,SE,41,41,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-04-18,1991-04-22,1991-04-28,Gallup,STel,42,39,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-04-20,1991-04-22,1991-04-26,NMR,IoS,47,37,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-04-25,1991-04-26,1991-04-28,ICM,DM,39,41,14,NA,3,NA,NA,NA,NA,NA,NA,NA
1991-04-26,NA,1991-04-28,ASL,NA,43,38,14,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-04-26,1991-04-27,1991-04-28,ICM,DE,38,40,19,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-04-26,1991-04-27,1991-04-01,Gallup,DT,38.5,38,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-04-26,1991-04-28,1991-04-29,G9000,NA,40.9,37.1,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-04-01,NA,1991-04-03,ICM,GU,37,43,16,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-04-29,1991-04-06,1991-04-09,ASL,NA,39,39,19,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-04-03,1991-04-30,1991-04-09,Harris,OB,38,42,16,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-05-10,1991-05-11,1991-05-15,NOP,Ind,36,44,15,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-05-10,1991-05-12,1991-05-18,ICM,DM,37,41,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-05-15,1991-05-16,1991-05-19,MORI,ST,37,43,16,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-05-18,1991-05-20,1991-05-24,Gallup,DT,33.5,41.5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-05-24,1991-05-25,1991-05-30,G9000,NA,37.2,38.3,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-05-24,1991-05-28,1991-05-02,NMR,IoS,37,43,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-05-27,1991-05-03,1991-05-07,Harris,TV-AM,36,43,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-05-01,1991-05-28,1991-05-07,ICM,GU,34,44,17,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-05-31,1991-05-01,1991-05-02,Harris,OB,35,45,16,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-06-01,1991-06-02,1991-06-03,NOP,Ind,37,45,14,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-06-07,1991-06-08,1991-06-11,ICM,DM,35,44,17,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-06-12,1991-06-13,1991-06-16,MORI,SE,39,38,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-06-15,1991-06-17,1991-06-21,MORI,ST,39,41,15,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-06-20,1991-06-21,1991-06-26,Gallup,DT,37,40.5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-06-21,NA,1991-06-23,NOP,MoS,41,42,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-06-21,1991-06-24,1991-06-30,ASL,NA,41,42,13,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-06-25,1991-06-01,1991-06-05,G9000,NA,36.5,39.7,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-06-27,NA,1991-06-30,ICM,GU,37,43,16,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-06-28,1991-06-30,1991-06-01,NOP,Ind,39,43,13,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-06-01,1991-06-30,1991-06-05,Harris,OB,39,42,14,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-07-05,1991-07-06,1991-07-10,ICM,DM,37,44,16,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-07-13,1991-07-15,1991-07-19,MORI,ST,38,43,15,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-07-17,1991-07-18,1991-07-21,ICM,DE,38,44,13,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-07-19,1991-07-20,1991-07-23,ASL,NA,35,43,15,NA,4,NA,NA,NA,NA,NA,NA,NA
1991-07-19,1991-07-22,1991-07-28,Gallup,DT,36,41,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-07-24,NA,1991-07-26,G9000,NA,38.3,39.1,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-07-26,1991-07-28,1991-07-29,ICM,GU,36,45,16,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-07-31,1991-07-05,1991-07-09,Harris,OB,40,41,14,NA,3,NA,NA,NA,NA,NA,NA,NA
1991-07-02,1991-07-30,1991-07-09,NOP,Ind,38,44,12,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-08-09,1991-08-10,1991-08-14,ICM,DM,40,43,12,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-08-14,1991-08-15,1991-08-18,MORI,ST,42,40,14,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-08-17,1991-08-19,1991-08-23,ASL,NA,39,40,15,NA,3,NA,NA,NA,NA,NA,NA,NA
1991-08-23,1991-08-24,1991-08-29,Gallup,DT,39.5,35,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-08-23,1991-08-27,1991-08-01,G9000,NA,38.5,38.8,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-08-29,1991-08-31,1991-08-01,NOP,IoS,41,39,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-08-24,1991-08-02,1991-08-06,Harris,OB,43,38,16,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-08-30,1991-08-03,1991-08-06,ICM,SE,41,37,17,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-09-06,1991-09-07,1991-09-08,ICM,GU,39,39,17,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-09-11,1991-09-12,1991-09-15,Gallup,STel,40,38.5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-09-12,1991-09-13,1991-09-15,MORI,ST,39,43,14,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-09-13,1991-09-14,1991-09-18,MORI,ST,39,39,17,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-09-18,1991-09-23,1991-09-29,NOP,Ind,39,42,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-09-19,1991-09-20,1991-09-22,Gallup,?DT,42,38,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-09-20,1991-09-24,1991-09-29,Harris,OB,40,41,13,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-09-21,1991-09-23,1991-09-27,NOP,MoS,40,39,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-09-24,1991-09-30,1991-09-30,ICM,DM,40,42,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-09-25,1991-09-26,1991-09-29,ASL,NA,41,37,14,NA,3,NA,NA,NA,NA,NA,NA,NA
1991-09-25,1991-09-26,1991-09-29,ICM,PA,40,42,13,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-09-27,1991-09-28,1991-09-02,G9000,NA,40.5,36.9,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-09-27,1991-09-29,1991-09-30,Gallup,DT,39.5,41.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-09-30,1991-09-03,1991-09-07,NOP,IoS,39,46,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-09-02,1991-09-30,1991-09-05,ICM,GU,41,43,12,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-10-03,1991-10-04,1991-10-05,Harris,OB,39,46,12,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-10-04,1991-10-05,1991-10-06,MORI,ST,39,45,12,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-10-11,1991-10-12,1991-10-16,NOP,Ind,39,45,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-10-16,1991-10-17,1991-10-20,Harris,OB,39,45,12,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-10-18,1991-10-21,1991-10-27,ICM,DM,40,42,13,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-10-19,1991-10-21,1991-10-25,ASL,NA,37,42,16,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-10-01,NA,1991-10-27,Gallup,DT,36,44,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-10-25,1991-10-26,1991-10-28,G9000,NA,41,40.4,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-10-25,1991-10-27,1991-10-28,MORI,ST,42,41,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-10-29,1991-10-04,1991-10-08,ICM,GU,41,43,13,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-10-01,NA,1991-10-08,Harris,OB,39,44,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-11-01,NA,1991-11-03,MORI,ST,41,43,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-11-08,1991-11-09,1991-11-13,ICM,DM,39,41,16,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-11-13,1991-11-14,1991-11-17,MORI,ST,40,42,15,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-11-22,1991-11-23,1991-11-24,NOP,Ind,40,41,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-11-22,1991-11-23,1991-11-27,Gallup,DT,39.5,37,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-11-22,1991-11-25,1991-11-01,G9000,NA,39.5,38.9,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-11-23,1991-11-25,1991-11-29,ASL,NA,39,40,16,NA,3,NA,NA,NA,NA,NA,NA,NA
1991-11-27,1991-11-02,1991-11-06,MORI,TT,40,43,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-11-01,NA,1991-11-06,ICM,GU,39,42,14,NA,1,NA,NA,NA,NA,NA,NA,NA
1991-12-29,1991-12-01,1991-12-02,Gallup,STel,42,41.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-12-04,1991-12-05,1991-12-07,NOP,IoS,41,40,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-12-06,1991-12-07,1991-12-11,MORI,ST,38,44,14,NA,2,NA,NA,NA,NA,NA,NA,NA
1991-12-01,NA,1991-12-15,G9000,NA,40.6,38.8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-12-13,NA,1991-12-15,NOP,IoS,40,45,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-12-27,NA,1991-12-29,Gallup,DT,42,37.5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991-12-04,1991-12-18,NA,ICM,GU,42,41,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-07,1992-01-08,1992-01-12,NOP,Ind,40,43,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-08,1992-01-13,1992-01-17,Gallup,DT,40,38,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-10,1992-01-11,1992-01-15,Harris,OB,42,43,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-11,1992-01-13,1992-01-17,ICM,SE,41,42,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-14,1992-01-21,1992-01-25,MORI,ST,42,39,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-15,1992-01-16,1992-01-19,Harris,DE,41,40,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-17,NA,1992-01-19,Gallup,DT,38,39.5,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-17,1992-01-21,1992-01-26,ICM,DM,41,40,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-21,1992-01-23,1992-01-25,ASL,NA,40,40,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-21,1992-01-28,1992-01-01,Gallup,DT,42.5,37.5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-24,1992-01-25,1992-01-29,G9000,NA,39,39.2,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-24,1992-01-26,NA,Harris,DE,39,40,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-29,1992-01-03,1992-01-07,Gallup,DT,40,37.5,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-01-03,1992-01-28,NA,NOP,IoS,38,42,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-05,1992-02-06,1992-02-07,ICM,GU,40,40,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-05,1992-02-11,1992-02-15,Harris,OB,39,40,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-07,NA,1992-02-09,Gallup,DT,39,37,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-07,1992-02-08,1992-02-12,ICM,SE,40,39,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-12,1992-02-13,1992-02-16,NOP,Ind,38,42,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-12,1992-02-18,1992-02-22,Gallup,DT,37,37.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-14,NA,1992-02-17,ICM,DM,38,41,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-15,1992-02-17,1992-02-21,ASL,NA,36,38,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-19,1992-02-25,1992-02-29,MORI,ST,39,40,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-21,1992-02-22,1992-02-26,Gallup,DT,38.5,38.5,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-21,1992-02-23,NA,G9000,NA,38.9,37.6,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-21,1992-02-25,1992-02-01,Gallup,DT,37,38,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-26,1992-02-02,1992-02-06,Harris,OB,39,40,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-01,NA,NA,NOP,MoS,38,41,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-03-04,1992-03-10,1992-03-14,ICM,GU,39,42,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-03-05,1992-03-06,1992-03-08,Gallup,SDT,41,38.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-03-06,1992-03-07,1992-03-08,NOP,MoS,41,40,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-03-06,1992-03-07,1992-03-11,MORI,TT,38,41,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1992-03-15,Harris,OB,40,43,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-03-11,NA,1992-03-15,Harris,DE,39,40,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-03-11,1992-03-12,1992-03-13,Harris,LWT,37,41,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
