start_date,end_date,pub_date,Polling,Publisher,Con,Lab,LD,SDP,Green,Referendum,method,UKIP,BNP,TIG/CUK,BXP,BXP/Reform
1950-10-01,NA,NA,Gallup,News Chron,42.5,45,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-11-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-12-01,NA,NA,Gallup,News Chron,43,44,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-01-01,NA,NA,Gallup,News Chron,51,38,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-02-01,NA,NA,Gallup,News Chron,51.5,37.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-03-01,NA,NA,Gallup,News Chron,51,36.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-04-01,NA,NA,Gallup,News Chron,50.5,38.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-05-01,NA,NA,Gallup,News Chron,49,40,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-06-01,NA,NA,Gallup,News Chron,48,41,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-07-01,NA,NA,Gallup,News Chron,49,39,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-08-01,NA,NA,Gallup,News Chron,50.5,38,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-09-26,NA,NA,Gallup,News Chron,52,41,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-03,NA,NA,Gallup,News Chron,50.5,43.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-10,NA,NA,Gallup,News Chron,50.5,44,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-17,NA,NA,Gallup,News Chron,50,45.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-19,NA,NA,Gallup,NA,50,46.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-19,NA,NA,Research Serv Ltd,Daily Graphic,50,43,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-19,1951-10-23,NA,NA,DE,50,46,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-22,NA,NA,Gallup,News Chron,49.5,47,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-11-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-12-01,NA,NA,Gallup,News Chron,47,45,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-01-01,NA,NA,Gallup,News Chron,44.5,48,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-02-01,NA,NA,Gallup,News Chron,41,47,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-03-01,NA,NA,Gallup,News Chron,41.5,48,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-04-01,NA,NA,Gallup,News Chron,43.5,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-05-01,NA,NA,Gallup,News Chron,43.5,49,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-06-01,NA,NA,Gallup,News Chron,40.5,49,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-07-01,NA,NA,Gallup,News Chron,40,50,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-08-01,NA,NA,Gallup,News Chron,40,48,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-09-01,NA,NA,Gallup,News Chron,41,48.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-10-01,NA,NA,Gallup,News Chron,41.5,48,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-11-01,NA,NA,Gallup,News Chron,43.5,46.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-12-01,NA,NA,Gallup,News Chron,44,45.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-01-01,NA,NA,Gallup,News Chron,42.5,46,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-02-01,NA,NA,Gallup,News Chron,42.5,46,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-03-01,NA,NA,Gallup,News Chron,46.5,44.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-04-01,NA,NA,Gallup,News Chron,47,45,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-05-01,NA,NA,Gallup,News Chron,47,45,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-06-01,NA,NA,Gallup,News Chron,46,46,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-07-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-08-01,NA,NA,Gallup,News Chron,45,46,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-09-01,NA,NA,Gallup,News Chron,44.5,47.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-10-01,NA,NA,Gallup,News Chron,45,47.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-11-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-12-01,NA,NA,Gallup,News Chron,45,47,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-01-21,1954-01-31,NA,Gallup,News Chron,45.5,46.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-02-18,1954-02-28,NA,Gallup,News Chron,45,44.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-02-26,NA,NA,Gallup,News Chron,45.5,47,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-03-20,1954-03-31,NA,Gallup,News Chron,46.5,45.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-03-31,NA,NA,Gallup,News Chron,46,45.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-04-16,1954-04-27,NA,Gallup,News Chron,46.5,46,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-05-01,NA,NA,Gallup,News Chron,45.5,47.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-06-01,NA,NA,Gallup,News Chron,45,47.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-07-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-08-01,NA,NA,Gallup,News Chron,42.5,48.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-09-01,NA,NA,Gallup,News Chron,43,48,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-10-01,NA,NA,Gallup,News Chron,45,45.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-11-01,NA,NA,Gallup,News Chron,46,47,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-12-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-01-01,NA,NA,Gallup,News Chron,46.5,45.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-02-01,NA,NA,Gallup,News Chron,46.5,44.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-03-01,NA,NA,Gallup,News Chron,46.5,44.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-04-01,NA,NA,Gallup,News Chron,48,44,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-04-01,NA,1955-04-28,Gallup,News Chron,47.5,47,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-05-01,1955-05-03,1955-05-05,Gallup,News Chron,48.5,47.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-05-08,1955-05-10,1955-05-12,Gallup,News Chron,49.5,47,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-05-15,1955-05-17,1955-05-19,Gallup,News Chron,50.5,47,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-05-17,1955-05-20,1955-05-24,Gallup,News Chron,51,47,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-05-21,1955-05-24,1955-05-26,Gallup,News Chron,51,47.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-06-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-07-02,1955-07-13,NA,Gallup,News Chron,47,43,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-08-01,NA,NA,Gallup,News Chron,44.5,47.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-09-09,1955-09-19,NA,Gallup,News Chron,48,44,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-10-19,1955-10-26,NA,Gallup,News Chron,46.5,44.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
