Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,
1946,Jan,,,Gallup,News Chron,32,,52.5,,11,,-20.5,
,May,,,Gallup,News Chron,40,8,43.5,-9,13,2,-3.5,17
1947,Jan,,,Gallup,News Chron,41,1,44.5,1,12,-1,-3.5,0
,Mar,,,Gallup,News Chron,43.5,2.5,43.5,-1,10.5,-1.5,0,3.5
,Jun,,,Gallup,News Chron,42.5,-1,42.5,-1,12.5,2,0,0
,Jul,,,Gallup,News Chron,42.5,0,42.5,0,12.5,0,0,0
,Aug,,,Gallup,News Chron,44.5,2,41,-1.5,11,-1.5,3.5,3.5
,Sep,,,Gallup,News Chron,44.5,0,39.5,-1.5,11.5,0.5,5,1.5
,Nov,,,Gallup,News Chron,50.5,6,38,-1.5,9,-2.5,12.5,7.5
1948,Jan,,,Gallup,News Chron,44.5,-6,43.5,5.5,10.5,1.5,1,-11.5
,Feb,,,Gallup,News Chron,46,1.5,42,-1.5,8.5,-2,4,3
,Mar,,,Gallup,News Chron,46,0,43,1,8.5,0,3,-1
,Apr,,,Gallup,News Chron,42.5,-3.5,41,-2,10.5,2,1.5,-1.5
,May,,,Gallup,News Chron,45,2.5,41.5,0.5,11,0.5,3.5,2
,Jul,,,Gallup,News Chron,48,3,39.5,-2,9,-2,8.5,5
,Aug,,,Gallup,News Chron,48,0,41,1.5,8.5,-0.5,7,-1.5
,Sep,,,Gallup,News Chron,47.5,-0.5,41.5,0.5,10,1.5,6,-1
,Oct,,,Gallup,News Chron,46.5,-1,41.5,0,9.5,-0.5,5,-1
,Nov,,,Gallup,News Chron,46,-0.5,43,1.5,8.5,-1,3,-2
1949,Jan,,,Gallup,News Chron,44,-2,40.5,-2.5,13,4.5,3.5,0.5
,Feb,,,Gallup,News Chron,44.5,0.5,43.5,3,9.5,-3.5,1,-2.5
,Mar,,,Gallup,News Chron,41.5,-3,43,-0.5,13,3.5,-1.5,-2.5
,Apr,,,Gallup,News Chron,42,0.5,43.5,0.5,13,0,-1.5,0
,May,,,Gallup,News Chron,46,4,40,-3.5,11,-2,6,7.5
,Jun,,,Gallup,News Chron,46,0,41.5,1.5,10,-1,4.5,-1.5
,Jul,,,Gallup,News Chron,44.5,-1.5,40.5,-1,12.5,2.5,4,-0.5
,Aug,,,Gallup,News Chron,46.5,2,40.5,0,11.5,-1,6,2
,Sep,,,Gallup,News Chron,46,-0.5,40,-0.5,12,0.5,6,0
,Oct,,,Gallup,News Chron,45.5,-0.5,39.5,-0.5,12.5,0.5,6,0
,,,,,,50,,39,,8,,,
,Nov,,,Gallup,News Chron,43.5,-2,40,0.5,14,1.5,3.5,-2.5
,,,,Gallup,News Chron,48,,38,,11,,,
,Dec,,,Gallup,News Chron,45,1.5,41,1,12.5,-1.5,4,0.5
1950,Jan,,20,Gallup,News Chron,44,-1,41.5,0.5,12.5,0,2.5,-1.5
,,,23,,DE,48,,42,,9,,6,
,,,30,Gallup,News Chron,44,0,45.5,4,10,-2,-1.5,-4
,,,30,,DE,47.5,-0.5,42.5,0.5,8.5,-0.5,5,-1
,Feb,,6,,DE,45,-2.5,44,1.5,10,1.5,1,-4
,,,10,Gallup,News Chron,43,-1,44.5,-1,12,2,-1.5,-4
,,,13,,DE,45,0,45,1,9.5,-0.5,0,-1
,,,17,Gallup,News Chron,42.5,-0.5,45,0.5,12,0,-2.5,-1
,,,20,,DE,46,1,44.5,-0.5,9,-0.5,1.5,1.5
,Feb,5-11,15,Daily Mail,,45.5,,42.5,,12,,3,
,Feb,17-20,22,Gallup,News Chron,43.5,1,45,0,10.5,-1.5,-1.5,1
,Feb,17-21,23,,DE,44.5,-1.5,44,-0.5,11,3,0.5,-1
