Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,
,May,9-11,,MORI,,38,8,41,3,19,-10,-3,5,
,May,29-30,,MORI,,35,-3,39,-2,24,5,-4,-1,
,Jun,?-9,,NOP,,31.5,-6.2,41.2,1.9,24.2,3.4,-9.7,-8.1,
,Jun,10-15,,Gallup,DT,29.5,-2.5,37.5,2,30.5,1.5,-8,-4.5,
,Jun,15-16,,MORI,,37,2,39,0,22,-2,-2,2,
,Jun,18-22,,MORI,,31,-6,39,0,28,6,-8,0,
,Jul,?-7,,NOP,,31.6,0.1,42.1,0.9,24.3,0.1,-10.5,-0.8,
,Jul,8-13,,Gallup,DT,30,0.5,40.5,3,26.5,-4,-10.5,-2.5,
,Jul,,,MORI,,30,-1,36,-3,31,3,-6,2,
,Aug,?-11,,NOP,,33.5,1.9,37.4,-4.7,27.7,3.4,-3.9,6.6,
,Aug,12-17,,Gallup,DT,28,-2,38.5,-2,32.5,6,-10.5,0,
,Aug,,,MORI,,30,0,39,3,29,-2,-9,-3,
,Sep,?-8,,NOP,,32.1,-1.4,40.4,3,24.7,-3,-8.3,-4.4,
,Sep,9-14,,Gallup,DT,32,4,36.5,-2,29,-3.5,-4.5,6,
,Sep,14-18,,MORI,,27,-3,38,-1,33,4,-11,-2,
,Sep,28,,MORI,,28,1,42,4,28,-5,-14,-3,
,Oct,?-6,,NOP,,29.2,-2.9,38.2,-2.2,30.6,5.9,-9,-0.7,
,Oct,21-26,,Gallup,DT,29.5,-2.5,28,-8.5,40,11,,,
,Oct,23-27,,MORI,,27,-1,31,-11,40,12,-4,10,
,Nov,?-3,,NOP,,30.5,1.3,34.3,-3.9,33.1,2.5,-3.8,5.2,
,Nov,11-16,,Gallup,DT,26.5,-3,29,1,42,2,,,
,Nov,27-1,,MORI,,27,0,27,-4,44,4,0,4,
,Nov,?-1,,NOP,,28.6,-1.9,32.1,-2.2,37.1,4,-3.5,0.3,
,Dec,9-14,,Gallup,DT,23,-3.5,23.5,-5.5,50.5,8.5,,,
,Dec,10-14,,MORI,,27,0,29,2,43,-1,-2,-2,
1982,Jan,?-7,,NOP,,29.3,0.7,31.8,-0.3,35.9,-1.2,-2.5,1,
,Jan,13-18,,Gallup,DT,27.5,4.5,29.5,6,39.5,-11,,,
,Jan,21-25,,MORI,,29,2,30,1,40,-3,-1,1,
,Feb,?-9,,NOP,,31.7,2.4,31.9,0.1,33.1,-2.8,-0.2,2.3,
,Feb,10-15,,Gallup,DT,27.5,0,34,4.5,36,-3.5,,,
,Feb,,,MORI,,30,1,33,3,34,-6,-3,-2,
,Mar,?-9,,NOP,,29.7,-2,38.7,6.8,29.4,-3.7,-9,-8.8,
,Mar,11-15,,Gallup,DT,31.5,4,33,-1,33,-3,-1.5,,
,Mar,,,MORI,,34,4,34,1,30,-4,0,3,
,Apr,?-6,,NOP,,32.5,2.8,33.2,-5.5,31.7,2.3,-0.7,8.3,
,Apr,7-12,,Gallup,DT,31.5,0,29,-4,37,4,,,
,Apr,14,,MORI,,33,-1,34,0,30,0,-1,-1,
,Apr,20-21,,MORI,,36,,30,,31,,6,,Panel survey
,Apr,23-24,,MORI,,39,3,32,2,27,-1,7,1,Panel survey
,Apr,,,MORI,,35,2,30,-4,33,3,5,5,
,Apr,30,,MORI,,43,8,30,0,25,-8,13,8,
,May,?-4,,NOP,,40.7,8.2,29.3,-3.9,27.3,-4.4,11.4,12.1,
,May,3-5,,MORI,,38,-1,32,0,28,1,6,-1,Panel survey
,May,11-16 or 5-10,,Gallup,DT,41.5,10,28,-1,29,-8,13.5,,
,May,,,MORI,,44,1,30,0,24,-1,14,1,
,May,16,,MORI,,48,4,33,3,17,-7,15,1,
,May,23,,MORI,,48,0,31,-2,20,3,17,2,
,May,25-26,,MORI,,51,13,25,-7,23,-5,26,20,Panel survey
,Jun,?-8,,NOP,,49.3,8.6,28.3,-1,20.6,-6.7,21,9.6,
,Jun,9-14,,Gallup,DT,45,3.5,25,-3,28.5,-0.5,20,6.5,
,Jun,21-23,,MORI,,51,0,24,-1,23,0,27,1,Panel survey
,Jun,,,MORI,,48,4,28,-2,24,0,20,6,
,Jul,?-6,,NOP,,44.1,-5.2,32.3,4,21.4,0.8,11.8,-9.2,
,Jul,7-12,,Gallup,DT,46.5,1.5,27.5,2.5,24,-4.5,19,-1,
,Jul,,,MORI,,45,-3,31,3,22,-2,14,-6,
,Aug,?-10,,NOP,,44,-0.1,31.5,-0.8,22.1,0.7,12.5,0.7,
,Aug,11-16,,Gallup,DT,44.5,-2,26.5,-1,27.5,3.5,18,-1,
,Aug,,,MORI,,44,-1,30,-1,23,1,14,0,
,Sep,?-7,,NOP,,45,1,31.1,-0.4,21.5,-0.6,13.9,1.4,
,Sep,8-13,,Gallup,DT,44,-0.5,30.5,4,23,-4.5,13.5,-4.5,
,Sep,,,MORI,,42,-2,30,0,27,4,12,-2,
,Oct,?-5,,NOP,,40.4,-4.6,36.3,5.2,21.2,-0.3,4.1,-9.8,
,Oct,7-12,,MORI,,42,0,33,3,23,-4,9,-3,
,Oct,20-25,,Gallup,DT,40.5,-3.5,29,-1.5,27,4,11.5,-2,
,Oct,21-26,,MORI,,43,1,32,-1,23,0,11,2,
,Nov,?-2,,NOP,,43.9,3.5,33.5,-2.8,19.9,-1.3,10.4,6.3,
,Nov,4-10,,MORI,,42,-1,33,1,23,0,9,-2,
,Nov,10-15,,Gallup,DT,42,1.5,34.5,5.5,21.5,-5.5,7.5,-4,
,Nov,18-24,,MORI,,43,1,35,2,21,-2,8,-1,
,Dec,?-7,,NOP,,42.4,-1.5,38,4.5,17.4,-2.5,4.4,-6,
,Dec,8-13,,Gallup,DT,41,-1,34.5,0,22,0.5,6.5,-1,
,Dec,9-15,,MORI,,42,-1,35,0,21,0,7,-1,
1983,Jan,?-5,10,NOP,DM,41,-1.4,36,-2,21,3.6,5,0.6,
,Jan,?-11,,NOP,,43.4,2.4,34.6,-1.4,20.1,-0.9,8.8,3.8,
,Jan,5-12,,MORI,,44,2,35,0,20,-1,9,2,
,Jan,12-17,,Gallup,DT,44,3,31.5,-3,22.5,0.5,12.5,6,
,Jan,20-26,,MORI,,44,0,36,1,19,-1,8,-1,
,Feb,?-8,,NOP,,43.6,0.2,34.8,0.2,18.9,-1.2,8.8,0,
,Feb,3-9,,MORI,,45,1,32,-4,21,2,13,5,
,Feb,9-14,,Gallup,DT,43.5,-0.5,32.5,1,22,-0.5,11,-1.5,
,Feb,17-23,,MORI,,46,1,32,0,21,0,14,1,
,Feb,26,,MORI,,39,-7,26,-6,34,13,13,-1,
,Mar,?-8,,NOP,,40.4,-3.2,31.3,-3.5,25.7,6.8,9.1,0.3,
,Mar,3-9,,MORI,,41,2,27,1,30,-4,14,1,
,Mar,16,,MORI,,42,1,28,1,27,-3,14,0,
,Mar,17-21,,Gallup,DT,39.5,-4,28.5,-4,29,7,11,0,
,Mar,17-23,,MORI,,43,1,28,0,28,1,15,1,
,Apr,7-11,,Gallup,DT,40.5,1,35,6.5,22.5,-6.5,5.5,-5.5,
,Apr,?-12,,NOP,,47,6.6,29.6,-1.7,21.7,-4,17.4,8.3,
,Apr,7-12,,MORI,,43,0,34,6,22,-6,9,-6,
,Apr,17-23,,MORI,,46,3,33,-1,21,-1,13,4,
,Apr,21-25,,MORI,ST,45,-1,30,-3,23,2,15,2,Used to create panel for subsequent MORI ST panel surveys
,May,4-9,,Gallup,DT,49,8.5,31.5,-3.5,17.5,-5,17.5,12,
,May,5-11,,MORI,,46,1,32,2,22,-1,14,-1,
,,,,Harris,Conservatives,44,,34,,20,,10,,
,,,,Gallup,Conservatives,46,,31,,20,,15,,
,May,6,,NOP,,47,0,34,4.4,18,-3.7,13,-4.4,
,May,10,11,MORI,D Star,46,0,31,-1,21,-1,15,1,
,May,11,13,Harris,Thames,52,,31,,17,,21,,
,May,11-16,19,Gallup,DT,46,-3,33,1.5,19,1.5,13,-4.5,
,May,12,13,MORI,DE,49,3,34,3,15,-6,15,0,
,May,16,17,MORI,D Star,44,-5,37,3,17,2,7,-8,
,May,16,17,ASL,TV-AM,46,,31,,21,,15,,Phone
,May,16-17,18,NOP,DM,49,8,31,-5,19,-2,18,13,
,May,17,19,ASL,Sun,44,-2,33,2,21,0,11,-4,Phone
,May,17-18,22,MORI,ST,47,3,30,-7,21,4,17,10,Panel survey
,May,18,19,Harris,Thames,45,-7,35,4,17,0,10,-11,
,May,19,20,MORI,DE,46,-1,37,7,16,-5,9,-8,
,May,19-20,22,Harris,Ob,45,0,36,1,18,1,9,-1,
,May,20,22,Marplan,SM,47,,34,,18,,13,,
,May,20-23,25,Gallup,DT,48,2,33,0,18,-1,15,2,
,May,23,24,ASL,TV-AM,45,1,32,-1,20,-1,13,2,Phone
,May,23,24,MORI,D Star,51,5,33,-4,15,-1,18,9,
,May,23,26,NOP,DM,52,3,33,2,14,-5,19,1,
,May,23-25,27,Marplan,Gu,47.5,0.5,32.5,-1.5,19,1,15,2,
,May,24,26,ASL,Sun,45,0,32,0,21,1,13,0,Phone
,May,24-25,26,Harris,Thames,48,3,33,-3,18,0,15,6,
,May,24-25,29,MORI,ST,46,-5,30,-3,23,8,16,-2,Panel survey
,May,24-26,29,Gallup,DT,49,1,31.5,-1.5,18,0,17.5,2.5,
,May,25-30,3,Gallup,DT,47.5,-1.5,28,-3.5,23,5,19.5,2,
,May,26,27,MORI,DE,51,5,29,-1,19,-4,22,6,
,May,26-27,29,Harris,Ob,47,-1,30,-3,21,2,17,2,
,May,27,29,Marplan,SM,49.5,2,31,-1.5,19,0,18.5,3.5,
,May,30,31,ASL,TV-AM,41,-4,30,-2,24,3,11,-2,Phone
,May,30-1,2,Marplan,Gu,47,-2.5,30,-1,22,2,17,-1.5,
,May,31,1,MORI,D Star,44,-7,32,3,21,2,12,-10,
,May,31,2,ASL,Sun,44,3,29,-1,25,1,15,4,Phone
,May,31-1,2,Harris,TV-Eye,46,-1,28,-2,24,3,18,1,
,May,31-2,5,Gallup,STel,45.5,-2,31.5,3.5,22,-1,14,-5.5,
,Jun,1-2,5,MORI,ST,45,1,28,-4,25,4,17,5,Panel survey
,Jun,2,3,MORI,DE,43,-2,32,4,23,-2,11,-6,
,Jun,2-3,5,Harris,Ob,47,1,28,0,23,-1,19,1,
,Jun,3,5,Marplan,SM,44,-3,27,-3,27.5,5.5,17,0,
,Jun,3,5,NOP,MoS,47,-5,29,-4,23,9,18,-1,
,Jun,3-4,,Harris,Conservatives,45.4,,28.4,,23.9,,17,,
,Jun,5,7,ASL,Sun,45,1,24,-5,28,3,21,6,Phone
,Jun,6,7,Marplan,Gu,47,3,26,-1,25,-2.5,21,4,
,Jun,6-7,8,NOP,DM,46,-1,28,-1,24,1,18,0,
,Jun,6-8,9,MORI,DE/D Star,47,4,26,-6,25,2,21,10,
,Jun,7,9,ASL,Sun,46,1,23,-1,29,1,23,2,Phone
,Jun,7-8,9,Harris,Ob,47,0,25,-3,26,3,22,3,
,Jun,7-8,9,Gallup,DT,45.5,0,26.5,-5,26,4,19,5,
,Jun,8,9,Marplan,Gu,46,-1,26,0,26,1,20,-1,
,Jun,8,9,NOP,Northcliffe,47,1,25,-3,26,2,22,4,
,Jun,8,9,MORI,ES,44,-3,28,2,26,1,16,-5,
