Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,
1979,Jun,?-7,,NOP,,44.2,,45.5,,8.2,,-1.3,,
,Jun,13-18,,Gallup,DT,42,,43.5,,12,,-1.5,,
,Jul,?-5,,NOP,,43.1,-1.1,45.4,-0.1,9.5,1.3,-2.3,-1,
,Jul,11-16,,Gallup,DT,41,-1,46,2.5,11.5,-0.5,-5,-3.5,
,Aug,8-13,,Gallup,DT,41.5,0.5,44,-2,12.5,1,-2.5,2.5,
,Aug,?-2,,NOP,,42.8,-0.3,47.3,1.9,8.6,-0.9,-4.5,-2.2,
,Aug,,,MORI,,44,,45,,9,,-1,,
,Sep,?-6,,NOP,,44.9,2.1,46,-1.3,7.4,-1.2,-1.1,3.4,
,Sep,12-17,,Gallup,DT,40.5,-1,45,1,12,-0.5,-4.5,-2,
,Sep,,,MORI,,42,-2,43,-2,12,3,-1,0,
,Oct,?-9,,NOP,,40.9,-4,47.2,1.2,10,2.6,-6.3,-5.2,
,Oct,10-15,,Gallup,DT,40.5,0,45,0,12.5,0.5,-4.5,0,
,Oct,,,MORI,,41,-1,46,3,11,-1,-5,-4,
,Nov,?-6,,NOP,,42.1,1.2,46.3,-0.9,10.1,0.1,-4.2,-2.1,
,Nov,7-12,,Gallup,DT,39,-1.5,43.5,-1.5,15.5,3,-4.5,0,
,Nov,21-2,,MORI,,40,-1,45,-1,13,2,-5,0,
,Dec,?-4,,NOP,,40.1,-2,48.5,2.2,9.5,-0.6,-8.4,-4.2,
,Dec,4-10,,Gallup,DT,38,-1,42,-1.5,18,2.5,-4,0.5,
1980,Jan,?-8,,NOP,,37.2,-2.9,50.3,1.8,10.7,1.2,-13.1,-4.7,
,Jan,9-14,,Gallup,DT,36,-2,45,3,16,-2,-9,-5,
,Jan,18-19,,MORI,,39,-1,47,2,12,-1,-8,-3,
,Jan,,,MORI,,40,1,43,-4,14,2,-3,5,
,Feb,?-5,,NOP,,35.7,-1.5,51.9,1.6,11.2,0.5,-16.2,-3.1,
,Feb,6-11,,Gallup,DT,37.5,1.5,42,-3,18,2,-4.5,4.5,
,Feb,21-25,,MORI,,38,-2,46,3,14,0,-8,-5,
,Mar,?-11,,NOP,,35.5,-0.2,49.6,-2.3,10.9,-0.3,-14.1,2.1,
,Mar,11-17,,Gallup,DT,37,-0.5,49.5,7.5,11.5,-6.5,-12.5,-8,
,Mar,,,MORI,,38,0,46,0,13,-1,-8,0,
,Mar,27-28,,MORI,,42,4,46,0,9,-4,-4,4,
,Apr,?-1,,NOP,,41.4,5.9,46.5,-3.1,10.7,-0.2,-5.1,9,
,Apr,10-14,,Gallup,DT,36.5,-0.5,45,-4.5,15,3.5,-8.5,4,
,Apr,24-28,,MORI,,39,-3,44,-2,14,5,-5,-1,
,May,?-6,,NOP,,43,1.6,43.3,-3.2,11.7,1,-0.3,4.8,
,May,15-19,,Gallup,DT,39,2.5,43.5,-1.5,15.5,0.5,-4.5,4,
,Jun,?-3,,NOP,,41,-2,46.9,3.6,10.4,-1.3,-5.9,-5.6,
,Jun,11-16,,Gallup,DT,40.5,1.5,45,1.5,11.5,-4,-4.5,0,
,Jun,19-23,,MORI,,41,2,43,-1,13,-1,-2,3,
,Jul,?-1,,NOP,,38.1,-2.9,47.3,0.4,11.7,1.3,-9.2,-3.3,
,Jul,10-14,,Gallup,DT,40,-0.5,43.5,-1.5,14,2.5,-3.5,1,
,Jul,24-27,,MORI,,37,-4,47,4,13,0,-10,-8,
,Aug,?-5,,NOP,,40,1.9,46.3,-1,11.3,-0.4,-6.3,2.9,
,Aug,14-18,,Gallup,DT,38.5,-1.5,44,0.5,14.5,0.5,-5.5,-2,
,Aug,,,MORI,,37,0,48,1,13,0,-11,-1,
,Sep,?-2,,NOP,,39.8,-0.2,47.6,1.3,11,-0.3,-7.8,-1.5,
,Sep,10-15,,Gallup,DT,35.5,-3,45,1,16.5,2,-9.5,-4,
,Sep,25-29,,MORI,,37,0,46,-2,15,2,-9,2,
,Oct,1-6,,Gallup,DT,40,4.5,43,-2,13.5,-3,-3,6.5,
,Oct,?-7,,NOP,,39.4,-0.4,46.5,-1.1,12.4,1.4,-7.1,0.7,
,Oct,15-20,,Gallup,DT,40,0,43,0,13.5,0,-3,0,
,Oct,,,MORI,,34,-3,50,4,15,0,-16,-7,
,Nov,?-4,,NOP,,37.2,-2.2,47.7,1.2,12.6,0.2,-10.5,-3.4,
,Nov,11,,MORI,,38,4,47,-3,13,-2,-9,7,
,Nov,12-17,,Gallup,DT,36.5,-3.5,47,4,15,1.5,-10.5,-7.5,
,Nov,,,MORI,,36,-2,50,3,13,0,-14,-5,
,Dec,?-9,,NOP,,35.4,-1.8,51.2,3.5,11.9,-0.7,-15.8,-5.3,
,Dec,10-15,,Gallup,DT,35,-1.5,47.5,0.5,14.5,-0.5,-12.5,-2,
,Dec,18-19,,MORI,,32,-4,56,6,11,-2,-24,-10,
1981,Jan,?-13,,NOP,,34.5,-0.9,50.9,-0.3,12.2,0.3,-16.4,-0.6,
,Jan,14-19,,Gallup,DT,33,-2,46.5,-1,18.5,4,-13.5,-1,
,Jan,22-?,,MORI,,35,3,45,-11,17,6,-10,14,
,Feb,?-2,,NOP,,37,2.5,41.1,-9.8,16.5,4.3,-4.1,12.3,
,Feb,28-2 or 11-16,,Gallup,DT,36,3,35.5,-11,26.5,8,0.5,14,
,Feb,?-23,,MORI,,33,-2,41,-4,25,8,-8,2,
,Mar,?-3,,NOP,,35.9,-1.1,42.1,1,19.5,3,-6.2,-2.1,
,Mar,12-16,,Gallup,DT,30,-6,34,-1.5,32,5.5,-4,-4.5,
,Mar,19-23,,MORI,,28,-5,38,-3,32,7,-10,-2,
,Apr,?-7,,NOP,,30.9,-5,39.3,-2.8,26.6,7.1,-8.4,-2.2,
,Apr,8-13,,Gallup,DT,30,0,34.5,0.5,33,1,-4.5,-0.5,
,Apr,23-27,,MORI,,30,2,38,0,29,-3,-8,2,
,May,?-5,,NOP,,37.7,6.8,39.3,0,20.8,-5.8,-1.6,6.8,
,May,6-11,,Gallup,DT,32,2,35.5,1,29,-4,-3.5,1,
