Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,
,Aug,,,Harris,DE,42,0,50,-1,7,0,-8,1
,Sep,14-20,,NOP,DM,41.8,3.7,49.3,-4.4,7.9,0.3,-7.5,8.1
,Sep,16-20,,Gallup,DT,35,-7,54,5.5,8.5,1.5,-19,-12.5
,Sep,,,ORC,ES,42,0,46,-1,9,0,-4,1
,Sep,,,Harris,DE,42,0,50,0,7,0,-8,0
,Oct,13-17,,Gallup,DT,40,5,50,-4,8,-0.5,-10,9
,Oct,,,ORC,ES,42,0,48,2,8,-1,-6,-2
,Oct,,,Harris,DE,40,-2,52,2,7,0,-12,-4
,Nov,10-14,,Gallup,DT,42.5,2.5,48.5,-1.5,7,-1,-6,4
,Nov,23-29,,NOP,DM,38.8,-3,51.8,2.5,8.4,0.5,-13,-5.5
,Nov,,,ORC,ES,40,-2,51,3,7.5,-1.5,-11,-5
,Nov,,,Harris,DE,38,-2,54,2,7,0,-16,-4
,Dec,8-12,,Gallup,DT,42,-0.5,48,-0.5,7.5,0.5,-6,0
,Dec,,,ORC,ES,39.5,-0.5,49.5,-1.5,9,1.5,-10,1
1972,Jan,11-16,,NOP,DM,42.7,3.9,49.4,-2.4,6.8,-1.6,-6.7,6.3
,Jan,12-16,,Gallup,DT,40.5,-1.5,48,0,9,1.5,-7.5,-1.5
,Jan,24-30,,NOP,DM,39.1,-3.6,49.8,0.4,9.6,2.8,-10.7,-4
,Jan,,,ORC,ES,43,3.5,47,-2.5,8,-1,-4,6
,Jan,,,Harris,DE,43,5,49,-5,7,0,-6,-10
,Feb,9-13,,Gallup,DT,40.5,0,49,1,8.5,-0.5,-8.5,-1
,Feb,15-20,,NOP,DM,42,2.9,49,-0.8,8,-1.6,-7,3.7
,Feb,,,ORC,ES,35,-8,55,8,8,0,-20,-16
,Feb,,,Harris,DE,39,-4,53,4,7,0,-14,-8
,Mar,8-12,,Gallup,DT,39.5,-1,48.5,-0.5,9.5,1,-9,-0.5
,Mar,,,ORC,ES,39,4,49,-6,10,2,-10,10
,Mar,,,Harris,DE,41,2,50,-3,8,1,-9,5
,Apr,11-16,,NOP,DM,44.8,2.8,46.8,-2.2,7.5,-0.5,-2,5
,Apr,12-16,,Gallup,DT,43.5,4,44.5,-4,10,0.5,-1,8
,Apr,,,ORC,ES,40,1,51,2,7,-3,-11,-1
,Apr,,,Harris,DE,42,1,50,0,6,-2,-8,1
,May,2-7,,NOP,DM,40.9,-3.9,46.9,0.1,10.8,3.3,-6,-4
,May,11-14,,Gallup,DT,40.5,-3,46.5,2,11,1,-6,-5
,May,,,ORC,ES,43,3,44.5,-6.5,10.5,3.5,-1.5,9.5
,May,,,Harris,DE,44,2,47,-3,8,2,-3,5
,Jun,8-11,,Gallup,DT,41,0.5,47,0.5,10,-1,-6,0
,Jun,,,ORC,ES,42,-1,46,1.5,10,-0.5,-4,-2.5
,Jun,,,Harris,DE,38,-6,52,5,9,1,-14,-11
,Jul,12-16,,Gallup,DT,39,-2,49,2,9.5,-0.5,-10,-4
,Jul,25-30,,NOP,DM,39.5,-1.4,49,2.1,10,-0.8,-9.5,-3.5
,Jul,,,ORC,ES,37,-5,50,4,10,0,-13,-9
,Jul,,,Harris,DE,42,4,48,-4,9,0,-6,8
,Aug,9-13,,Gallup,DT,40,1,49,0,7.5,-2,-9,1
,Aug,,,ORC,ES,44,7,49,-1,6,-4,-5,8
,Aug,,,Harris,DE,41,-1,49,1,9,0,-8,-2
,Sep,3-17,,Gallup,DT,38.5,-1.5,49.5,0.5,9.5,2,-11,-2
,Sep,12-17,,NOP,DM,35.7,-3.8,53.5,4.5,9.1,-0.9,-17.8,-8.3
,Sep,,,ORC,ES,39,-5,46,-3,12,6,-7,-2
,Sep,,,Harris,DE,40,-1,48,-1,11,2,-8,0
,Oct,10-26,,NOP,DM,38.6,2.9,49.7,-3.8,9.9,0.8,-11.1,6.7
,Oct,18-22,,Gallup,DT,40,1.5,48,-1.5,8.5,-1,-8,3
,Oct ,?-2,,NOP,DM,36.7,-1.9,50.5,0.8,11.2,1.3,-13.8,-2.7
,Oct,,,Harris,DE,37,-3,50,2,11,0,-13,-5
,Nov,9-12,,Gallup,DT,37.5,-2.5,45.5,-2.5,15,6.5,-8,0
,Nov,14-20,4,NOP,DM,40.5,3.8,45.4,-5.1,12.9,1.7,-4.9,8.9
,Nov,,,ORC,ES,37,-2,45,-1,16,4,-8,-1
,Nov,28-4,18,NOP,DM,37,-3.5,47.4,2,13.7,0.8,-10.4,-5.5
,Nov,,,Harris,DE,40,3,46,-4,12,1,-6,7
,Dec,6-10,,Gallup,DT,38,0.5,46.5,1,12.5,-2.5,-8.5,-0.5
,Dec,12-18,,NOP,DM,39.7,2.7,42.6,-4.8,15.7,2,-2.9,7.5
,Dec,,,ORC,ES,36,-1,45,0,16,0,-9,-1
1973,Jan,10-14,,Gallup,DT,38.5,0.5,44,-2.5,15.5,3,-5.5,3
,Jan,9-15,15,NOP,DM,39.4,-0.3,39,-3.6,20.6,4.9,0.4,3.3
,Jan,23-28,29,NOP,DM,39.9,0.5,42.7,3.7,15.4,-5.2,-2.8,-3.2
,Jan,,,ORC,ES,39,3,41,-4,17,1,-2,7
,Jan,,,Harris,DE,37,-3,47,1,14,2,-10,-4
,Feb,8-11,,Gallup,DT,38,-0.5,47,3,12.5,-3,-9,-3.5
,Feb,,,ORC,ES,39,0,41,0,17,0,-2,0
,Feb,,,Harris,DE,39,2,46,-1,14,0,-7,3
,Mar,6-11,,NOP,DM,38,-1.9,45.2,2.5,14.9,-0.5,-7.2,-4.4
,Mar,9-12,,Gallup,DT,39,1,43,-4,16,3.5,-4,5
,Mar,,,ORC,ES,38,-1,43,2,16,-1,-5,-3
,Mar,,,Harris,DE,36,-3,47,1,15,1,-11,-4
,Apr,10-16,,NOP,DM,36.6,-1.4,45,-0.2,17,2.1,-8.4,-1.2
,Apr,11-15,,Gallup,DT,38,-1,41,-2,17.5,1.5,-3,1
,Apr,,,ORC,ES,36,-2,41,-2,20,4,-5,0
,Apr,,,Harris,DE,38,2,42,-5,17,2,-4,7
,May,1-6,,NOP,DM,31.9,-4.7,50.1,5.1,16.9,-0.1,-18.2,-9.8
,May,10-13,,Gallup,DT,38,0,43.5,2.5,14.5,-3,-5.5,-2.5
,May,,,ORC,ES,34,-2,41,0,22,2,-7,2
,May,,,Harris,DE,37,-1,45,3,16,-1,-8,-4
,Jun,6-10,,Gallup,DT,41,3,42,-1.5,14.5,0,-1,4.5
,Jun,12-17,18,NOP,DM,41.3,9.4,41.6,-8.5,15.7,-1.2,-0.3,17.9
,Jun,19-24,25,NOP,DM,39.3,-2,43.9,2.3,14.8,-0.9,-4.6,-4.3
,Jun,,,ORC,ES,39,5,37,-4,21,-1,2,9
,Jul,11-15,,Gallup,DT,35.5,-5.5,45,3,17.5,3,-9.5,-8.5
,Jul,,,ORC,ES,38.5,-0.5,39,2,18.5,-2.5,-0.5,-2.5
,Aug,8-12,,Gallup,DT,31.5,-4,38,-7,28,10.5,-6.5,3
,Aug,7-15,15,NOP,DM,28.9,-10.4,41.7,-2.2,27.6,12.8,-12.8,-8.2
,Aug,,,ORC,ES,30,-8.5,41,2,26,7.5,-11,-10.5
,Sep,4-9,9,NOP,DM,33.9,5,40.9,-0.8,23.8,-3.8,-7,5.8
,Sep,5-9,,Gallup,DT,33.5,2,43,5,22,-6,-9.5,-3
,Sep,,,ORC,ES,30.5,0.5,38,-3,29,3,-7.5,-3.5
,Oct,13,13,NOP,DM,34.2,0.3,35.4,-5.5,29.1,5.3,-1.2,5.8
,Oct,17-21,,Gallup,DT,33,-0.5,39.5,-3.5,25.5,3.5,-6.5,3
,Oct,23-28,28,NOP,DM,37.5,3.3,39.7,4.3,21.3,-7.8,-2.2,-1
,Oct,,,ORC,ES,33,2.5,37.5,-0.5,27.5,-1.5,-4.5,3
,Nov,18,18,NOP,DM,36.5,-1,39.9,0.2,21.2,-0.1,-3.4,-1.2
,Nov,14-18,,Gallup,DT,36.5,3.5,38.5,-1,22.5,-3,-2,4.5
,Nov,,,ORC,ES,33,0,38.5,1,25.5,-2,-5.5,-1
,Nov,27-2,,NOP,DM,35.6,-0.9,43.2,3.3,20,-1.2,-7.6,-4.2
,Dec,12-18,,Gallup,DT,36,-0.5,42.5,4,18.5,-4,-6.5,-4.5
,Dec,,,ORC,ES,35,2,40,-1.5,23,-2.5,-5,0.5
,Dec,,,Harris,DE,36,-1,38.5,-6.5,23,7,-2.5,-5.5
1974,Jan,8-13,,Gallup,DT,40,4,38,-4.5,19,0.5,2,8.5
,Jan,8-13,,NOP,DM,39.4,3.8,42,-1.2,16.5,-3.5,-2.6,5
,Jan,,,ORC,ES,41,6,37,-3,19,-4,4,9
,Jan,,,Harris,DE,41,5,37,-1.5,20,-3,4,6.5
,Feb,1-4,,Gallup,DT,39.5,-0.5,42.5,4.5,16,-3,-3,-5
,Feb,7,10,Business Decisions,Ob,44.9,,37.2,,11.9,,7.7,
,Feb,8-11,14,Gallup,DT,44.5,5,43,0.5,11,-5,1.5,4.5
,Feb,8-9,10,Marplan,LWT,45,,39,,12,,6,
,Feb,8-10,14,ORC,TT,42,1,40,3,16,-3,2,-2
,Feb,12-13,14,Harris,DE,46,5,35,-2,18,-2,11,7
,Feb,12-14,17,Gallup,DT,42.5,-2,41.5,-1.5,14,3,1,-0.5
,Feb,,17,Marplan,LWT,44,-1,35,-4,17,5,9,3
,Feb,,17,Business Decisions,Ob,40.5,-4.4,38,0.8,19.5,7.6,2.5,-5.2
,Feb,,18,Harris,DE,43.5,-2.5,38,3,17,-1,5.5,-5.5
,Feb,,20,ORC,ES,41,-1,35,-5,21,5,6,4
,Feb,14-17,21,NOP,DM,43.4,4,37.8,-4.2,16.9,5.6,5.6,8.2
,Feb,16-18,21,Gallup,DT,41,-1.5,40.5,-1,16.5,2.5,0.5,-0.5
,Feb,,23,Harris,DE,40,-3.5,33.5,-4.5,23.5,6.5,6.5,1
,Feb,18-21,24,Gallup,DT,42,1,40,-0.5,16.5,0,2,1.5
,Feb,21,24,Business Decisions,Ob,35,-5.5,37.5,-0.5,23.5,4,-2.5,-5
,Feb,,24,Marplan,LWT,38.5,-5.5,31.5,-3.5,28,11,7,-2
,Feb,23-26,26,NOP,DM,40.5,-2.9,35.5,-2.3,22,5.1,5,-0.6
,Feb,23-27,28,NOP,DM,39.5,-1,35.5,0,22,0,4,-1
,Feb,,27,ORC,ES,36.5,-4.5,35,0,25.5,4.5,1.5,-4.5
,Feb,,27,Harris,DE,38,-2,34.5,1,25,1.5,3.5,-3
,Feb,26-27,28,Harris,DE,40.2,2.2,35.2,0.7,22,-3,5,1.5
,Feb,26-27,28,Gallup,DT,39.5,-2.5,37.5,-2.5,20.5,4,2,0
,Feb,27,28,ORC,ES,39.7,3.2,36.7,1.7,21.2,-4.3,3,1.5
,Feb,,28,ORC,TT,38.7,-1,34.9,-1.8,23,1.8,3.8,2.8
,Feb,27,28,Marplan,Birmingham Evening Mail / LWT,36.5,-2,34.5,3,25,-3,2,-5
