Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,
1970,Jul,7-13,,NOP,DM,51.2,,40.4,,6.5,,10.8,
,Jul,,,ORC,ES,51,,40,,8,,11,
,Aug,11-16,,NOP,DM,47.3,-3.9,44.2,3.8,6.9,0.4,3.1,-7.7
,Aug,13-16,,Gallup,DT,47,,43.5,,7.5,,3.5,
,Aug,,,ORC,ES,49,-2,41,1,8,0,8,-3
,Sep,10-13,,Gallup,DT,46.5,-0.5,44,0.5,8,0.5,2.5,-1
,Sep,,,ORC,ES,50,1,42,1,6,-2,8,0
,Sep,,,Harris,DE,49,,45,,5,,4,
,Oct,13-18,,NOP,DM,45.8,-1.5,46.6,2.4,6.7,-0.2,-0.8,-3.9
,Oct,16-18,,Gallup,DT,46.5,0,46.5,2.5,6.5,-1.5,0,-2.5
,Oct,,,ORC,ES,48,-2,43,1,7,1,5,-3
,Oct,,,Harris,DE,48,-1,44,-1,7,2,4,0
,Nov,12-15,,Gallup,DT,43.5,-3,48,1.5,6.5,0,-4.5,-4.5
,Nov,,,ORC,ES,51,3,40,-3,7,0,11,6
,Nov,,,Harris,DE,45,-3,48,4,7,0,-3,-7
,Dec,10-13,,Gallup,DT,46,2.5,44.5,-3.5,6,-0.5,1.5,6
,Dec,,,ORC,ES,41.5,-9.5,47,7,9.5,2.5,-5.5,-16.5
1971,Jan,12-18,,NOP,DM,46.3,0.5,44.3,-2.3,8.3,1.6,2,2.8
,Jan,14-17,,Gallup,DT,42.5,-3.5,47,2.5,8.5,2.5,-4.5,-6
,Jan,,,ORC,ES,45,3.5,45,-2,9,-0.5,0,5.5
,Jan,,,Harris,DE,42,-3,49,1,8,1,-7,-4
,Feb,8-14,,Gallup,DT,41.5,-1,49,2,8,-0.5,-7.5,-3
,Feb,,,ORC,ES,41.5,-3.5,48,3,9,0,-6.5,-6.5
,Feb,,,Harris,DE,41,-1,49,0,8,0,-8,-1
,Mar,9-15,,NOP,DM,39.9,-6.4,50.4,6.1,8.9,0.6,-10.5,-12.5
,Mar,11-14,,Gallup,DT,38.5,-3,50.5,1.5,8,0,-12,-4.5
,Mar,,,ORC,ES,41,-0.5,46,-2,11,2,-5,1.5
,Mar,,,Harris,DE,42,1,49,0,8,0,-7,1
,Apr,1-4,,Gallup,DT,44.5,6,48,-2.5,6,-2,-3.5,8.5
,Apr,8-13,,Gallup,DT,44,-0.5,45.5,-2.5,9.5,3.5,-1.5,2
,Apr,13-19,,NOP,DM,42,2.1,48.8,-1.6,7.3,-1.6,-6.8,3.7
,Apr,,,ORC,ES,48.5,7.5,41.5,-4.5,8.5,-2.5,7,12
,Apr,,,Harris,DE,44,2,47,-2,7,-1,-3,4
,May,13-16,,Gallup,DT,38,-6,50,4.5,9.5,0,-12,-10.5
,May,?-24,,NOP,DM,40.7,-1.3,51.7,2.9,6.6,-0.7,-11,-4.2
,May,,,ORC,ES,45,-3.5,45,3.5,8,-0.5,0,-7
,May,,,Harris,DE,39,-5,54,7,7,0,-15,-12
,Jun,8-14,,NOP,DM,38.3,-2.4,52,0.3,7.9,1.3,-13.7,-2.7
,Jun,10-13,,Gallup,DT,36,-2,54,4,8,-1.5,-18,-6
,Jun,,,ORC,ES,40,-5,51,6,7,-1,-11,-11
,Jun,,,Harris,DE,36,-3,57,3,5,-2,-21,-6
,Jul,6-12,,NOP,DM,38.1,-0.2,53.7,1.7,7.6,-0.3,-15.6,-1.9
,Jul,9-12,,Gallup,DT,33.5,-2.5,55,1,8.5,0.5,-21.5,-3.5
,Jul,,,ORC,ES,39,-1,50,-1,8,1,-11,0
,Jul,,,Harris,DE,42,6,51,-6,7,2,-9,12
,Aug,11-15,,Gallup,DT,42,8.5,48.5,-6.5,7,-1.5,-6.5,15
,Aug,,,ORC,ES,42,3,47,-3,9,1,-5,6
