Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,UKIP,Green,BNP
,Feb,22-?,22/02/2011,,Opinium,,36,1,38,2,11,-2,-2,-1,Internet,,,,
,Feb,23-24,23/02/2011,,YouGov,Sun,38,2,42,-2,10,-1,-4,4,Internet,,,,
,Feb,24-25,24/02/2011,27,YouGov,ST,36,-2,44,2,10,0,-8,-4,Internet,,,,
,Feb,25-27,25/02/2011,1,ComRes,Ind,35,1,39,-4,12,2,-4,5,Phone,,,,
,Feb,27-28,27/02/2011,,YouGov,Sun,36,0,43,-1,10,0,-7,1,Internet,,,,
,Feb,28-1,28/02/2011,,YouGov,Sun,34,-2,43,0,11,1,-9,-2,Internet,,,,
,Mar,1-2,01/03/2011,,YouGov,Sun,36,2,41,-2,11,0,-5,4,Internet,,,,
,Mar,3-4,03/03/2011,6,YouGov,ST,35,-1,43,2,10,-1,-8,-3,Internet,,,,
,Mar,4-6,04/03/2011,8,Populus,TT,35,-1,41,2,11,0,-6,-3,Phone,,,,
,Mar,4-?,04/03/2011,,Opinium,,36,0,39,1,9,-2,-3,-1,Internet,,,,
,Mar,6-7,06/03/2011,,YouGov,Sun,36,1,42,-1,9,-1,-6,2,Internet,,,,
,Mar,7-8,07/03/2011,,YouGov,Sun,36,0,44,2,10,1,-8,-2,Internet,,,,
,Mar,8-9,08/03/2011,,YouGov,Sun,36,0,42,-2,9,-1,-6,2,Internet,,,,
,Mar,9-10,09/03/2011,,YouGov,Sun,34,-2,45,3,9,0,-11,-5,Internet,,,,
,Mar,9-10,09/03/2011,13,ComRes,IoS/SM,37,1,40,-2,11,0,-3,3,Internet,,,,
,Mar,10-11,10/03/2011,13,YouGov,ST,33,-1,44,-1,10,1,-11,0,Internet,,,,
,Mar,10-14,10/03/2011,,TNS BMRB,,36,,41,,10,,-5,,Internet,,,,
,Mar,11-13,11/03/2011,16,MORI,Reuters,37,4,41,-2,10,-3,-4,6,Phone,Certain to vote,,,
,Mar,13-14,13/03/2011,,YouGov,Sun,35,2,44,0,9,-1,-9,2,Internet,,,,
,Mar,14-15,14/03/2011,,YouGov,Sun,35,0,45,1,9,0,-10,-1,Internet,,,,
,Mar,15-16,15/03/2011,,YouGov,Sun,35,0,43,-2,10,1,-8,2,Internet,,,,
,Mar,15-?,15/03/2011,,Opinium,,35,-1,39,0,11,2,-4,-1,Internet,,,,
,Mar,16-17,16/03/2011,,YouGov,Sun,35,0,43,0,10,0,-8,0,Internet,,,,
,Mar,17-18,17/03/2011,20,YouGov,ST,37,2,43,0,9,-1,-6,2,Internet,,,,
,Mar,18-21,18/03/2011,21,Opinium,,36,1,36,-3,11,0,0,4,Internet,,,,
,Mar,18-21,18/03/2011,23,Angus RS,,32,-1,41,0,10,0,-9,-1,Internet,,,,
,Mar,21-22,21/03/2011,,YouGov,Sun,35,-2,42,-1,9,0,-7,-1,Internet,,,,
,Mar,23-25,23/03/2011,25,Opinium,,36,0,36,0,11,0,0,0,Internet,,,,
,Mar,22-23,22/03/2011,,YouGov,Sun,36,1,42,0,10,1,-6,1,Internet,,,,
,Mar,23-24,23/03/2011,,YouGov,Sun,37,1,41,-1,11,1,-4,2,Internet,,,,
,Mar,23-24,23/03/2011,26,ICM,Gu,37,2,36,-2,16,-2,1,4,Phone,,,,
,Mar,24-25,24/03/2011,27,YouGov,ST,38,1,41,0,11,0,-3,1,Internet,,,,
,Mar,25-27,25/03/2011,28,ComRes,Ind,35,0,41,2,13,1,-6,-2,Phone,,,,
,Mar,25-28,28/03/2011,28,Opinium,,34,-2,37,1,11,0,-3,-3,Internet,,,,
,Mar,27-28,27/03/2011,,YouGov,Sun,36,-2,44,3,9,-2,-8,-5,Internet,,,,
,Mar,28-29,28/03/2011,,YouGov,Sun,36,0,42,-2,10,1,-6,2,Internet,,,,
,Mar,29-30,29/03/2011,,YouGov,Sun,35,-1,45,3,9,-1,-10,-4,Internet,,,,
,Mar,31-1,31/03/2011,,YouGov,ST,36,1,42,-3,11,2,-6,4,Internet,,,,
,Apr,3-4,03/04/2011,,YouGov,Sun,37,1,42,0,9,-2,-5,1,Internet,,,,
,Apr,4-5,04/04/2011,,YouGov,Sun,37,0,42,0,9,0,-5,0,Internet,,,,
,Apr,5-6,05/04/2011,,YouGov,Sun,36,-1,42,0,10,1,-6,-1,Internet,,,,
,Apr,6-7,06/04/2011,,YouGov,Sun,35,-1,44,2,10,0,-9,-3,Internet,,,,
,Apr,7-8,07/04/2011,,YouGov,ST,36,1,43,-1,9,-1,-7,2,Internet,,,,
,Apr ,8-10,08/04/2011,12,Populus,TT,36,1,40,-1,11,0,-4,2,Phone,,,,
,Apr,8-11,08/04/2011,,Angus RS,,31,-1,42,1,11,1,-11,-2,Internet,,,,
,Apr,10-11,10/04/2011,,YouGov,Sun,36,0,42,-1,10,1,-6,1,Internet,,,,
,Apr,11-12,11/04/2011,,YouGov,Sun,37,1,42,0,9,-1,-5,1,Internet,,,,
,Apr,12-13,12/04/2011,,YouGov,Sun,35,-2,44,2,10,1,-9,-4,Internet,,,,
,Apr,13-14,13/04/2011,,YouGov,Sun,36,1,42,-2,10,0,-6,3,Internet,,,,
,Apr,13-15,13/04/2011,17,ComRes,IoS/SM,35,-2,39,-1,10,-1,-4,-1,Internet,,,,
,Apr,13-?,13/04/2011,,Opinium,,34,0,38,1,11,0,-4,-1,Internet,,,,
,Apr,14-15,14/04/2011,,YouGov,ST,37,1,41,-1,9,-1,-4,2,Internet,,,,
,Apr,14-18,14/04/2011,,TNS BMRB,,36,0,38,-3,10,0,-2,3,Internet,,,,
,Apr,15-17,15/04/2011,19,ICM,Gu,35,-2,37,1,15,-1,-2,-3,Phone,,,,
,Apr,15-17,15/04/2011,20,MORI,Reuters,40,3,40,-1,9,-1,0,4,Phone,Certain to vote,,,
,Apr,17-18,17/04/2011,,YouGov,Sun,36,-1,42,1,9,0,-6,-2,Internet,,,,
,Apr,18-19,18/04/2011,,YouGov,Sun,36,0,43,1,9,0,-7,-1,Internet,,,,
,Apr,19-20,19/04/2011,,YouGov,Sun,36,0,43,0,9,0,-7,0,Internet,,,,
,Apr,19-?,19/04/2011,,Opinium,,34,0,38,0,10,-1,-4,0,Internet,,,,
,Apr,20-21,20/04/2011,,YouGov,Sun,36,0,42,-1,10,1,-6,1,Internet,,,,
,Apr,25-26,25/04/2011,,YouGov,Sun,36,0,41,-1,10,0,-5,1,Internet,,,,
,Apr,26-27,26/04/2011,,YouGov,Sun,36,0,42,1,10,0,-6,-1,Internet,,,,
,Apr,27-28,27/04/2011,,YouGov,Sun,36,0,41,-1,12,2,-5,1,Internet,,,,
,Apr ,27-28,27/04/2011,1,BPIX ,MoS,37,,42,,9,,-5,,Internet,,,,
,Apr,28-29,28/04/2011,1,YouGov,ST,36,0,41,0,10,-2,-5,0,Internet,,,,
,Apr,28-1,28/04/2011,4,ComRes,Ind,34,-1,37,-4,15,2,-3,3,Phone,,,,
,Apr,28-2,28/04/2011,,TNS BMRB,,37,1,36,-2,10,0,1,3,Internet,,,,
,Apr,28-2,28/04/2011,6,Opinium,,35,1,37,-1,11,1,-2,2,Internet,,,,
,May,2-3,02/05/2011,5,ICM,Gu,36,1,37,0,15,0,-1,1,Phone,,,,
,May ,2-3,02/05/2011,,YouGov,Sun,37,1,42,1,10,-2,-5,0,Internet,,,,
,May,3-4,03/05/2011,,YouGov,Sun,36,-1,40,-2,11,1,-4,1,Internet,,,,
,May,4-5,04/05/2011,,YouGov,Sun,37,1,39,-1,10,-1,-2,2,Internet,,,,
,May,5-6,05/05/2011,8,YouGov,ST,36,-1,41,2,10,0,-5,-3,Internet,,,,
,May,6-8,06/05/2011,10,Populus,TT,37,1,39,-1,11,0,-2,2,Phone,,,,
,May,6-9,06/05/2011,11,Opinium,,35,0,38,1,9,-2,-3,-1,Internet,,,,
,May,8-9,08/05/2011,,YouGov,Sun,38,2,42,1,8,-2,-4,1,Internet,,,,
,May,9-10,09/05/2011,,YouGov,Sun,38,0,40,-2,9,1,-2,2,Internet,,,,
,May,10-11,10/05/2011,,YouGov,Sun,36,-2,42,2,8,-1,-6,-4,Internet,,,,
,May,11-12,11/05/2011,15,ComRes,IoS/SM,38,3,39,0,11,1,-1,3,Internet,,,,
,May,11-12,11/05/2011,,YouGov,Sun,39,3,41,-1,9,1,-2,4,Internet,,,,
,May,12-13,12/05/2011,15,YouGov,ST,36,-3,41,0,9,0,-5,-3,Internet,,,,
,May,15-16,15/05/2011,,YouGov,Sun,38,2,41,0,10,1,-3,2,Internet,,,,
,May,16-17,16/05/2011,,YouGov,Sun,39,1,41,0,9,-1,-2,1,Internet,,,,
,May,17-18,17/05/2011,,YouGov,Sun,36,-3,42,1,9,0,-6,-4,Internet,,,,
,May,18-19,18/05/2011,,YouGov,Sun,38,2,40,-2,10,1,-2,4,Internet,,,,
,May,19-20,19/05/2011,22,YouGov,ST,37,-1,42,2,8,-2,-5,-3,Internet,,,,
,May,20-24,20/05/2011,26,MORI,Reuters,35,-5,42,2,10,1,-7,-7,Phone,Certain to vote,,,
,May,22-23,22/05/2011,,YouGov,Sun,38,1,42,0,10,2,-4,1,Internet,,,,
,May,23-24,23/05/2011,,YouGov,Sun,38,0,42,0,9,-1,-4,0,Internet,,,,
,May,24-25,24/05/2011,,YouGov,Sun,37,-1,41,-1,10,1,-4,0,Internet,,,,
,May,25-26,25/05/2011,,YouGov,Sun,37,0,43,2,8,-2,-6,-2,Internet,,,,
,May,26-27,26/05/2011,29,YouGov,ST,37,0,43,0,9,1,-6,0,Internet,,,,
,May,27-29,27/05/2011,1,ComRes,Ind,37,3,37,0,12,-3,0,3,Phone,,,,
,May,30-31,30/05/2011,,YouGov,Sun,37,0,42,-1,9,0,-5,1,Internet,,,,
,May,31-1,31/05/2011,,YouGov,Sun,39,2,41,-1,9,0,-2,3,Internet,,,,
,Jun,1-2,01/06/2011,,YouGov,Sun,36,-3,42,1,9,0,-6,-4,Internet,,,,
,Jun,2-3,02/06/2011,5,YouGov,ST,37,1,42,0,9,0,-5,1,Internet,,,,
,Jun,3-?,03/06/2011,,Opinium,,35,0,38,0,9,0,-3,0,Internet,,,,
,Jun,5-6,05/06/2011,,YouGov,Sun,37,0,43,1,9,0,-6,-1,Internet,,,,
,Jun,6-7,06/06/2011,,YouGov,Sun,36,-1,44,1,8,-1,-8,-2,Internet,,,,
,Jun,7-8,07/06/2011,,YouGov,Sun,37,1,42,-2,9,1,-5,3,Internet,,,,
,Jun,8-9,08/06/2011,,YouGov,Sun,37,0,43,1,8,-1,-6,-1,Internet,,,,
,Jun,9-10,09/06/2011,12,YouGov,ST,37,0,42,-1,9,1,-5,1,Internet,,,,
,Jun,10-12,10/06/2011,14,Populus,TT,39,2,40,1,9,-2,-1,1,Phone,,,,
,Jun,12-13,12/06/2011,,YouGov,Sun,37,0,42,0,10,1,-5,0,Internet,,,,
,Jun,13-14,13/06/2011,,YouGov,Sun,37,0,42,0,10,0,-5,0,Internet,,,,
,Jun,14-15,14/06/2011,,YouGov,Sun,36,-1,42,0,9,-1,-6,-1,Internet,,,,
,Jun,15-16,15/06/2011,,YouGov,Sun,37,1,43,1,9,0,-6,0,Internet,,,,
,Jun,15-16,15/06/2011,19,ComRes,IoS/SM,37,-1,37,-1,11,0,0,1,Internet,,,,
,Jun,16-17,16/06/2011,19,YouGov,ST,37,0,42,-1,10,1,-5,1,Internet,,,,
,Jun,17-19,17/06/2011,23,MORI,Reuters,37,2,39,-3,11,1,-2,5,Phone,Certain to vote,,,
,Jun,17-19,17/06/2011,21,ICM,Gu,37,1,39,2,12,-3,-2,-1,Phone,,,,
,Jun,19-20,19/06/2011,,YouGov,Sun,37,0,43,1,9,-1,-6,-1,Internet,,,,
,Jun,20-21,20/06/2011,,YouGov,Sun,37,0,42,-1,8,-1,-5,1,Internet,,,,
,Jun,21-22,21/06/2011,,YouGov,Sun,36,-1,42,0,9,1,-6,-1,Internet,,,,
,Jun,22-23,22/06/2011,,YouGov,Sun,37,1,42,0,9,0,-5,1,Internet,,,,
,Jun,23-24,23/06/2011,26,YouGov,ST,36,-1,43,1,9,0,-7,-2,Internet,,,,
,Jun,23-27,23/06/2011,,TNS BMRB,,39,2,41,5,8,-2,-2,-3,Internet,,,,
,Jun,24-26,24/06/2011,28,ComRes,Ind,36,-1,40,3,11,-1,-4,-3,Phone,,,,
,Jun,24-?,24/06/2011,,Opinium,,37,2,38,0,8,-1,-1,2,Internet,,,,
,Jun,26-27,26/06/2011,,YouGov,Sun,37,1,42,-1,10,1,-5,2,Internet,,,,
,Jun,26-27,26/06/2011,,YouGov,Sun,37,1,42,-1,10,1,-5,2,Internet,,,,
,Jun,27-28,27/06/2011,,YouGov,Sun,36,-1,43,1,8,-2,-7,-2,Internet,,,,
,Jun,28-29,28/06/2011,,YouGov,Sun,37,1,41,-2,10,2,-4,3,Internet,,,,
,Jun,29-30,29/06/2011,,YouGov,Sun,37,0,42,1,8,-2,-5,-1,Internet,,,,
,Jun,30-1,30/06/2011,3,YouGov,ST,36,-1,42,0,9,1,-6,-1,Internet,,,,
,Jul,3-4,03/07/2011,,YouGov,Sun,37,1,43,1,9,0,-6,0,Internet,,,,
,Jul,4-5,04/07/2011,,YouGov,Sun,35,-2,43,0,10,1,-8,-2,Internet,,,,
,Jul,5-6,05/07/2011,,YouGov,Sun,35,0,43,0,9,-1,-8,0,Internet,,,,
,Jul,6-7,06/07/2011,,YouGov,Sun,37,2,43,0,8,-1,-6,2,Internet,,,,
,Jul,6-?,06/07/2011,,Opinium,,35,-2,36,-2,9,1,-1,0,Internet,,,,
,Jul,7-8,07/07/2011,10,YouGov,ST,35,-2,44,1,8,0,-9,-3,Internet,,,,
,Jul,10-11,10/07/2011,,YouGov,Sun,35,0,43,-1,10,2,-8,1,Internet,,,,
,Jul,11-12,11/07/2011,,YouGov,Sun,37,2,42,-1,9,-1,-5,3,Internet,,,,
,Jul,12-13,12/07/2011,,YouGov,Sun,35,-2,43,1,10,1,-8,-3,Internet,,,,
,Jul,13-14,13/07/2011,,YouGov,Sun,36,1,43,0,9,-1,-7,1,Internet,,,,
,Jul,13-14,13/07/2011,17,ComRes,IoS/SM,36,-1,40,3,10,-1,-4,-4,Internet,,,,
,Jul,14-15,14/07/2011,17,YouGov,ST,36,0,42,-1,11,2,-6,1,Internet,,,,
,Jul,15-17,15/07/2011,19,ICM,Gu,37,0,36,-3,16,4,1,3,Phone,,,,
,Jul,15-17,15/07/2011,19,Populus,TT,34,-5,39,-1,11,2,-5,-4,Phone,,,,
,Jul,15-?,15/07/2011,,Opinium,,34,-1,40,4,10,1,-6,-5,Internet,,,,
,Jul,16-18,16/07/2011,20,MORI,Reuters,32,-5,39,0,11,0,-7,-5,Phone,Certain to vote,,,
,Jul,17-18,17/07/2011,,YouGov,Sun,37,1,42,0,9,-2,-5,1,Internet,,,,
,Jul,18-19,18/07/2011,,YouGov,Sun,36,-1,43,1,8,-1,-7,-2,Internet,,,,
,Jul,19-20,19/07/2011,,YouGov,Sun,35,-1,43,0,11,3,-8,-1,Internet,,,,
,Jul,19-20,19/07/2011,,Angus RS,,34,,41,,10,,-7,,Internet,,,,
,Jul,20-21,20/07/2011,,YouGov,Sun,36,1,44,1,9,-2,-8,0,Internet,,,,
,Jul,21-22,21/07/2011,24,YouGov,ST,35,-1,43,-1,10,1,-8,0,Internet,,,,
,Jul,22-24,22/07/2011,26,ComRes,Ind,34,-2,40,0,13,2,-6,-2,Phone,,,,
,Jul,24-25,24/07/2011,,YouGov,Sun,37,2,41,-2,10,0,-4,4,Internet,,,,
,Jul,25-26,25/07/2011,,YouGov,Sun,35,-2,44,3,9,-1,-9,-5,Internet,,,,
,Jul,26-27,26/07/2011,,YouGov,Sun,36,1,43,-1,8,-1,-7,2,Internet,,,,
,Jul,27-28,27/07/2011,,YouGov,Sun,36,0,42,-1,11,3,-6,1,Internet,,,,
,Jul,28-29,28/07/2011,31,YouGov,ST,35,-1,44,2,10,-1,-9,-3,Internet,,,,
,Jul,28-1,28/07/2011,,TNS BMRB,,35,-4,41,0,10,2,-6,-4,Internet,,,,
,Jul,29-?,29/07/2011,,Opinium,,36,2,38,-2,9,-1,-2,4,Internet,,,,
,Jul,31-1,31/07/2011,,YouGov,Sun,35,0,42,-2,11,1,-7,2,Internet,,,,
,Aug,1-2,01/08/2011,,YouGov,Sun,36,1,45,3,8,-3,-9,-2,Internet,,,,
,Aug,2-3,02/08/2011,,YouGov,Sun,35,-1,43,-2,10,2,-8,1,Internet,,,,
,Aug,3-4,03/08/2011,,YouGov,Sun,36,1,42,-1,10,0,-6,2,Internet,,,,
,Aug,4-5,04/08/2011,7,YouGov,ST,35,-1,44,2,9,-1,-9,-3,Internet,,,,
,Aug,7-8,07/08/2011,,YouGov,Sun,36,1,44,0,9,0,-8,1,Internet,,,,
,Aug,8-9,08/08/2011,,YouGov,Sun,36,0,43,-1,9,0,-7,1,Internet,,,,
,Aug,9-10,09/08/2011,,YouGov,Sun,36,0,43,0,9,0,-7,0,Internet,,,,
,Aug,9-11,09/08/2011,12,Opinium,,34,-2,38,0,9,0,-4,-2,Internet,,,,
,Aug,10-11,10/08/2011,,YouGov,Sun,35,-1,43,0,9,0,-8,-1,Internet,,,,
,Aug,11-12,11/08/2011,14,YouGov,ST,36,1,43,0,9,0,-7,1,Internet,,,,
,Aug,12-?,12/08/2011,,Opinium,,37,3,36,-2,9,0,1,5,Internet,,,,
,Aug,14-15,14/08/2011,,YouGov,Sun,35,-1,43,0,9,0,-8,-1,Internet,,,,
,Aug,15-16,15/08/2011,,YouGov,Sun,36,1,42,-1,10,1,-6,2,Internet,,,,
,Aug,16-17,16/08/2011,,YouGov,Sun,35,-1,44,2,9,-1,-9,-3,Internet,,,,
,Aug,16-19,16/08/2011,20,Opinium,,37,0,38,2,9,0,-1,-2,Internet,,,,
,Aug,17-18,17/08/2011,,YouGov,Sun,36,1,44,0,9,0,-8,1,Internet,,,,
,Aug,17-18,17/08/2011,21,ComRes,IoS/SM,38,2,40,0,11,1,-2,2,Internet,,,,
,Aug,18-19,18/08/2011,21,YouGov,ST,36,0,40,-4,11,2,-4,4,Internet,,,,
,Aug,19-21,19/08/2011,23/24,ICM,Gu,37,0,36,0,17,1,1,0,Phone,,,,
,Aug,19-24,26/08/2011,40811,Lord Ashcroft,,37,,37,,11,,0,,Internet,,,,
,Aug,20-22,20/08/2011,25,MORI,Reuters,34,2,40,1,15,4,-6,1,Phone,Certain to vote,,,
,Aug,21-22,21/08/2011,,YouGov,Sun,35,-1,44,4,9,-2,-9,-5,Internet,,,,
,Aug,22-23,22/08/2011,,YouGov,Sun,37,2,44,0,9,0,-7,2,Internet,,,,
,Aug,23-24,23/08/2011,,YouGov,Sun,36,-1,43,-1,9,0,-7,0,Internet,,,,
,Aug,24-25,24/08/2011,,YouGov,Sun,37,1,42,-1,9,0,-5,2,Internet,,,,
,Aug,25-26,25/08/2011,28,YouGov,ST,38,1,41,-1,9,0,-3,2,Internet,,,,
,Aug,25-29,25/08/2011,,TNS BMRB,,36,1,38,-3,12,2,-2,4,Internet,,,,
,Aug,26-?,26/08/2011,,Opinium,,36,-1,36,-2,9,0,0,1,Internet,,,,
,Aug,29-30,29/08/2011,,YouGov,Sun,39,1,40,-1,10,1,-1,2,Internet,,,,
,Aug,30-31,30/08/2011,,YouGov,Sun,37,-2,42,2,10,0,-5,-4,Internet,,,,
,Aug,31-1,31/08/2011,,YouGov,Sun,36,-1,42,0,10,0,-6,-1,Internet,,5,,
,Sep,1-2,01/09/2011,4,YouGov,ST,38,2,39,-3,10,0,-1,5,Internet,,5,,
,Sep,2-4,02/09/2011,6,ComRes,Ind,37,3,38,-2,11,-2,-1,5,Phone,,,,
,Sep,1-2,01/09/2011,7,Angus RS,,33,-1,39,-2,11,1,-6,1,Internet,,,,
,Sep,2-5,02/09/2011,7,Opinium,,36,0,37,1,9,0,-1,-1,Internet,,,,
,Sep,4-5,04/09/2011,,YouGov,Sun,37,-1,43,4,9,-1,-6,-5,Internet,,5,,
,Sep,5-6,05/09/2011,,YouGov,Sun,38,1,40,-3,9,0,-2,4,Internet,,4,,
,Sep,6-7,06/09/2011,,YouGov,Sun,36,-2,42,2,9,0,-6,-4,Internet,,6,,
,Sep,7-8,07/09/2011,,YouGov,Sun,36,0,42,0,10,1,-6,0,Internet,,5,,
,Sep,8-9,08/09/2011,11,YouGov,ST,38,2,41,-1,9,-1,-3,3,Internet,,5,,
,Sep,9-11,09/09/2011,14,Populus,TT,34,0,38,-1,12,1,-4,1,Phone,,,,
,Sep,10-12,10/09/2011,15,MORI,Reuters,35,1,37,-3,13,-2,-2,4,Phone,Certain to vote,,,
,Sep,11-12,11/09/2011,,YouGov,Sun,37,-1,41,0,10,1,-4,-1,Internet,,4,,
,Sep,12-13,12/09/2011,,YouGov,Sun,35,-2,43,2,10,0,-8,-4,Internet,,5,,
,Sep,13-14,13/09/2011,,YouGov,Sun,37,2,41,-2,10,0,-4,4,Internet,,6,,
,Sep,13-15,13/09/2011,16,Opinium,,33,-3,36,-1,9,0,-3,-2,Internet,,,,
,Sep,14-15,14/09/2011,18,ComRes,IoS/SM,38,0,38,-2,11,0,0,2,Internet,,,,
,Sep,14-15,14/09/2011,,YouGov,Sun,38,1,41,0,9,-1,-3,1,Internet,,5,,
,Sep,15-16,15/09/2011,18,YouGov,ST,36,-2,42,1,9,0,-6,-3,Internet,,5,,
,Sep,18-19,18/09/2011,,YouGov,Sun,36,0,42,0,10,1,-6,0,Internet,,4,,
,Sep,19-20,19/09/2011,,YouGov,Sun,36,0,41,-1,10,0,-5,1,Internet,,5,,
,Sep,20-21,20/09/2011,,YouGov,Sun,35,-1,41,0,9,-1,-6,-1,Internet,,5,,
,Sep,20-21,20/09/2011,24,ICM,Gu,37,0,38,2,14,-3,-1,-2,Phone,,,,
,Sep,21-22,21/09/2011,,YouGov,Sun,36,1,42,1,10,1,-6,0,Internet,,5,,
,Sep,22-23,22/09/2011,25,YouGov,ST,36,0,42,0,11,1,-6,0,Internet,,4,,
,Sep,22-23,22/09/2011,25,BPIX,MoS,37,,40,,10,,-3,,Internet,,,,
,Sep,22-26,22/09/2011,,TNS BMRB,,33,-3,38,0,11,-1,-5,-3,Internet,,,,
,Sep,23-25,23/09/2011,27,ComRes,Ind,37,0,36,-2,12,1,1,2,Phone,,,,
,Sep,25-26,25/09/2011,,YouGov,Sun,39,3,41,-1,8,-3,-2,4,Internet,,5,,
,Sep,26-27,26/09/2011,,YouGov,Sun,37,-2,43,2,8,0,-6,-4,Internet,,5,,
,Sep,27-28,27/09/2011,,YouGov,Sun,37,0,43,0,9,1,-6,0,Internet,,5,,
,Sep,27-30,27/09/2011,4,Opinium,,33,0,40,4,9,0,-7,-4,Internet,,,,
,Sep,28-29,28/09/2011,,YouGov,Sun,38,1,41,-2,9,0,-3,3,Internet,,5,,
,Sep,29-30,29/09/2011,,YouGov,ST,36,-2,42,1,10,1,-6,-3,Internet,,4,,
,Oct,2-3,02/10/2011,,YouGov,Sun,37,1,42,0,9,-1,-5,1,Internet,,5,,
,Oct,3-4,03/10/2011,,YouGov,Sun,38,1,42,0,9,0,-4,1,Internet,,5,,
,Oct,4-5,04/10/2011,,YouGov,Sun,37,-1,41,-1,9,0,-4,0,Internet,,5,,
,Oct,5-6,05/10/2011,,YouGov,Sun,37,0,41,0,10,1,-4,0,Internet,,5,,
,Oct,6-7,06/10/2011,9,YouGov,ST,38,1,42,1,9,-1,-4,0,Internet,,5,,
,Oct,7-10,07/10/2011,12,Opinium,,36,3,37,-3,8,-1,-1,6,Internet,,,,
,Oct,9-10,09/10/2011,,YouGov,Sun,36,-2,40,-2,11,2,-4,0,Internet,,5,,
,Oct,10-11,10/10/2011,,YouGov,Sun,37,1,41,1,8,-3,-4,0,Internet,,6,,
,Oct,11-12,11/10/2011,,YouGov,Sun,36,-1,42,1,9,1,-6,-2,Internet,,6,,
,Oct,12-13,12/10/2011,,YouGov,Sun,37,1,42,0,9,0,-5,1,Internet,,5,,
,Oct,12-13,12/10/2011,16,ComRes,IoS/SM,37,-1,39,1,10,-1,-2,-2,Internet,,,,
,Oct,13-14,13/10/2011,16,YouGov,ST,39,2,42,0,8,-1,-3,2,Internet,,5,,
,Oct,14-16,14/10/2011,18,Populus,TT,33,-1,41,3,8,-4,-8,-4,Phone,,,,
,Oct,16-17,16/10/2011,,YouGov,Sun,37,-2,40,-2,9,1,-3,0,Internet,"Methodology change. Anthony Wells: ""On average the new weights have Labour 0.8 of a percentage point lower""",7,,
,Oct,17-18,17/10/2011,,YouGov,Sun,38,1,42,2,9,0,-4,-1,Internet,,4,,
,Oct,18-19,18/10/2011,,YouGov,Sun,35,-3,41,-1,9,0,-6,-2,Internet,,6,,
,Oct,19-20,19/10/2011,,YouGov,Sun,36,1,41,0,10,1,-5,1,Internet,,6,,
,Oct,20-21,20/10/2011,23,YouGov,ST,36,0,38,-3,10,0,-2,3,Internet,,6,,
,Oct,21-23,21/10/2011,25,ICM,Gu,35,-2,39,1,13,-1,-4,-3,Phone,,,,
,Oct,21-23,21/10/2011,25,Angus RS,,33,0,41,2,10,-1,-8,-2,Internet,,,,
,Oct,21-24,21/10/2011,25,Opinium,,33,-3,39,2,9,1,-6,-5,Internet,,,,
,Oct,22-24,22/10/2011,27,MORI,Reuters,34,-1,38,1,12,-1,-4,-2,Phone,Certain to vote,,,
,Oct,23-24,23/10/2011,,YouGov,Sun,36,0,40,2,9,-1,-4,-2,Internet,,6,,
,Oct,24-25,24/10/2011,,YouGov,Sun,36,0,40,0,10,1,-4,0,Internet,,7,,
,Oct,25-26,25/10/2011,,YouGov,Sun,35,-1,41,1,10,0,-6,-2,Internet,,6,,
,Oct,26-27,26/10/2011,,YouGov,Sun,35,0,42,1,9,-1,-7,-1,Internet,,6,,
,Oct,27-28,27/10/2011,30,YouGov,ST,36,1,39,-3,8,-1,-3,4,Internet,,7,,
,Oct,27-31,27/10/2011,3,TNS BMRB,,36,3,37,-1,11,0,-1,4,Internet,,,,
,Oct,28-30,28/10/2011,1,ComRes,Ind,34,-3,38,2,14,2,-4,-5,Phone,,,,
,Oct,30-31,30/10/2011,,YouGov,Sun,39,3,41,2,8,0,-2,1,Internet,,5,,
,Oct,31-1,31/10/2011,,YouGov,Sun,35,-4,41,0,9,1,-6,-4,Internet,,6,,
,Nov,1-2,01/11/2011,,YouGov,Sun,37,2,41,0,8,-1,-4,2,Internet,,6,,
,Nov,2-3,02/11/2011,,YouGov,Sun,36,-1,41,0,8,0,-5,-1,Internet,,7,,
,Nov,2-9,02/11/2011,21,Survation,Unite,38,,39,,12,,-1,,Phone,GB,,,
,Nov,3-4,03/11/2011,6,YouGov,ST,35,-1,41,0,9,1,-6,-1,Internet,,5,,
,Nov,4-7,04/11/2011,16,Opinium,,34,1,38,-1,10,1,-4,2,Internet,,,,
,Nov,6-7,06/11/2011,,YouGov,Sun,36,1,41,0,9,0,-5,1,Internet,,6,,
,Nov,7-8,07/11/2011,,YouGov,Sun,35,-1,40,-1,10,1,-5,0,Internet,,6,,
,Nov,8-9,08/11/2011,,YouGov,Sun,36,1,40,0,10,0,-4,1,Internet,,7,,
,Nov,9-10,09/11/2011,,YouGov,Sun,35,-1,42,2,8,-2,-7,-3,Internet,,7,,
,Nov,10-11,10/11/2011,13,YouGov,ST,36,1,41,-1,9,1,-5,2,Internet,,5,,
,Nov,11-16,11/11/2011,27,Lord Ashcroft,,34,,39,,10,,,,Internet,,,,
,Nov,13-14,13/11/2011,,YouGov,Sun,37,1,40,-1,9,0,-3,2,Internet,,6,,
,Nov,14-15,14/11/2011,,YouGov,Sun,36,-1,42,2,7,-2,-6,-3,Internet,,5,,
