Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,UKIP,Green,BNP
,Jul,20-23,20/07/2010,30,Angus RS,,,,,,,,,,,,,,
,Aug,1-2,01/08/2010,,YouGov,Sun,42,0,38,0,12,0,4,0,Internet,,,,
,Aug,2-3,02/08/2010,,YouGov,Sun,41,-1,36,-2,13,1,5,1,Internet,,,,
,Aug,3-4,03/08/2010,,YouGov,Sun,42,1,36,0,13,0,6,1,Internet,,,,
,Aug,4-5,04/08/2010,,YouGov,Sun,44,2,36,0,13,0,8,2,Internet,,,,
,Aug,5-6,05/08/2010,8,YouGov,ST,42,-2,36,0,13,0,6,-2,Internet,,,,
,Aug,6-8,06/08/2010,10,ComRes,Ind,39,-1,33,2,16,-2,6,-3,Phone,,,,
,Aug,8-9,08/08/2010,,YouGov,Sun,40,-2,36,0,15,2,4,-2,Internet,,,,
,Aug,9-10,09/08/2010,,YouGov,Sun,42,2,38,2,14,-1,4,0,Internet,,,,
,Aug,10-11,10/08/2010,,YouGov,Sun,41,-1,37,-1,15,1,4,0,Internet,,,,
,Aug,11-12,11/08/2010,,YouGov,Sun,42,1,37,0,14,-1,5,1,Internet,,,,
,Aug,12-13,12/08/2010,14,Harris,DM,38,2,36,6,16,-9,2,-4,,,,,
,Aug,12-13,12/08/2010,,YouGov,ST,42,0,37,0,13,-1,5,0,Internet,,,,
,Aug,13-17,13/08/2010,,Opinium,,39,1,30,-4,16,0,9,5,Internet,,,,
,Aug,13-15,13/08/2010,18,ICM,Gu,37,-1,37,3,18,-1,0,-4,Phone,,,,
,Aug,13-15,13/08/2010,18,ComRes,Mirror,39,0,33,0,15,-1,6,0,Phone,,,,
,Aug,15-16,15/08/2010,,YouGov,Sun,41,-1,37,0,15,2,4,-1,Internet,,,,
,Aug,16-17,16/08/2010,,YouGov,Sun,42,1,37,0,14,-1,5,1,Internet,,,,
,Aug,17-18,17/08/2010,,YouGov,Sun,44,2,36,-1,12,-2,8,3,Internet,,,,
,Aug,18-19,18/08/2010,,YouGov,Sun,41,-3,37,1,14,2,4,-4,Internet,,,,
,Aug,19-20,19/08/2010,22,YouGov,ST,41,0,38,1,12,-2,3,-1,Internet,,,,
,Aug,22-23,22/08/2010,,YouGov,Sun,41,0,39,1,12,0,2,-1,Internet,,,,
,Aug,23-24,23/08/2010,,YouGov,Sun,41,0,38,-1,13,1,3,1,Internet,,,,
,Aug,24-25,24/08/2010,,YouGov,Sun,42,1,37,-1,12,-1,5,2,Internet,,,,
,Aug,25-26,25/08/2010,,YouGov,Sun,42,0,37,0,12,0,5,0,Internet,,,,
,Aug,26-27,26/08/2010,29,YouGov,ST,41,-1,37,0,13,1,4,-1,Internet,,,,
,Aug,30-31,30/08/2010,,YouGov,Sun,43,2,38,1,11,-2,5,1,Internet,,,,
,Aug,31-1,31/08/2010,,YouGov,Sun,43,0,37,-1,12,1,6,1,Internet,,,,
,Sep,1-2,01/09/2010,,YouGov,Sun,42,-1,37,0,12,0,5,-1,Internet,,,,
,Sep,2-3,02/09/2010,,YouGov,ST,42,0,37,0,12,0,5,0,Internet,,,,
,Sep,3-5,03/09/2010,7,ComRes,Ind,38,-1,34,1,18,3,4,-2,Phone,,,,
,Sep,5-6,05/09/2010,,YouGov,Sun,42,0,37,0,13,1,5,0,Internet,,,,
,Sep,6-7,06/09/2010,,YouGov,Sun,42,0,38,1,13,0,4,-1,Internet,,,,
,Sep,7-8,07/09/2010,,YouGov,Sun,42,0,38,0,12,-1,4,0,Internet,,,,
,Sep,8-9,08/09/2010,,YouGov,Sun,42,0,37,-1,14,2,5,1,Internet,,,,
,Sep,9-10,09/09/2010,12,YouGov,ST,42,0,38,1,14,0,4,-1,Internet,,,,
,Sep,10-12,10/09/2010,14,Populus,TT,39,0,37,4,14,-4,2,-4,Phone,,,,
,Sep,10-12,10/09/2010,16,MORI,Reuters,37,-3,37,-1,15,1,0,-2,Phone,Certain to vote,,,
,Sep,12-13,12/09/2010,,YouGov,Sun,41,-1,38,0,12,-2,3,-1,Internet,,,,
,Sep,13-14,13/09/2010,,YouGov,Sun,40,-1,39,1,12,0,1,-2,Internet,,,,
,Sep,14-15,14/09/2010,,YouGov,Sun,42,2,39,0,12,0,3,2,Internet,,,,
