Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,
1966,Apr,14-19,,Gallup,DT,35.5,,54.5,,8.5,,-19,
,Apr,21-15,,NOP,DM,35.6,,55,,8.7,,-19.4,
,May,5-9,,NOP,DM,34.1,-1.5,55.2,0.2,9.6,0.9,-21.1,-1.7
,May,6-10,,Gallup,DT,35.5,0,53.5,3.2,10,3.2,-18,3.2
,Jun,3-7,,Gallup,DT,39.5,4,52,-0.7,7.5,-0.7,-12.5,-0.7
,Jun,22-27,,NOP,DM,37.3,3.2,55.2,0,6.8,-2.8,-17.9,3.2
,Jul,6-11,,NOP,DM,36.6,-0.7,53.4,-1.8,9,2.2,-16.8,1.1
,Jul,14-19,,Gallup,DT,41,1.5,48.5,2.2,8.5,2.2,-7.5,2.2
,Jul,27-1,,NOP,DM,38.8,2.2,48.1,-5.3,11.4,2.4,-9.3,7.5
,Aug,29-2,,Gallup,DT,44.5,3.5,44,3,10.5,3,0.5,3
,Sep,2-6,,Gallup,DT,42.5,-2,45,3.1,11.5,3.1,-2.5,3.1
,Sep,7-12,,NOP,DM,38.4,-0.4,50.5,2.4,9.9,-1.5,-12.1,-2.8
,Sep,21-26,,NOP,DM,39.5,1.1,46.6,-3.9,12.2,2.3,-7.1,5
,Oct,5-10,,NOP,DM,36,-3.5,51.3,4.7,11.3,-0.9,-15.3,-8.2
,Oct,,,Gallup,DT,43,0.5,44.5,3,11.5,3,-1.5,3
,Nov,7-13,,Gallup,DT,44,1,42,3.1,12.5,3.1,2,3.1
,Nov,9-14,,NOP,DM,39,3,46.3,-5,12.9,1.6,-7.3,8
,Nov,23-28,,NOP,DM,42.1,3.1,46.6,0.3,9.4,-3.5,-4.5,2.8
,Dec,5-11,,Gallup,DT,42,-2,46,0.4,10.5,0.4,-4,0.4
,Dec,6-12,,NOP,DM,42.5,0.4,47,0.4,8.6,-0.8,-4.5,0
1967,Jan,4-9,,NOP,DM,40,-2.5,46.4,-0.6,11.7,3.1,-6.4,-1.9
,Jan,9-15,,Gallup,DT,42.5,0.5,45.5,-0.5,10.5,0,-3,1
,Jan,18-23,,NOP,DM,39,-1,48.2,1.8,11.7,0,-9.2,-2.8
,Feb,1-6,,NOP,DM,39.6,0.6,47.4,-0.8,11.2,-0.5,-7.8,1.4
,Feb,6-12,,Gallup,DT,37,-5.5,48.5,3,13,2.5,-11.5,-8.5
,Feb,15-20,,NOP,DM,41.7,2.1,45,-2.4,11.1,-0.1,-3.3,4.5
,Mar,15-20,,NOP,DM,41.9,0.2,47.4,2.4,9.2,-1.9,-5.5,-2.2
,Mar,27-5,,Gallup,DT,42.5,5.5,42.5,-6,12.5,-0.5,0,11.5
,Mar,30-3,,NOP,DM,38.3,-3.6,49.3,1.9,10.8,1.6,-11,-5.5
,Apr,12-16,,Gallup,DT,45.5,3,41.5,8.3,11,8.3,4,4
,Apr,19-24,,NOP,DM,46.6,8.3,44.3,-5,7.6,-3.2,2.3,13.3
,May,8-14,,Gallup,DT,46.5,1,40,-1.5,12,1,6.5,2.5
,May,?-15,,NOP,DM,45.6,-1,43.3,-1,8.4,0.8,2.3,0
,May ,,,ORC,ES,46,,40,,11,,6,
,Jun,5-11,,Gallup,DT,48,1.5,41,1,9.5,-2.5,7,0.5
,Jun,7-12,,NOP,DM,42.8,-2.8,46,2.7,9.2,0.8,-3.2,-5.5
,Jun,22-27,,NOP,DM,42.2,-0.6,48.1,2.1,8.1,-1.1,-5.9,-2.7
,Jun,,,ORC,ES,42,-4,46,6,10,-1,-4,-10
,Jul,2-9,,Gallup,DT,43.5,-4.5,41,0,13,3.5,2.5,-4.5
,Jul,6-11, ,NOP,DM,43.5,1.3,45.2,-2.9,9.1,1,-1.7,4.2
,Jul,20-25,,NOP,DM,43.1,-0.4,44.1,-1.1,10.9,1.8,-1,0.7
,Jul,,,ORC,ES,40,-2,45,-1,12,2,-5,-1
,Aug,6-13,,Gallup,DT,43,-0.5,42,1,13,0,1,-1.5
