Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,SDP,,Green,,Con lead,,
,Jul,13-18,21,Gallup,DT,41.5,-0.5,39,-4,9,2,7,3,,,2.5,3.5,
,Jul,20-21,24,Harris,OB,46,-1,41,3,9,0,3,0,,,5,-4,
,Jul,21-25,31,MORI,ST,46,-2,41,3,8,1,4,-1,,,5,-5,
,Aug,5-9,13,Marplan,GU,45,0,41,-2,7,1,4,0,,,4,2,
,Aug,10-15,17,Gallup,DT,45.5,4,33.5,-5.5,10.5,1.5,6.5,-0.5,,,12,9.5,
,Aug,17-22,,NOP,,47,1,33,-3,,,,,,,14,4,
,Aug,18-22,28,MORI,ST,50,4,36,-5,8,0,4,0,,,14,9,
,Sep,7-12,16,Gallup,DT,43,-2.5,36.5,3,12.5,2,5,-1.5,,,6.5,-5.5,
,Sep,9-11,12,ASL,,42,-3,40,2,8,0,6,1,,,2,-5,Phone
,Sep,9-14,16,Marplan,GU,44,-1,42,1,9,2,3,-1,,,2,-2,
,Sep,9-14,17,NOP,,46,-1,38,5,8,,3,,,,8,-6,
,Sep,20-22,25,Harris,OB,47,1,38,-3,8,-1,5,2,,,9,4,
,Sep,21-26,2,MORI,ST,44,-6,39,3,8,0,6,2,,,5,-9,
,Sep,27-29,29,Harris,TV-AM,48,1,36,-2,11,3,2,-3,,,12,3,
,Oct,,10,MORI Q,,46,-2,39,1,8,1,4,-1,,,7,-3,
,Oct,7,11,Marplan,SE,45,1,40,-2,8,-1,2,-1,,,5,3,
,Oct,7-11,13,Marplan,GU,44,-1,40,0,7,-1,5,3,,,4,-1,
,Oct,7-12,13,NOP,,46,0,36,-2,9,1,4,1,,,10,2,
,Oct,19-20,23,Harris,OB,49,1,40,4,7,-4,2,0,,,9,-3,
,Oct,19-24,27,Gallup,DT,45.5,2.5,34,-2.5,12.5,0,5,0,,,11.5,5,
,Oct,26-31,6,MORI,ST,44,0,39,0,8,0,6,0,,,5,0,
,Oct,28-30,31,ASL,,46,4,35,-5,7,-1,6,0,,,11,9,Phone
,Nov,2-7,8,NOP,,45,-1,36,0,10,1,4,0,,,9,-1,
,Nov,4-7,10,Marplan,GU,42,-2,42,2,8,1,5,0,,,0,-4,
,Nov,8-14,17,Gallup,DT,42.5,-3,36,2,12.5,0,4.5,-0.5,,,6.5,-5,
,Nov,21-24,27,Harris,OB,44,-5,39,-1,9,2,3,1,,,5,-4,
,Nov,25-27,28,ASL,,40,-6,39,4,9,2,6,0,,,1,-10,Phone
,Nov,25-30,4,MORI,ST,45,1,37,-2,8,0,6,0,,,8,3,
,Nov,30-5,6,NOP,,41,-4,36,0,11,1,4,0,,,,,
,Nov,,,G9000,,43.1,,35.8,,11.2,,5,0,,,7.3,,
,Dec,2-6,8,Marplan,GU,45,3,39,-3,8,0,4,-1,,,6,6,
,Dec,6-12,16,Gallup,DT,43,0.5,32,-4,13,0.5,6.5,2,,,11,4.5,
,Dec,28-29,1,MORI,ST,46,1,36,-1,6,-2,7,1,,,10,2,
,Dec,28-30,31,ASL,,45,5,37,-2,8,-1,6,0,,,8,7,Phone
,Dec,,,MORI Q,,44,-2,39,0,8,0,6,2,,,5,-2,
,Dec,,17,G9000,,42.1,-1,33.9,-1.9,13.1,1.9,5.1,0.1,,,8.2,0.9,
1989,Jan,12-16,17,Gallup,DT,42.5,-0.5,34,2,14,1,5.5,-1,,,8.5,-2.5,
,Jan,13-15,18,Harris,C4,44,0,41,2,10,1,,,,,3,-2,
,Jan,13-16,17,ICM,GU,44,,40,0,8,,4,,,,4,,
,Jan,18-19,22,Harris,OB,47,3,37,-4,10,0,4,,,,10,7,
,Jan,18-23,24,NOP,,46,5,34,-2,10,-1,3,-1,,,12,7,
,Jan,26-30,5,MORI,ST,47,1,36,0,8,2,5,-2,,,11,1,
,Jan,27-29,30,ASL,,44,-1,39,2,8,0,5,-1,,,5,-3,Phone
,Jan,29?,29?,Harris,BBC,50,3,37,0,6,-4,,,,,13,3,
,Jan,,16,G9000,,42.6,0.5,35.5,1.6,12.3,-0.8,4.4,-0.7,,,7.1,-1.1,
,Feb,9-13,16,Gallup,DT,40.5,-2,39,5,11.5,-2.5,4.5,-1,,,1.5,-7,
,Feb,10-11,17,ICM,GU,42,-2,39,-1,7,-1,7,3,,,3,-1,
,Feb,15-20,21,NOP,,41,-5,37,3,11,1,4,1,,,4,-8,
,Feb,15-20,26,Gallup,STel,39,-1.5,39,0,11,-0.5,5,0.5,,,0,-1.5,
,Feb,22-23,26,Harris,OB,41,-9,42,5,10,4,3,,,,-1,-14,
,Feb,23-28,29,MORI,NML,42,-5,41,5,8,0,4,-1,,,1,-10,
,Feb,23-27,3,Gallup,DT,37.5,-1.5,37.5,-1.5,11.5,0.5,8.5,3.5,,,0,0,
,Feb,23-28,5,MORI,ST,42,0,39,-2,9,1,7,3,,,3,2,
,Feb,24-26,27,ASL,,44,0,35,-4,7,-1,11,6,,,9,4,Phone
,Feb,27-28,,MORI,Nat Mutual,42,0,41,2,8,-1,4,-3,,,1,-2,
,Feb,,3,G9000,,41,-1.6,36.4,0.9,11.9,-0.4,6,1.6,,,4.6,-2.5,
,Mar,,5,MORI,BBC,41,-1,37,-4,9,1,4,0,,,4,3,
,Mar,10-13,16,ICM,GU,41,-1,39,0,8,1,7,0,,,2,-1,
,Mar,15-19,26,MORI,ST,44,3,40,3,6,-3,6,2,,,4,0,
,Mar,16-17,19,MORI,ST,41,-3,40,0,9,3,6,0,,,1,-3,
,Mar,15-20,,NOP,,42,1,37,0,,,,,,,5,1,
,Mar,22-23,26,Harris,OB,41,0,41,-1,9,-1,3,0,,,0,1,
,Mar,,27,MORI Q,TT,43,-1,39,0,8,0,6,0,,,4,-1,
,Mar,29-3,7,Gallup,DT,37.5,0,40,2.5,10,-1.5,8,-0.5,,,-2.5,-2.5,
,Mar,,7,G9000,,38.9,-2.1,37.7,1.3,10.8,-1.1,7.1,1.1,,,1.2,-3.4,
,Apr,7-8,13,ICM,GU,44,3,40,1,7,-1,6,0,,,4,2,
,Apr,19-20,23,Harris,OB,42,1,39,-2,11,2,4,1,,,3,3,
,Apr,19-24,25,NOP,,43,1,37,0,9,,4,,,,6,1,
,Apr,20-24,30,MORI,ST,41,0,41,1,9,0,6,0,,,0,-1,
,Apr,,30,ASL,,42,-2,38,3,7,0,9,-2,,,4,-5,Phone
,Apr,27-1,5,Gallup,DT,40.5,3,37.5,-2.5,10,0,7,-1,,,3,5.5,
,Apr,,5,G9000,,39.1,0.2,38.4,0.7,10.4,-0.4,6.6,-0.5,2.1,,0.7,-0.5,
,May,12-13,18,ICM,GU,43,-1,43,3,8,1,3,-3,2,,0,-4,
,May,18-22,23,NOP,,42,-1,41,4,8,-1,3,-1,,,1,-5,
,May,18-22,28,MORI,ST,41,0,43,2,7,-2,4,-2,,,-2,-2,
,May,22-23,28,Harris,OB,46,4,41,2,7,-4,2,-2,1,,5,2,
,May,26-28,29,ASL,,41,-1,45,7,6,-1,4,-5,,,-4,-8,Phone
,May,31-5,9,Gallup,DT,36.5,-4,43.5,6,8,-2,3,-4,5.5,,-7,-10,
,May,,9,G9000,,40.9,1.8,40.8,2.4,8.8,-1.6,4,-2.6,2.6,0.5,0.1,-0.6,
,Jun,7-12,13,NOP,,40,-2,42,1,8,0,4,1,5,,-2,-3,
,Jun,9-10,15,ICM,GU,38,-5,42,-1,8,0,4,1,5,3,-4,-4,
,Jun,21-22,25,Harris,OB,34,-12,48,7,6,-1,2,0,8,7,-14,-19,
,Jun,22-27,2,MORI,ST,37,-4,47,4,4,-3,3,-1,7,,-10,-8,
,Jun,28-3,8,Gallup,DT,34,-2.5,47,3.5,6,-2,3.5,0.5,6.5,1,-13,-6,
,Jun,30-6,3,ASL,,35,-6,43,-2,4,-2,3,-1,13,,-8,-4,Phone
,Jun,,8,G9000,,38.2,-2.7,41.3,0.5,7.3,-1.5,3.7,-0.3,6.4,3.8,-3.1,-3.2,
,Jun,,10,MORI Q,TT,39,-4,44,5,7,-1,4,-2,4,,-5,-9,
,Jul,5-10,11,NOP,,36,-4,42,0,7,-1,2,-2,10,5,-6,-4,
,Jul,7-8,13,ICM,GU,38,0,42,0,5,-3,4,0,8,3,-4,,
,Jul,19-20,23,Harris,OB,37,3,44,-4,6,0,3,1,7,-1,-7,7,
,Jul,20-26,30,MORI,ST,36,-1,45,-2,4,0,4,1,8,1,-9,1,
,Jul,28-30,31,ASL,,38,3,41,-2,4,0,5,2,11,-2,-3,5,Phone
,Jul,,11,G9000,,35.5,-2.7,43.3,2,6.9,-0.4,3.1,-0.6,8.6,2.2,-7.8,-4.7,
,Aug,2-7,11,Gallup,DT,34,0,44.5,-2.5,5.5,-0.5,4.5,1,9,2.5,-10.5,2.5,
,Aug,11-12,17,ICM,GU,36,-2,44,2,6,1,3,-1,8,0,-8,-4,
,Aug,16-21,22,NOP,,40,4,41,-1,7,0,1,-1,8,-2,-1,5,
,Aug,17-21,27,MORI,ST,40,4,45,0,4,0,3,-1,6,-2,-5,4,
,Aug,23-24,3,Harris,OB,37,0,45,1,7,1,2,-1,5,-2,-8,-1,
,Aug,25-26,27,ICM,SC,38,2,46,2,6,0,3,0,6,-2,-8,0,
,Aug,25-27,28,ASL,,37,-1,42,1,5,1,4,-1,10,-1,-5,-2,Phone
,Aug,31-4,8,Gallup,DT,36.5,2.5,43,-1.5,6.5,1,3,-1.5,8,-1,-6.5,4,
,Aug,,8,G9000,,36.8,1.3,42.6,-0.7,5.8,-1.1,3.5,0.4,8.6,0,-5.8,2,
,Sep,4,8,NOP,Ind,38,-2,40,-1,8,1,2,1,9,1,-2,-1,
,Sep,8-9,14,ICM,GU,36,-2,46,0,7,-1,4,1,5,-1,-10,-2,
,Sep,12-14,17,Harris,OB,37,0,45,0,6,-1,3,1,6,1,-8,0,
,Sep,19-20,24,Harris,OB,39,2,42,-3,6,0,3,0,7,1,-3,5,
,Sep,20-25,1,Gallup,STel,36.5,0,42,-1,7.5,1,2,-1,9.5,1.5,-5.5,1,
,Sep,21-26,1,MORI,ST,38,-2,43,-2,6,2,3,0,7,1,-5,0,
,Sep,22-23,1,ICM,SC,39,3,45,-1,4,-3,2,-2,7,2,-6,4,
,Sep,25,1,NOP,MoS,34,-4,46,6,7,-1,,,10,1,-12,-10,
,Sep,26-2,3,ICM,PA,37,-2,45,0,4,0,3,1,8,1,-8,-2,
,Sep,27-28,1,Harris,OB,38,-1,45,3,5,-1,3,0,7,0,-7,-4,
,Sep,27-2,7,Gallup,DT,35,-1.5,41.5,-0.5,8.5,1,5,3,7.5,-2,-6.5,-1,
,Sep,30-2,3,ASL,,37,0,39,-3,6,1,3,-1,12,2,-2,3,Phone
,Sep,,7,G9000,,36.4,-0.4,41.2,-1.4,7.9,2.1,3.6,0.1,8,-0.6,-4.8,1,
,Sep,,10,Harris,OB,38,0,49,4,5,0,2,-1,5,-2,-11,-4,
,Oct,3-5,8,NOP,ES,37,3,46,0,5,-2,,,7,-3,-9,3,
,Oct,4,6,ICM,GU,39,2,49,4,4,0,2,-1,5,-3,-10,-2,
,Oct,6-7,12,Gallup,DT,38,3,47.5,6,4.5,-4,2.5,-2,5.5,-2,-9.5,-3,
,Oct,5-9,13,Harris,OB,38,0,48,-1,6,1,1,0,5,0,-10,1,
,Oct,17-19,22,MORI ,ST,38,0,48,5,5,-1,3,-2,5,-2,-10,-5,
,Oct,19-23,29,MORI,ST,39,,46,,,,,,,,-7,,Phone
,Oct,,29,ICM,SC,35,-4,50,1,4,0,3,-1,4,-1,-15,-5,
,Oct,20-21,29,Gallup,DT,35,-3,44,-3.5,8,3.5,2.5,0,7.5,2,-9,0.5,
,Oct,25-30,3,ASL,,33,-4,50,11,4,-2,2,-1,7,-5,-17,-15,Phone
,Oct,27-29,30,NOP,MoS,41,4,47,1,6,1,,,3,-4,-6,3,
,Oct,28,29,Harris,BBC,37,-1,50,2,6,0,2,1,4,-1,-13,-3,
,Oct,28-29,31,G9000,,36.2,-0.2,47,5.8,6.1,-1.8,2.2,-1.4,6.1,-1.9,-10.8,-6,
,Oct,,3,NOP,,34,-7,46,-1,9,3,,,6,3,-12,-6,
,Nov,8-13,14,ICM,GU,36,1,49,-1,6,2,3,0,3,-1,-13,-2,
,Nov,10-11,12,Harris,OB,36,-1,47,-3,9,3,1,-1,4,0,-11,2,
,Nov,22-23,26,MORI,ST,37,-1,51,3,4,-1,3,0,4,-1,-14,-4,
,Nov,23-24,26,MORI,,42,5,46,-5,5,1,3,0,3,-1,-4,10,
,Nov,23-27,,ICM,SC,38,2,48,-1,3,-3,4,1,5,2,-10,3,
,Nov,24-25,3,ASL,,37,4,44,-6,4,0,3,1,8,1,-7,10,Phone
,Nov,24-26,27,NOP,,38,4,45,-1,7,-2,,,5,-1,-7,5,
,Nov,29-4,5,Gallup,DT,37.5,2.5,43.5,-0.5,9,1,3,0.5,4,-3.5,-6,-3,
,Nov,29-4,9,G9000,,36.3,0.1,46.5,-0.5,6.7,0.6,2.6,0.4,5.4,-0.7,-10.2,0.6,
,Nov,,9,ICM,GU,37,-1,49,1,4,1,3,-1,4,-1,-12,-2,
,Dec,7-8,14,Harris,OB,39,3,46,-1,6,-3,1,0,4,1,-7,4,
,Dec,12-14,17,ASL,,40,3,42,-2,6,2,4,1,5,-3,-2,5,Phone
,Dec,15-17,18,MORI,ST,39,-3,46,0,6,1,3,0,4,1,-7,-3,
,Dec,27-28,31,ICM,SC,38,1,49,0,4,0,3,0,5,1,-11,1,
,Dec,16-17,31,G9000,,37.3,1,46.2,-0.3,6.5,-0.2,2.9,0.3,4.4,-1,-8.9,1.3,
,Dec,,13,Gallup,DT,35,-2.5,45.5,2,7.5,-1.5,3.5,0.5,6.5,2.5,-10.5,-4.5,
1990,Jan,5-8,13,ICM,GU,38,0,47,-2,5,1,3,,5,,-9,2,
,Jan,12-13,18,NOP,Ind,40,2,44,-1,7,0,,,6,1,-4,3,
,Jan,12-15,20,Harris,OB,37,-2,48,2,6,,3,2,4,,-11,-4,
,Jan,17-18,21,Harris,OB,36,-1,49,1,6,0,2,-1,5,1,-13,-2,
,Jan,23-25,28,MORI,ST,36,-3,48,2,5,-1,3,0,5,1,-12,-5,
,Jan,18-22,28,Gallup,DT,32.5,-2.5,48,2.5,8,0.5,3,-0.5,6,-0.5,-15.5,-5,
,Jan,24-29,2,ICM,SC,37,-1,48,1,4,-1,3,,4,-1,-11,-2,
,Jan,26-27,28,ASL ,,38,-2,47,5,5,-1,4,,4,-1,-9,-7,Phone
,Jan,26-28,29,G9000,,36.1,-1.2,45,-1.2,7.2,0.7,3.5,0.6,5.6,1.2,-8.9,0,
,Feb,,2,ICM,GU,36,-1,51,3,5,1,3,0,3,-1,-15,-4,
,Feb,9-10,15,NOP,Ind,36,-4,48,4,6,-1,3,,5,-1,-12,-8,
,Feb,10-12,17,Harris,OB,36,0,48,-1,8,2,2,0,4,-1,-12,1,
,Feb,21-22,25,MORI,ST,34,-2,51,3,5,0,4,1,4,-1,-17,-5,
,Feb,15-19,25,Gallup,DT,31,-1.5,49.5,1.5,7,-1,3.5,0.5,5.5,-0.5,-18.5,-3,
,Feb,20-26,2,ICM,SC,33,-3,52,1,6,1,3,0,4,1,-19,-4,
,Feb,23-24,25,ASL,,34,-4,46,-1,7,2,3,-1,8,4,-12,-3,Phone
,Feb,23-25,26,G9000,,32.7,-3.4,47.3,2.3,8,0.8,3.6,0.1,5.7,0.1,-14.6,-5.7,
,Mar,,2,ICM,GU,31,-2,52,0,5,-1,4,1,6,2,-21,-2,
,Mar,9-10,15,NOP,Ind,33,-3,51,3,6,0,3,0,5,0,-18,-6,
,Mar,10-12,17,MORI,ST,31,-3,54,3,6,1,2,-2,4,0,-23,-6,
,Mar,15-20,25,Harris,OB,29,-7,57,9,6,-2,3,1,4,0,-28,-16,
,Mar,21-22,25,ICM,SC,28,-3,55,3,7,2,2,-2,6,0,-27,-6,
,Mar,23,25,ASL,,30,-4,51,5,6,-1,3,0,7,-1,-21,-9,Phone
,Mar,23-25,26,NOP,IoS,33,0,52,1,6,0,3,0,4,-1,-19,-9,
,Mar,24,25,Gallup,DT,28,-3,52.5,3,7.5,0.5,3.5,0,6,0.5,-24.5,-6,
,Mar,28-2,6,G9000,,28.5,-4.2,52,4.7,7.8,-0.2,3.1,-0.5,5.6,-0.1,-23.5,-8.9,
,Mar,,6,ICM,SC,32,4,54,-1,5,-2,2,0,5,-1,-22,5,
,Apr,6,8,NMR,IoS,30,,54,,5,,4,,4,,-24,,
,Apr,6-7,8,ICM,GU,32,0,56,2,4,-1,2,0,4,-1,-24,-2,
,Apr,6-7,12,Harris,OB,32,3,54,-3,7,1,1,-2,4,0,-22,6,
,Apr,18-19,22,MORI,ST,31,0,54,0,6,0,3,1,4,0,-23,0,
,Apr,19-24,29,NOP,Ind,29,-4,54,2,7,1,3,0,4,0,-25,-6,
,Apr,20-22,27,Gallup,DT,32,4,47,-5.5,7.5,0,4,0.5,6,0,-15,9.5,
,Apr,25-30,4,NOP,IoS,31,2,51,-3,7,0,3,0,5,1,-20,5,
,Apr,27-28,29,ICM,SC,30,-2,53,-3,8,4,2,0,5,1,-23,1,
,Apr,27-28,29,ASL,,32,2,49,-2,6,0,4,1,7,0,-17,4,Phone
,Apr,27-29,30,G9000,,28.1,-0.4,51.8,-0.2,8.6,0.8,3,-0.1,5.8,0.2,-23.7,0.2,
,Apr,,4,NOP,MoS,34,3,47,-4,8,1,3,0,4,-1,-13,7,
,May,4,6,ICM,GU,32,2,50,-3,8,0,4,2,4,-1,-18,5,
,May,11-12,17,NOP,Ind,34,0,49,2,8,0,2,-1,4,0,-15,-2,
,May,19-21,26,Harris,OB,32,0,50,-4,9,2,1,0,5,1,-18,4,
,May,23-24,27,MORI,ST,35,4,48,-6,8,2,4,1,4,0,-13,10,
,May,17-21,27,ICM,SC,36,4,50,0,5,-3,1,-3,4,0,-14,4,
,May,25-26,27,ASL,,37,5,47,-2,5,-1,3,-1,6,-1,-10,7,Phone
,May,25-27,28,Gallup,DT,29.5,-2.5,53,6,7.5,0,2.5,-1.5,5.5,-0.5,-23.5,-8.5,
,May,30-4,8,G9000,,32.7,4.6,47.5,-4.3,10,1.4,2.3,-0.7,4.9,-0.9,-14.8,8.9,
,May,3-29,8,NMR,IoS,36,6,49,-7,9,4,,,4,0,-13,13,
,Jun,8,10,ICM,GU,35,-1,54,4,5,0,,,4,0,-19,-5,
,Jun,8-9,14,NOP,Ind,37,3,48,-1,8,0,,,4,0,-11,4,
,Jun,16-18,22,Harris,OB,37,5,48,-2,8,-1,,,5,0,-11,7,
,Jun,20-21,24,MORI,ST,38,3,49,1,8,0,,,3,-1,-11,2,
,Jun,13-18,24,ICM,SC,36,1,53,-1,5,0,,,3,-1,-17,2,
,Jun,22-23,1,Gallup,DT,36,6.5,47,-6,9,1.5,,,4.5,-1,-11,12.5,
,Jun,27-2,6,ASL,,39,2,44,-3,7,2,,,7,1,-5,5,Phone
,Jun,29-1,2,G9000,,33.7,1,49.5,2,8.8,0.8,,,5.3,-0.2,-15.8,-1,
,Jun,1-26,6,ICM,GU,35,-1,51,-2,8,3,,,4,1,-16,1,
,Jul,6-7,12,NOP,Ind,37,0,50,2,7,-1,,,3,-1,-13,-2,
