Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Referendum,,Con lead,,
,Jun,30-5,9,Gallup,DT,24.5,-0.5,43,-6,26.5,3.5,,,-18.5,5.5,
,Jun,,,G9000,,24.2,-2.6,45.8,1.6,24.5,0.9,,,-21.6,-4.2,
,Jul,2-3,7,ICM,GU,28,1,42,-1,23,-2,,,-14,-2,
,Jul,,25,Gallup,Stel,31,6.5,46,3,20,-6.5,,,-15,3.5,
,Jul,22-26,29,MORI,TT,27,-7,44,0,25,7,,,-17,-7,
,Jul,23,25,MORI,ST,34,6,44,-2,18,-5,,,-10,8,
,Jul,28-2,6,Gallup,DT,23,-8,44.5,-1.5,27,7,,,-21.5,-6.5,
,Jul,30,1,MORI,TT,27,0,41,-3,28,3,,,-14,3,
,Jul,,,G9000,,25.4,1.2,44.7,-1.1,24.7,0.2,,,-19.3,2.3,
,Aug,6-7,12,ICM,GU,28,0,40,-2,28,5,,,-12,2,
,Aug,19-23,27,MORI,TT,28,1,42,1,25,-3,,,-14,0,
,Aug,,,G9000,,23.7,-1.7,42.9,-1.8,28.3,3.6,,,-19.2,0.1,
,Sep,2-6,,Gallup,DT,25.5,2.5,46.5,2,23,-4,,,-21,0.5,
,Sep,10-11,17,ICM,GU,27,-1,45,5,24,-4,,,-18,-6,
,Sep,16-20,23,MORI,TT,29,1,43,1,25,0,,,-14,0,
,Sep,16-21,26,Gallup,DT,23.5,-2,44,-2.5,26.5,3.5,,,-20.5,0.5,
,Sep,,26,ICM,SE,27,,41,,26,,,,-14,,Phone
,Sep,22-27,4,Gallup,DT,23,-0.5,44.5,0.5,27,0.5,,,-21.5,-1,
,Sep,,,G9000,,24.3,0.6,45,2.1,24.7,-3.6,,,-20.7,-1.5,
,Oct,8-9,10,ICM,SE,30,3,40,-1,26,0,,,-10,4,Phone
,Oct,,13,ICM,GU,31,1,46,6,19,-7,,,-15,-5,
,Oct,,24,MORI,ST,29,0,43,0,25,0,,,-14,0,
,Oct,21-25,29,MORI,TT,29,0,45,2,23,-2,,,-16,-2,
,Oct,27-1,5,Gallup,DT,24,1,46.5,2,25.5,-1.5,,,-22.5,-1,
,Oct,,,G9000,,26.2,1.9,45.6,0.6,22.6,-2.1,,,-19.4,-1.3,
,Nov,5-6,11,ICM,GU,29,-2,45,-1,23,4,,,-16,-1,
,Nov,12-13,,NOP,,27,,47,,21,,,,-20,,
,Nov,18-22,26,MORI,TT,29,0,47,2,22,-1,,,-18,-2,
,Nov,,,G9000,,25.4,-0.8,46.2,0.6,22.4,-0.2,,,-20.8,-1.4,
,Dec,1-6,10,Gallup,DT,27,3,48.5,2,20,-5.5,,,-21.5,1,
,Dec,3-4,8,ICM,GU,26,-3,47,2,23,0,,,-21,-5,
,Dec,9-13,17,MORI,TT,29,0,47,0,20,-2,,,-18,0,
,Dec,13-14,19,ICM,OB,26,0,48,1,23,0,,,-22,-1,
,Dec,,,G9000,,26.8,1.4,46.4,0.2,21.3,-1.1,,,-19.6,1.2,
1994,Jan,6-11,14,Gallup,DT,25.5,-1.5,46.5,-2,20.5,0.5,,,-21,0.5,
,Jan,7-8,12,ICM,GU,26,0,50,2,20,-3,,,-24,-2,
,Jan,10-11,,MORI,Sun,30,,46,,20,,,,-16,,Phone
,Jan,20-24,28,MORI,TT,28,-1,48,1,20,0,,,-20,2,
,Jan,26-1,4,Gallup,DT,26,0.5,45.5,-1,23,2.5,,,-19.5,1.5,
,Jan,27,30,ASL,SM,28,,41,,24,,,,-13,,Phone
,Jan,,,G9000,,25.5,-1.3,48.2,1.8,20.8,-0.5,,,-22.7,-3.1,
,Feb,11-12,16,ICM,GU,26,,51,1,20,,,,-25,-1,
,Feb,22-28,4,Gallup,DT,25,-1,48.5,3,21,-2,,,-23.5,-4,
,Feb,24-28,4,MORI,TT,28,,47,-1,21,1,,,-19,1,
,Feb,,,G9000,,26.3,0.8,47.6,-0.6,21,0.2,,,-21.3,1.4,
,Mar,11-12,16,ICM,GU,24,-2,49,-2,22,2,,,-25,0,Old methodology
,Mar,,,ICM,GU,28,,47,,21,,,,-19,,New methodology
,Mar,24-28,31,MORI,TT,28,,49,2,20,-1,,,-21,-2,
,Mar,29-4,8,Gallup,DT,26.5,1.5,51.5,3,17.5,-2.5,,,-25,-1.5,
,Mar,31,3,NOP,IoS,26,,50,,20,,,,-24,,
,Mar,,,G9000,,25.9,-0.4,47.7,0.1,20.4,-0.6,,,-21.8,-0.5,
,Apr,6,8,MORI,ES,28,0,46,-3,22,2,,,-18,3,
,Apr,8-9,13,ICM,GU,29,1,46,-1,22,1,,,-17,2,
,Apr,20,23,NOP,Ind,26,0,48,-2,21,1,,,-22,2,
,Apr,21-25,28,MORI,TT,26,-2,47,-2,23,3,,,-21,0,
,Apr,,,G9000,,24.4,-1.5,48.3,0.6,22.3,1.9,,,-23.9,-2.1,
,May,4-9,14,Gallup,DT,24.5,-2,45.5,-6,25,7.5,,,-21,4,
,May,6-7,11,ICM,GU,27,-2,43,-3,25,3,,,-16,1,
,May,13-14,,MORI ,,26,,49,,20,,,,-23,-2,Phone
,May,17,23,ICM,DE,27,0,46,3,22,-3,,,-19,-3,
,May,19-23,26,MORI,TT,27,1,46,-1,23,0,,,-19,2,
,May,20-21,25,ICM,GU,30,3,44,-1,20,-2,,,-14,4,
,May,25-30,6,Gallup,DT,23,-1.5,53.5,8,19,-6,,,-30.5,-9.5,
,May,,,G9000,,22.8,-1.6,49.2,0.9,23.1,0.8,,,-26.4,-2.5,
,Jun,2-6,9,MORI,TT,23,-4,51,5,21,-2,,,-28,-9,
,Jun,4,8,ICM,DE,27,0,45,-1,22,0,,,-18,1,
,Jun,10,12,ICM,SE,26.5,-3.5,45.5,1.5,19,-1,,,-19,-5,
,Jun,,12,MORI ,GMB,22,-1,46,-5,22,1,,,-24,4,Phone
,Jun,16-20,24,MORI,TT,24,2,52,6,20,-2,,,-28,-4,
,Jun,30-1,8,Gallup,DT,26.5,3.5,51,-2.5,17.5,-1.5,,,-24.5,6,
,Jun,,,G9000,,21.6,-1.2,51.8,2.6,20.3,-2.8,,,-30.2,-3.8,
,Jul,8-9,13,ICM,GU,31,1,44,0,21,1,,,-13,1,
,Jul,14-18,22,MORI,TT,23,-1,51,-1,21,1,,,-28,0,
,Jul,27-1,5,Gallup,DT,23,-3.5,56.5,5.5,14.5,-3,,,-33.5,-9,
,Jul,,,G9000,,22,0.4,54.7,2.9,17.4,-2.9,,,-32.7,-2.5,
,Aug,5-6,10,ICM,GU,28,-3,49,5,19,-2,,,-21,8,
,Aug,20-21,26,MORI,TT,23,0,56,5,18,-3,,,-33,-5,
,Aug,26,28,NOP,IoS,26,,54,,16,,,,-28,,
,Aug,,,G9000,,23,1,55.5,0.8,16.6,-0.8,,,-32.5,0.2,
,Sep,1-5,9,Gallup,DT,22,-1,56.5,0,17,2.5,,,-34.5,-1,
,Sep,9-10,15,ICM,GU,33,5,45,-4,18,-1,,,-12,9,
,Sep,15-16,20,NOP,Ind,30,4,48,-6,17,1,,,-18,10,
,Sep,22-26,30,MORI,TT,25,2,54,-2,17,-1,,,-29,4,
,Sep,22-27,2,Gallup,DT,21,-1,57.5,1,15.5,-1.5,,,-36.5,-2,
,Sep,24-26,30,MORI,Econ,25,0,52,-2,18,1,,,-27,2,
,Sep,28-3,10,Gallup,DT,25.5,4.5,54,-3.5,16.5,1,,,-28.5,8,
,Sep,,,G9000,,22.8,-0.2,55.5,0,16.7,0.1,,,-32.7,-0.2,
,Oct,7-8,12,ICM,GU,32,-1,49,4,15,-3,,,-17,-5,
,Oct,20-24,28,MORI,TT,25,0,57,5,14,-4,,,-32,-5,
,Oct,27-31,4,Gallup,DT,21.5,-4,56.5,2.5,17,0.5,,,-35,-6.5,
,Oct,,,G9000,,22.8,0,56.7,1.2,15.5,-1.2,,,-33.9,-1.2,
,Nov,4-5,9,ICM,GU,31,-1,49,0,16,1,,,-18,-1,
,Nov,17-21,24,MORI,TT,24,-1,55,-2,17,3,,,-31,1,
,Nov,30-5,9,Gallup,DT,21.5,0,61,4.5,13.5,-3.5,,,-39.5,-4.5,
,Nov,,,G9000,,23.2,0.4,57.4,0.7,15,-0.5,,,-34.2,-0.3,
,Dec,2-3,8,ICM,GU,31,0,49,0,17,1,,,-18,0,
,Dec,9,10,ICM,OB,26,-5,53,4,17,0,,,-27,-9,
,Dec,15-19,22,MORI,TT,22,-2,61,6,13,-4,,,-39,-8,
,Dec,,,G9000,,20.4,-2.8,60.9,3.5,14.3,-0.7,,,-40.5,-6.3,
1995,Jan,4-9,13,Gallup,DT,18.5,-3,62,1,14,0.5,,,-43.5,-4,
,Jan,12-13,15,Harris,ST,25,,60,,12,,,,-35,,
,Jan,13-14,18,ICM,GU,30,4,48,-5,18,1,,,-18,9,
,Jan,20-23,26,MORI,TT,27,5,56,-5,14,1,,,-29,10,
,Jan,25-30,3,Gallup,DT,23.5,5,59.5,-2.5,13,-1,,,-36,7.5,
,Jan,,,G9000,,22.7,2.3,59,-1.9,13.7,-0.6,,,-36.3,4.2,
,Feb,10-11,17,ICM,GU,31,1,49,1,17,-1,,,-18,0,
,Feb,17-20,24,MORI,TT,24,-3,58,2,14,0,,,-34,-5,
,Feb,22-27,3,Gallup,DT,20.5,-3,60.5,1,15,2,,,-40,-4,
,Feb,,,G9000,,21.8,-0.9,59.5,0.5,13.7,0,,,-37.7,-1.4,
,Mar,10-11,15,ICM,GU,27,-4,52,3,17,0,,,-25,-7,
,Mar,17-20,23,MORI,TT,25,1,57,-1,13,-1,,,-32,2,
,Mar,24,26,MORI,ST,25,0,59,2,12,-1,,,-34,-2,
,Mar,29-3,7,Gallup,DT,23,2.5,57.5,-3,15,0,,,-34.5,5.5,
,Mar,,,G9000,,23.4,1.6,58,-1.5,13.9,0.2,,,-34.6,3.1,
,Apr,7-8,13,ICM,GU,26,-1,51,-1,18,1,,,-25,0,
,Apr,21-24,27,MORI,TT,26,1,56,-3,15,3,,,-30,4,
,Apr,,,G9000,,22.5,-0.9,57.2,-0.8,15.3,1.4,,,-34.7,-0.1,
,May,3-8,12,Gallup,DT,23,0,55.5,-2,16.5,1.5,,,-32.5,2,
,May,12-13,20,ICM,GU,29,3,48,-3,19,1,,,-19,6,
,May,19-22,25,MORI,TT,22,-4,58,2,16,1,,,-36,-6,
,May,31-5,9,Gallup,DT,20,-3,59.5,4,14.5,-2,,,-39.5,-7,
,May,,,G9000,,21.3,-1.2,57.4,0.2,16.6,1.3,,,-36.1,-1.4,
,Jun,9-10,16,ICM,GU,24,-5,53,5,19,0,,,-29,-10,
,Jun,23-24,,MORI,,32,,54,,11,,,,-22,,Phone
,Jun,23-26,29,MORI,TT,29,7,56,-2,13,-3,,,-27,9,
,Jun,26-27,30,MORI,Econ,31,2,55,-1,11,-2,,,-24,3,
,Jun,28-3,7,Gallup,DT,25.5,5.5,57,-2.5,13,-1.5,,,-31.5,8,
,Jun,,,G9000,,22.6,1.3,58.2,0.8,14.8,-1.8,,,-35.6,0.5,
,Jul,3,,MORI,,33,1,52,-2,10,-1,,,-19,3,Phone
,Jul,7-8,13,ICM,GU,32,6,47,-6,17,-2,,,-15,12,
,Jul,20-21,23,NOP,ST,27,,54,,14,,,,-27,,
,Jul,21,,MORI,,30,-1,52,-3,13,2,,,-22,2,
,Jul,21-24,27,MORI,TT,26,-4,59,7,12,-1,,,-33,-11,
,Jul,25-31,4,Gallup,DT,22.5,-3,57.5,0.5,14.5,1.5,,,-35,-3.5,
,Jul,28-31,4,ICM,DE,33,1,46,-1,16,-1,,,-13,2,
,Jul,,,G9000,,25.5,2.9,57.2,-1,12.9,-1.9,,,-31.7,3.9,
,Aug,4-5,10,ICM,GU,31,-2,48,2,17,1,,,-17,-4,
,Aug,17-18,20,NOP,ST,25,-2,54,0,17,3,,,-29,-2,
,Aug,25-28,31,MORI,TT,25,-1,56,-3,15,3,,,-31,2,
,Aug,31-4,8,Gallup,DT,26.5,4,54.5,-3,14,-0.5,,,-28,7,
,Aug,,,G9000,,24.7,-0.8,55.5,-1.7,15,2.1,,,-30.8,0.9,
,Sep,8-9,14,ICM,GU,31,0,48,0,17,0,,,-17,0,
,Sep,14-15,17,NOP,ST,27,2,53,-1,17,0,,,-26,3,
,Sep,22-25,28,MORI,TT,28,3,51,-5,16,1,,,-23,8,
,Sep,27-2,9,Gallup,DT,25.5,-1,55.5,1,14,0,,,-30,-2,
,Sep,,,G9000,,26.2,1.5,54.4,-1.1,14.6,-0.4,,,-28.2,2.6,
,Oct,6-7,13,ICM,GU,29,-2,49,1,17,0,,,-20,-3,
,Oct,19-20,22,NOP,ST,26,-1,56,3,15,-2,,,-30,-4,
,Oct,21-23,26,MORI,TT,27,-1,56,5,13,-3,,,-29,-6,Phone
,Oct,25-30,3,Gallup,DT,21.5,-4,61,5.5,14.5,0.5,,,-39,-9.5,
