Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Referendum,,Con lead,,
,Feb,13,16,NOP,ST,31,-1,49,0,13,0,,,-18,-1,
,Feb,21,25,NOP,Reuters,30,-1,50,1,14,1,2,,-20,2,
,Feb,21-24,27,MORI,TT,31,1,52,-3,11,0,2,,-21,4,
,Feb,28-2,4,ICM,GU,30,-2,48,0,16,1,,,-18,-2,
,Feb,28-4,7,Gallup,DT,28,-6,54,5,12.5,0.5,2,1,-26,-11,
,Feb,28-3,7,Harris,Ind,32,,53,,10,,,,-21,,
,Feb,,,G9000,,32.8,-0.2,50.9,0.4,10.8,-0.5,,,-18.1,-0.6,
,Mar,7-10,14,Harris,Ind,27,-5,52,-2,14,4,,,-25,4,
,Mar,13,15,NOP,ST,27,-3,52,2,13,-1,,,-25,-5,
,Mar,14,18,NOP,Reuters,29,-1,54,4,11,-3,,,-25,-5,
,Mar,14-17,21,Harris,Ind,29,2,56,4,10,-4,2,,-27,-2,
,Mar,15-17,18,Gallup,DT,28.5,0.5,56.5,2.5,9.5,-3,1.5,-0.5,-28,-2,
,Mar,19-21,23,Gallup,ST,29,0.5,54.5,-2,10.5,1,,,-25.5,2.5,
,Mar,20-24,28,Harris,Ind,30,1,54,-2,11,1,2,0,-24,3,
,Mar,21-24,27,MORI,TT,29,-2,50,-2,14,3,3,1,-21,0,
,Mar,26-2,4,Gallup,DT,31,2,52,-2.5,11,0.5,1,-0.5,-21,4.5,
,Mar,27-31,4,Harris,Ind,28,-2,52,-2,14,3,3,1,-24,0,
,Mar,29-31,2,ICM,GU,32,2,46,-2,17,1,,,-14,4,
,Mar,,,G9000,,29.8,-3,53.7,2.8,10.8,0,,,-23.9,-5.8,
,Apr,1,3,MORI,TT,28,-1,55,5,11,-3,2,-1,-27,-6,
,Apr,1-3,9,Gallup,C4,30,-1,54,2,11,0,,,-24,-3,
,Apr,2-3,6,MORI,IoS,30,,55,,9,,3,,-25,,Panel
,Apr,2-4,6,ICM,OB,33,1,48,2,14,-3,,,-15,-1,
,Apr,3,6,NOP,ST,28,-1,52,-2,12,1,,,-24,1,
,Apr,4,7,NOP,Reuters,30,2,51,-1,11,-1,,,-21,3,
,Apr,4-6,7,Gallup,DT,32,2,53,-1,10,-1,,,-21,3,
,Apr,4-7,11,Harris,Ind,30,2,52,0,12,-2,,,-22,2,
,Apr,5-7,8,Gallup,DT,33,1,53,0,10,0,,,-20,1,"Gallup DT polls are rolling polls, with some fieldwork overlap"
,Apr,6-7,9,ICM,GU,34,1,46,-2,15,1,,,-12,3,
,Apr,6-8,9,Gallup,DT,32,-1,51,-2,11,1,,,-19,1,
,Apr,8,10,MORI,TT,34,6,49,-6,12,1,1,-1,-15,12,
,Apr,7-9,10,Gallup,DT,30,-2,53,2,11,0,,,-23,-4,
,Apr,8-10,11,Gallup,DT,30,0,52,-1,11,0,,,-22,1,
,Apr,9-11,12,Gallup,DT,32,2,52,0,11,0,,,-20,2,
,Apr,9-11,13,ICM,OB,32,-2,48,2,15,0,,,-16,-4,
,Apr,11,13,NOP,ST,28,-2,48,-3,17,6,,,-20,1,
,Apr,9-12,13,Gallup,STel,33,1,49,-3,12,1,,,-16,4,
,Apr,10-12,14,Gallup,DT,32,-1,49,0,14,2,,,-17,-1,
,Apr,11-14,15,MORI,ES ,29,-5,50,1,15,3,,,-21,-6,
,Apr,11-14,18,Harris,Ind,31,1,49,-3,13,1,,,-18,4,
,Apr,12-14,15,Gallup,DT,31,-1,49,0,13,-1,,,-18,1,
,Apr,13-14,16,ICM,GU,31,-1,45,-3,19,4,,,-14,2,
,Apr,13-15,16,Gallup,DT,30,-1,51,2,12,-1,3,,-21,-3,
,Apr,15,17,MORI,TT,32,3,49,-1,13,-2,2,1,-17,4,
,Apr,14-16,17,Gallup,DT,31,1,50,-1,11,-1,,,-19,2,
,Apr,15-17,18,Gallup,DT,31,0,50,0,12,1,,,-19,0,
,Apr,16-18,19,Gallup,DT,32,1,50,0,13,1,2,,-18,1,
,Apr,16-18,20,ICM,OB,32,1,47,2,16,-3,,,-15,-1,
,Apr,18,20,NOP,ST,31,3,45,-3,17,0,,,-14,6,
,Apr,16-19,20,Gallup,STel,31,-1,50,0,13,0,,,-19,-1,
,Apr,19-20,25,Harris,Ind,30,-1,48,-1,15,2,,,-18,0,
,Apr,,21,Gallup,DT,32,1,48,-2,13,0,,,-16,3,
,Apr,18-21,22,Gallup,DT,32,0,48,0,12,-1,3,,-16,0,
,Apr,18-22,23,Gallup,C4,31,-1,50,2,13,1,,,-19,-3,
,Apr,20-21,23,ICM,GU,37,5,42,-5,14,-2,,,-5,10,
,Apr,20-22,23,Gallup,DT,30,-1,51,1,12,-2,4,1,-21,-2,
,Apr,21-23,24,Gallup,DT,30,0,50,-1,12,0,,,-20,1,
,Apr,22,24,MORI,TT,27,-5,48,-1,17,4,3,1,-21,-4,
,Apr,22-24,25,Gallup,DT,32,2,48,-2,12,0,,,-16,4,
,Apr,23-24,27,MORI,IoS,29,-1,53,-2,12,3,3,0,-24,1,Panel
,Apr,23-25,26,Gallup,DT,32,0,48,0,14,2,,,-16,0,
,Apr,23-25,27,ICM,OB,32,-5,47,5,16,2,,,-15,-10,
,Apr,24-28,29,Gallup,C4,31,-1,49,1,14,0,,,-18,-2,
,Apr,25,27,NOP,ST,29,-2,47,2,16,-1,,,-18,-4,
,Apr,24-26,27,Gallup,STel,31,0,48,-1,13,-1,,,-17,1,
,Apr,25-27,28,Gallup,DT,30,-1,49,1,14,1,,,-19,-2,
,Apr,26-28,29,Gallup,DT,29,-1,51,2,13,-1,,,-22,-3,
,Apr,28-29,30,Gallup,DT,31,2,51,0,13,0,,,-20,2,
,Apr,28-29,1,Harris,Ind,31,1,48,0,15,0,,,-17,1,
,Apr,29,1,MORI,TT,28,-1,48,-5,16,4, ,-1,-20,4,
,Apr,29,1,NOP,Reuters,28,-1,50,3,14,-2,,,-22,-4,
,Apr,29-30,1,ICM,GU,33,1,43,-4,18,2,,,-10,5,
,Apr,29-30,1,Gallup,DT,33,2,46,-5,16,3,1,,-13,7,
,Apr,30,1,MORI,ES ,29,,46,,19,,,,-17,3,Phone
