Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,TIG/CUK,,BXP,,Con lead,,
,Nov,9-10,09/11/2017,14,YouGov,,,,,,,,,,,,,,,,,,Internet
,Nov,10-12,10/11/2017,15,ICM,Gu,41,-1,41,-1,7,0,4,1,2,0,,,,,0,0,Internet
,Nov,14-16,14/11/2017,19,Opinium,Ob,40,0,42,0,6,1,5,0,2,0,,,,,-2,0,Internet
,Nov,14-17,14/11/2017,,BMG,Ind,40,3,41,-2,8,0,4,0,3,-1,,,,,-1,5,Internet
,Nov,14-20,14/11/2017,21,Kantar TNS,,42,,38,,9,,5,,3,,,,,,4,,Internet
,Nov,16-17,16/11/2017,,YouGov,Handelsblatt,,,,,,,,,,,,,,,,,Internet
,Nov,19-20,19/11/2017,24,YouGov,TT,40,0,43,0,7,1,3,-1,2,0,,,,,-3,0,Internet
,Nov,22-23,22/11/2017,,YouGov,TT,39,-1,41,-2,7,0,4,1,3,1,,,,,-2,1,Internet
,Nov,24-26,24/11/2017,28,ICM,Gu,41,0,41,0,7,0,5,1,3,1,,,,,0,0,Internet
,Nov,24-28,24/11/2017,1,Ipsos MORI,ES,37,-1,39,-1,9,0,4,0,4,1,,,,,-2,0,Phone
,Nov,29-1,29/11/2017,3,ICM,SoS,40,-1,41,0,8,1,4,-1,3,0,,,,,-1,-1,Internet
,Nov,30-1,30/11/2017,3,Survation,MoS,37,-1,45,1,6,-1,4,0,1,0,,,,,-8,-2,Internet
,Dec,4-5,04/12/2017,8,YouGov,TT,40,1,41,0,7,0,3,-1,2,-1,,,,,-1,1,Internet
,Dec,5-8,05/12/2017,13,BMG,Ind,37,-3,40,-1,9,1,5,1,3,0,,,,,-3,-2,Internet
,Dec,8-10,08/12/2017,12,ICM,Gu,42,2,40,-1,8,0,5,1,2,-1,,,,,2,3,Internet
,Dec,8-13,08/12/2017,,Sky,,,,,,,,,,,,,,,,,,Internet
,Dec,10-11,10/12/2017,12,YouGov,TT,42,2,41,0,7,0,4,1,2,0,,,,,1,2,Internet
,Dec,12-14,12/12/2017,17,Opinium,Ob,39,-1,41,-1,7,1,6,1,2,0,,,,,-2,0,Internet
,Dec,12-14,12/12/2017,17,ICM ,SoS,41,-1,42,2,7,-1,4,-1,3,1,,,,,-1,-3,Internet
,Dec,19-20,19/12/2017,1,YouGov,TT,40,-2,42,1,7,0,4,0,1,-1,,,,,-2,-3,Internet
2018,Jan,7-8,07/01/2018,11,YouGov,TT,40,0,41,-1,9,2,3,-1,2,1,,,,,-1,1,Internet
,Jan,9-12,09/01/2018,,BMG,Ind,40,3,41,1,8,-1,4,-1,2,-1,,,,,-1,2,Internet
,Jan,10-19,10/01/2018,26,ICM,,41,0,41,-1,7,0,4,-1,3,0,,,,,0,1,Internet
,Jan,11-12,11/01/2018,14,Opinium,Ob,40,1,40,-1,6,-1,5,-1,3,1,,,,,0,2,Internet
,Jan,12-14,12/01/2018,16,ICM,Gu,40,-1,41,0,7,0,4,0,3,0,,,,,-1,-1,Internet
,Jan,16-17,16/01/2018,20,YouGov,TT,41,1,42,1,7,-2,3,0,2,0,,,,,-1,0,Internet
,Jan,16-19,16/01/2018,,Sky,,,,,,,,,,,,,,,,,,Internet
,Jan,19-23,19/01/2018,26,Ipsos MORI,ES,39,2,42,3,9,0,3,-1,2,-2,,,,,-3,-1,Phone
,Jan,26-29,26/01/2018,5,Survation,,40,3,43,-2,8,2,3,-1,1,0,,,,,-3,5,Internet
,Jan,28-29,28/01/2018,2,YouGov,TT,42,1,42,0,6,-1,2,-1,3,1,,,,,0,1,Internet
,Jan,29-30,29/01/2018,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jan,30-31,30/01/2018,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Feb,2-4,02/02/2018,6,ICM,Gu,41,1,40,-1,8,1,4,0,3,0,,,,,1,2,Internet
,Feb,5-6,05/02/2018,8,YouGov,TT,43,1,39,-3,8,2,3,1,3,0,,,,,4,4,Internet
,Feb,6-8,06/02/2018,11,Opinium,Ob,42,2,39,-1,7,1,5,0,2,-1,,,,,3,3,Internet
,Feb,6-9,06/02/2018,14,BMG,Ind,40,0,40,-1,8,0,5,1,4,2,,,,,0,1,Internet
,Feb,6-12,06/02/2018,19,Kantar TNS,,35,,40,,8,,4,,4,,,,,,-5,,Internet
,Feb,12-13,12/02/2018,16,YouGov,TT,40,-3,41,2,8,0,4,1,2,-1,,,,,-1,-5,Internet
,Feb,14-16,14/02/2018,,Sky,,,,,,,,,,,,,,,,,,Internet
,Feb,16-19,16/02/2018,21,ICM,Gu,42,1,43,3,7,-1,3,-1,2,-1,,,,,-1,-2,Internet
,Feb,19-20,19/02/2018,24,YouGov,TT,40,0,42,1,8,0,4,0,2,0,,,,,-2,-1,Internet
,Feb,26-27,26/02/2018,2,YouGov,TT,41,1,42,0,7,-1,3,-1,2,0,,,,,-1,1,Internet
,Feb,27-28,27/02/2018,,YouGov,Handelsblatt,,,,,,,,,,,,,,,,,Internet
,Mar,2-4,02/03/2018,6,ICM,Gu,43,1,42,-1,7,0,2,-1,3,1,,,,,1,2,Internet
,Mar,2-7,02/03/2018,9,Ipsos MORI,ES,43,4,42,0,6,-3,2,-1,2,0,,,,,1,4,Phone
,Mar,5-6,05/03/2018,7,YouGov,TT,41,0,43,1,7,0,2,-1,2,0,,,,,-2,-1,Internet
,Mar,7-8,07/03/2018,,Survation,GMB,37,-3,44,1,9,1,3,0,2,1,,,,,-7,-4,Internet
,Mar,13-15,13/03/2018,18,Opinium,Ob,42,0,40,1,6,-1,4,-1,3,1,,,,,2,-1,Internet
,Mar,13-16,13/03/2018,,BMG,Ind,38,-2,40,0,10,2,4,-1,3,-1,,,,,-2,-2,Internet
,Mar,14-15,14/03/2018,16,YouGov,TT,42,1,39,-4,7,0,3,1,3,1,,,,,3,5,Internet
,Mar,16-18,16/03/2018,20,ICM,Gu,44,1,41,-1,8,1,1,-1,2,-1,,,,,3,2,Internet
,Mar,16-23,16/03/2018,,Sky,,,,,,,,,,,,,,,,,,Internet
,Mar,18-19,18/03/2018,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Mar,23-25,23/03/2018,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Mar,23-26,23/03/2018,,YouGov,Eurotrack,,,,,,,,,,,,,,,,,Internet
,Mar,26-27,26/03/2018,29,YouGov,TT,43,1,39,0,8,1,3,0,2,-1,,,,,4,1,Internet
,Mar,27-5,27/03/2018,7,NCP,,43,,38,,8,,3,,3,,,,,,5,,Internet
,Apr,4-5,04/04/2018,7,YouGov,TT,42,-1,41,2,7,-1,4,1,2,0,,,,,1,-3,Internet
,Apr,4-6,04/04/2018,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Apr,5-6,05/04/2018,8,Deltapoll,Ob,,,,,,,,,,,,,,,,,Internet
,Apr,6-8,06/04/2018,20,ICM,Gu,42,-2,41,0,7,-1,4,3,3,1,,,,,1,-2,Internet
,Apr,9-10,09/04/2018,14,YouGov,TT,40,-2,40,-1,9,2,4,0,2,0,,,,,0,-1,Internet
,Apr,10-12,10/04/2018,15,Opinium,Ob,40,-2,40,0,7,1,5,1,2,-1,,,,,0,-2,Internet
,Apr,11-12,11/04/2018,15,ComRes,SE,40,,41,,7,,4,,2,,,,,,-1,,Internet
,Apr,11-13,11/04/2018,2,BMG,Ind,39,1,38,-2,11,1,3,-1,4,1,,,,,1,3,Internet
,Apr,14,14/04/2018,15,Survation,MoS,40,3,40,-4,9,0,3,0,1,-1,,,,,0,7,Internet
,Apr,16-17,16/04/2018,20,YouGov,TT,43,3,38,-2,8,-1,3,-1,3,1,,,,,5,5,Internet
,Apr,20-24,20/04/2018,30,Ipsos MORI,ES,41,-2,40,-2,10,4,2,0,2,0,,,,,1,0,Phone
,Apr,24-25,24/04/2018,1,YouGov,TT,43,0,38,0,8,0,3,0,3,0,,,,,5,0,Internet
,Apr,27-29,27/04/2018,1,ICM,Gu,42,0,39,-2,8,1,4,0,3,0,,,,,3,2,Internet
,Apr,27-29,27/04/2018,1,ComRes,DE,40,0,40,-1,9,2,5,1,3,1,,,,,0,1,Internet
,Apr,30-1,30/04/2018,2,YouGov,TT,42,-1,38,0,7,-1,3,0,3,0,,,,,4,-1,Internet
,May,1-2,01/05/2018,,YouGov,,,,,,,,,,,,,,,,,,Internet
,May,1-4,01/05/2018,15,BMG,Ind,39,0,39,1,10,-1,4,1,3,-1,,,,,0,1,Internet
,May,8-9,08/05/2018,10,YouGov,TT,43,1,38,0,9,2,2,-1,2,-1,,,,,5,1,Internet
,May,8-10,08/05/2018,11,Survation,,41,1,40,0,8,-1,3,0,2,1,,,,,1,1,Internet
,May,11-13,11/05/2018,15,ICM,Gu,43,1,40,1,8,0,3,-1,3,0,,,,,3,0,Internet
,May,13-14,13/05/2018,18,YouGov,TT,43,0,38,0,9,0,3,1,3,1,,,,,5,0,Internet
,May,15-16,15/05/2018,20,Opinium,Ob,43,3,39,-1,6,-1,4,-1,3,1,,,,,4,4,Internet
,May,16-17,16/05/2018,23,ComRes,"We, The People",41,1,41,1,7,-2,3,-2,3,0,,,,,0,0,Internet
,May,18-22,18/05/2018,24,Ipsos MORI,ES,40,-1,40,0,7,-3,2,0,5,3,,,,,0,-1,Phone
,May,20-21,20/05/2018,22,YouGov,TT,42,-1,38,0,9,0,2,-1,3,0,,,,,4,-1,Internet
,May,25-29,25/05/2018,30,ICM,Gu,43,0,40,0,8,0,3,0,2,-1,,,,,3,0,Internet
,May,28-29,28/05/2018,5,YouGov,TT,42,0,39,1,9,0,3,1,2,-1,,,,,3,-1,Internet
,May,31-4,31/05/2018,8,Survation,,41,0,40,0,9,1,2,-1,2,0,,,,,1,0,Internet
,Jun ,4-5,04/06/2018,8,YouGov,TT,44,2,37,-2,8,-1,3,0,3,1,,,,,7,4,Internet
,Jun ,5-7,05/06/2018,10,Opinium,Ob,42,-1,40,1,7,1,3,-1,2,-1,,,,,2,-2,Internet
,Jun ,5-8,05/06/2018,20,BMG,Ind,38,-1,41,2,11,1,4,0,2,-1,,,,,-3,-3,Internet
,Jun ,8-10,08/06/2018,12,ICM,Gu,42,-1,40,0,8,0,3,0,3,1,,,,,2,-1,Internet
,Jun ,10-11,10/06/2018,,YouGov,Handelsblatt,,,,,,,,,,,,,,,,,Internet
,Jun ,11-12,11/06/2018,14,YouGov,TT,42,-2,39,2,8,0,3,0,2,-1,,,,,3,-4,Internet
,Jun ,18-19,18/06/2018,,YouGov,TT,42,0,40,1,9,1,3,0,2,0,,,,,2,-1,Internet
,Jun ,19-20,19/06/2018,21,Survation,GMB,41,0,38,-2,7,-2,3,1,3,1,,,,,3,2,Internet
,Jun ,22-24,22/06/2018,26,ICM,Gu,41,-1,40,0,9,1,3,0,3,0,,,,,1,-1,Internet
,Jun ,22-27,22/06/2018,29,Ipsos MORI,ES,41,1,38,-2,7,0,4,2,4,-1,,,,,3,3,Phone
,Jun ,25-26,25/06/2018,3,YouGov,TT,42,0,37,-3,9,0,3,0,3,1,,,,,5,3,Internet
,Jul,3-4,03/07/2018,7,YouGov,TT,41,-1,40,3,9,0,3,0,2,-1,,,,,1,-4,Internet
,Jul,3-5,03/07/2018,8,BMG,Ind,39,1,37,-4,10,-1,3,-1,4,2,,,,,2,5,Internet
,Jul,5-9,05/07/2018,10,Kantar TNS,,40,,38,,9,,3,,3,,,,,,2,,Internet
,Jul,6-9,06/07/2018,11,ICM,Gu,41,0,39,-1,9,0,4,1,3,0,,,,,2,1,Internet
,Jul,7,07/07/2018,7,Survation,MoS,38,-3,40,2,10,3,3,0,2,-1,,,,,-2,-5,Internet
,Jul,8-9,08/07/2018,10,YouGov,TT,39,-2,39,-1,9,0,5,2,3,1,,,,,0,1,Internet
,Jul,10-11,10/07/2018,12,YouGov,TT,37,-2,39,0,10,1,6,1,3,0,,,,,-2,-2,Internet
