Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,
1959,Oct,,,Gallup,News Chron,48,,46,,5,,2,,
,Nov,,,Gallup,News Chron,48,0,44,-2,7,2,4,2,
,Dec,,,Gallup,News Chron,47.5,-0.5,44,0,7.5,0.5,3.5,-0.5,
1960,Jan,1-6,,Gallup,,47,-0.5,43.5,-0.5,8.5,1,3.5,0,
,Jan,9-20,,Gallup,,47,0,42.5,-1,9.5,1,4.5,1,
,Feb,5-24,,Gallup,,47,0,43.5,1,9,-0.5,3.5,-1,
,Mar,11-26,,Gallup,,47,0,42,-1.5,10,1,5,1.5,
,Apr,6-27,,Gallup,,45,-2,42.5,0.5,11.5,1.5,2.5,-2.5,
,Mar,1-29,,Gallup,,45.5,0.5,42.5,0,11,-0.5,3,0.5,
,Jun,3-29,,Gallup,,45.5,0,43,0.5,10.5,-0.5,2.5,-0.5,
,Jul,1-27,,Gallup,,47,1.5,43,0,9,-1.5,4,1.5,
,Aug,25-5,,Gallup,,47.5,0.5,42,-1,10,1,5.5,1.5,
,Sep,8-4,,Gallup,,47.5,0,40.5,-1.5,11,1,7,1.5,
,Oct,20-2,,Gallup,,50,2.5,37,-3.5,12.5,1.5,13,6,
,Nov,3-29,,Gallup,,46,-4,40.5,3.5,13.5,1,5.5,-7.5,
,Dec,,,Gallup,,47.5,1.5,37.5,-3,14,0.5,10,4.5,
1961,Jan,,,Gallup,DT,45,-2.5,41.5,4,12.5,-1.5,3.5,-6.5,
,Feb,,,Gallup,DT,44,-1,42,0.5,13,0.5,2,-1.5,
,Mar,,,Gallup,DT,44,0,40,-2,15,2,4,2,
,Apr,21-26,,Gallup,DT,43.5,-0.5,40.5,0.5,15,0,3,-1,
,Apr,28-9,,Gallup,DT,44.5,1,40.5,0,14,-1,4,1,
,Jun,30-7,,Gallup,DT,43.5,-1,40,-0.5,15,1,3.5,-0.5,
,Jun,29-5,,Gallup,DT,44,0.5,41.5,1.5,14,-1,2.5,-1,
,Aug,2-9,,Gallup,DT,38,-6,43,1.5,17,3,-5,-7.5,
,Aug,30-4,,Gallup,DT,40,2,45.5,2.5,13.5,-3.5,-5.5,-0.5,
,Sep,24-2,,Gallup,DT,42.5,2.5,45,-0.5,12,-1.5,-2.5,3,
,Sep,12-16,,Gallup,DT,43.5,1,43.5,-1.5,12,0,0,2.5,
,Nov,2-7,,Gallup,DT,41.5,-2,43,-0.5,14.5,2.5,-1.5,-1.5,
,Nov,9-14,,Gallup,DT,39,-2.5,40,-3,20,5.5,-1,0.5,
,Nov,30-6,,Gallup,DT,38.5,-0.5,43,3,17.5,-2.5,-4.5,-3.5,
1962,Jan,5-14,,Gallup,DT,42,3.5,42,-1,15,-2.5,0,4.5,
