Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,SDP,,Green,,Con lead,,
,Aug,7-11,13,Marplan,GU,32,2.5,38,-3,27,-0.5,,,,,-6,5.5,
,Aug,?-11,,NOP,,34.6,-1.7,37.3,0.9,25.1,0.1,,,,,-2.7,-2.6,
,Aug,15-19,27,MORI,ES,37,5,37,-4,24,-1,,,,,0,9,
,Aug,22-27,28,Marplan,Today,35,3,38,0,24,-3,,,,,-3,3,
,Sep,?-8,,NOP,,34.1,-0.5,42.4,5.1,21.6,-3.5,,,,,-8.3,-5.6,
,Sep,4-9,10,Marplan,GU,34,-1,40,2,24,0,,,,,-6,-3,
,Sep,10-15,17,Gallup,DT,32.5,2.5,38,1.5,27.5,-2.5,,,,,-5.5,1,
,Sep,19-23,24,Marplan,Today,34,0,40,0,24,0,,,,,-6,0,
,Sep,19-23,28,MORI,ES,35,-2,37,0,26,2,,,,,-2,-2,
,Oct,2-3,4,Harris,OB,38,,41,,20,,,,,,-3,,
,Oct,?-6,,NOP,,37.5,3.4,37.6,-4.8,22.2,0.6,,,,,-0.1,8.2,
,Oct,3-7,8,Marplan,GU,36,2,39,-1,23,-1,,,,,-3,3,
,Oct,,9,,,36,,39,,23,,,,,,-3,,
,Oct,16-20,22,Gallup,DT,37.5,5,37.5,-0.5,22,-5.5,,,,,0,5.5,
,Oct,16-20,23,Marplan,Today,40,4,41,2,17,-6,,,,,-1,2,
,Oct,17-22,27,MORI,ES,39,4,41,4,17,-9,,,,,-2,0,
,Oct,21-24,4,Marplan,PA,41,1,37.5,-3.5,19,2,,,,,3.5,4.5,
,Oct,,7,G9000,,37.2,,38.6,,22,,,,,,-1.4,,
,Nov,1-2,3,Harris,TV-AM,40,2,36,-5,21,1,,,,,4,7,
,Nov,,4,,,31,,47,,19,,,,,,-16,,
,Nov,,5,,,37.5,,41,,19,,,,,,-3.5,,
,Nov,3-4,9,MORI,ST,40,1,39,-2,18,1,,,,,1,3,
,Nov,?-10,11,NOP,,40.7,3.2,38.5,0.9,18.2,-4,,,,,2.2,2.3,
,Nov,,12,MORI,,39,-1,41,2,18,0,,,,,-2,-3,
,Nov,7-11,12,Marplan,GU,39,-2,36,-1.5,23,4,,,,,3,-0.5,
,Nov,12-17,20,Gallup,DT,36,-1.5,39.5,2,22,0,,,,,-3.5,-3.5,
,Nov,20-26,2,MORI,ES,41,2,39,-2,18,0,,,,,2,4,
,Nov,21-24,29,Marplan,Today,39,0,38,2,20,-3,,,,,1,-2,
,Nov,,5,G9000,,37.7,0.5,38.3,-0.3,21.6,-0.4,,,,,-0.6,0.8,
,Dec,,3,NOP,,41,0.3,38,-0.5,19.5,1.3,,,,,3,0.8,
,Dec,4-8,11,Marplan,GU,39,0,38,0,21,1,,,,,1,0,
,Dec,6-7,10,Harris,TV-AM,41,1,35,-1,22,1,,,,,6,2,
,Dec,8-12,14,MORI,ST,41,0,39,0,19,1,,,,,2,0,
,Dec,?-15,,NOP,,41.3,0.3,34.9,-3.1,21.1,1.6,,,,,6.4,3.4,
,Dec,10-15,20,Gallup,,41,5,32.5,-7,23.5,1.5,,,,,8.5,12,
,Dec,18-30,3,MORI,ST,39,-2,38,-1,21,2,,,,,1,-1,
,Dec,,9,G9000,,38.2,0.5,35,-3.3,24.3,2.7,,,,,3.2,3.8,
1987,Jan,7-14,21,NOP,ES,42,0.7,37,2.1,19,-2.1,,,,,5,-1.4,
,Jan,9-12,15,Marplan,GU,38,-1,36,-2,23,2,,,,,2,1,
,Jan,10-11,13,Harris,TV-AM,42,1,37,2,20,-2,,,,,5,-1,
,Jan,14-20,22,Gallup,DT,34.5,-0.65,39.5,7,23.5,0,,,,,-5,-13.5,
,Jan,20-22,25,Harris,OB,44,2,36,-1,18,-2,,,,,8,3,
,Jan,21-28,4,NOP,C4 Union World,38,-4,40,3,20,1,,,,,-2,-7,
,Jan,23-27,30,Marplan,Today,38.5,0.5,38.5,2.5,20,-3,,,,,0,-2,
,Jan,23-28,1,MORI,ST,39,0,38,0,21,0,,,,,1,0,
,Jan,30-1,2,Harris,TV-AM,37,-7,39,3,22,4,,,,,-2,-10,
,Jan,,6,G9000,,37.4,-0.8,36.6,1.1,23.8,-0.5,,,,,0.8,-2.4,
,Feb,4-9,18,NOP,ES,39,1,37,-3,23,3,,,,,2,4,
,Feb,6-10,12,Marplan,GU,38,-0.5,35,-3.5,25,5,,,,,3,3,
,Feb,6-10,15,MORI,ST,39,0,36,-2,23,2,,,,,3,2,
,Feb,11-16,19,Gallup,DT,36,1.5,34.5,-5,27.5,2,,,,,1.5,6.5,
,Feb,17-19,22,Harris,OB,39,2,37,-2,23,1,,,,,2,4,
,Feb,20-25,1,MORI,ST,41,2,35,-1,21,-2,,,,,6,3,
,Feb,25-2,10,NOP,ES,39,0,34,-3,25,2,,,,,5,3,
,Feb,27-1,3,Harris,TV-AM,36,-3,33,-4,29,6,,,,,3,1,
,Feb,,6,G9000,,37.7,0.3,33.7,-2.9,26.6,2.8,,,,,4,3.2,
,Mar,6-10,12,Marplan,GU,38,0,32,-3,27,2,,,,,6,3,
,Mar,6-10,15,MORI,ST,41,0,32,-3,25,2,,,,,9,3,
,Mar,12-17,22,Gallup,STel,38.5,2.5,30,-4.5,30.5,3,,,,,8.5,6.5,
,Mar,18-19,22,Harris,OB,39,3,33,0,26,-3,,,,,6,3,
,Mar,19-20,22,MORI,ST,39,-2,33,1,26,1,,,,,6,3,
,Mar,19-23,27,Gallup,DT,37.5,-1,29.5,-0.5,31.5,1,,,,,8,-2,
,Mar,20-24,26,Marplan,Today,36,-2,31,-1,31,4,,,,,5,-1,
,Mar,26-2,5,MORI,ST,41,2,29,-4,29,3,,,,,12,2,
,Mar,,3,G9000,,36.7,-1,29.6,-4.1,31.8,5.7,,,,,7.1,0.9,
,Apr,2,6,Marplan,DE,39,3,29,-2,30,-1,,,,,10,4,
,Apr,3-5,7,Harris,TV-AM,43,4,30,-3,26,0,,,,,13,7,
,Apr,3-7,9,Marplan,GU,38,-1,32,3,27,-3,,,,,6,-3,
,Apr,8-10,15,Marplan,PA,40,2,30,-2,27,0,,,,,10,4,
,Apr,8-13,16,Gallup,DT,40.5,3,28,-1.5,29,-2.5,,,,,12.5,5.5,
,Apr,9-15,22,NOP,ES,44,5,29,-5,25,0,,,,,15,10,
,Apr,10-12,14,MORI,ES,42,1,29,0,26,-3,,,,,13,2,
,Apr,21-23,26,Harris,OB,42,-1,31,1,25,-1,,,,,11,-2,
,Apr,24-27,30,Harris,Capital Radio,42,0,31,0,25,0,,,,,11,0,
,Apr,24-30,3,MORI,ST,44,2,31,2,23,-3,,,,,13,0,
,Apr,24-27,30,Marplan,Today,39,-1,33,3,24,-3,,,,,6,-4,
,Apr,29-4,7,NOP,Ind,39,-5,34,5,25,0,,,,,5,-10,
,Apr,,1,G9000,,38,1.3,29.6,0,30.1,-1.7,,,,,8.4,3,
,May,1-3,5,Harris,TV-AM,44,2,30,-1,25,0,,,,,14,3,
,May,6-7,10,Harris,LWT,44,0,33,3,21,-4,,,,,11,-3,
,May,6-11,15,NOP,ES,46,7,28,-6,25,0,,,,,18,13,
,May,7-11,13,Gallup,DT,39,-1.5,28,0,30,1,,,,,11,-2.5,
,May,8-12,13,Marplan,GU,43,4,29,-4,25,1,,,,,14,8,
,May,8-12,16,MORI,,44,0,31,0,23,0,,,,,13,0,
,May,11-14,16,MORI,ST,44,,30,,25,,,,,,14,,Panel
,May,13,14,Marplan,DE,41,-2,30,1,26,1,,,,,11,-3,
,May,13-15,16,Harris,OB,42,-2,33,0,23,2,,,,,9,-2,
,May,,18,Marplan,Today,41,0,33,3,24,-2,,,,,8,-3,
,May,16-17,18,Harris,TV-AM,42,0,32,-1,24,1,,,,,10,1,
,May,19-20,,Gallup,,42,3,33,5,23,-7,,,,,9,0,
,May,,20,NOP,,41,-5,33,5,23,-2,,,,,8,-10,
,May,,21,Marplan,GU,41,0,33,0,21,-3,,,,,8,0,
,May,18-21,22,Harris,TV-AM,43,1,36,4,20,-4,,,,,7,-3,
,May,20-21,23,MORI,ST,44,0,31,1,24,-1,,,,,13,-1,Panel
,May,20-21,23,Harris,OB,41,-2,34,-2,22,2,,,,,7,0,
,May,20-22,23,Gallup,STel,42,,33,,23,,,,,,9,,Panel
,May,,24,MORI,,44,0,31,0,24,1,,,,,13,0,
,May,,26,Marplan,Today,42,1,35,2,20,-1,,,,,7,-1,
,May,22-25,26,Harris,TV-AM,42,1,37,3,21,-1,,,,,5,-2,
,May,26-27,,Gallup,DT,44.5,2.5,36,3,18,-5,,,,,8.5,-0.5,
,May,,28,Marplan,GU,44,2,32,-3,21,1,,,,,12,5,
,May,26-29,30,Harris,TV-AM,45,3,32,-5,22,1,,,,,13,8,
,May,27-28,30,Harris,OB,41,-4,37,5,21,-1,,,,,4,-9,
,May,27-28,30,MORI,ST,44,0,32,1,23,-1,,,,,12,-1,Panel
,May,27-29,30,Gallup,STel,41.5,-3,34,-2,22.5,4.5,,,,,7.5,-1,
,May,,31,Harris,,42,1,35,-2,21,0,,,,,7,3,
,Jun,,1,Marplan,Today,44,0,33,1,21,0,,,,,11,-1,
,Jun,30-2,3,Harris,TV-AM,42,0,36,1,20,-1,,,,,6,-1,
,Jun,2-3,,Gallup,DT,40.5,-1.5,36.5,2.5,21.5,-1,,,,,4,-3.5,
,Jun,,4,Marplan,GU,44,0,34,1,20,-1,,,,,10,-1,
,Jun,,5,Marplan,Today,43,-1,35,1,21,1,,,,,8,-2,
,Jun,3-4,6,Harris,OB,44,2,33,-3,21,1,,,,,11,5,
,Jun,3-4,6,MORI,ST,43,-1,32,0,24,1,,,,,11,-1,Panel
,Jun,3-5,6,Gallup,STel,41.5,-0.5,34.5,1.5,22.5,-0.5,,,,,7,-2,Panel
,Jun,3-6,8,Harris,TV-AM,43,-1,33,0,22,1,,,,,10,-1,
,Jun,,8,Marplan,GU,45,2,32,-3,21,0,,,,,13,5,
,Jun,,9,Marplan,Today,43,-2,35,3,21,0,,,,,8,-5,
,Jun,,9,ASL,Sun,43,,34,,21,,,,,,9,,Phone
,Jun,8-9,10,Gallup,DT,41,0.5,34,-2.5,23.5,2,,,,,7,3,
,Jun,8-9,10,Harris,TV-AM,42,-1,35,2,21,-1,,,,,7,-3,
,Jun,,10,Marplan,GU,42,-1,35,0,21,0,,,,,7,-1,
,Jun,9-10,11,MORI,TT,44,0,32,1,22,-2,,,,,12,-1,
,Jun,10,,NOP,Ind,42,1,35,2,21,-2,,,,,7,-1,
