Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,SDP,,Green,,Con lead,,
1983,Jun,16-20,4,MORI,DS,43,,27,,29,,,,,,16,,
,Jul,7-11,13,Gallup,DT,44,,28.5,,26,,,,,,15.5,,
,Jul,?-12,,NOP,,46.4,,27.4,,24.3,,,,,,19,,
,Jul,21-25,1,MORI,DE,44,1,30,3,25,-4,,,,,14,-2,
,Aug,?-2,,NOP,,47.1,0.7,24.5,-2.9,27.1,2.8,,,,,22.6,3.6,
,Aug,8-10,23,Marplan,GU,45,,30,,24,,,,,,15,,
,Aug,10-15,17,Gallup,DT,44.5,0.5,25,-3.5,29,3,,,,,19.5,4,
,Aug,18-22,4,MORI,DS,46,2,30,0,22,-3,,,,,16,2,
,Sep,?-6,,NOP,,46.1,-1,28.5,4,23.8,-3.3,,,,,17.6,-5,
,Sep,7-12,14,Gallup,DT,45.5,1,24.5,-0.5,29,0,,,,,21,1.5,
,Sep,22-26,,MORI,,45,-1,27,-3,26,4,,,,,18,2,
,Oct,?-4,,NOP,,43.9,-2.2,28.5,0,26.3,2.5,,,,,15.4,-2.2,
,Oct,5-6,8,Harris,OB,42,,39,,18,,,,,,3,,
,Oct,10-12,,Marplan,GU,42,-3,37,7,20,-4,,,,,5,-10,
,Oct,19-24,26,Gallup,DT,42,-3.5,35.5,11,20.5,-8.5,,,,,6.5,-14.5,
,Oct,20-24,30,MORI,ES,42,-3,37,10,19,-7,,,,,5,-13,
,Nov,,5,MORI,ST,43,1,35,-2,20,1,,,,,8,3,
,Nov,4-7,8,NOP,DM,44,0.1,32,3.5,22,-4.3,,,,,12,-3.4,
,Nov,?-8,,NOP,,45.3,1.3,35.7,3.7,18.1,-3.9,,,,,9.6,-2.4,
,Nov,7-9,,Marplan,GU,42,0,35,-2,22,2,,,,,7,2,
,Nov,9-14,16,Gallup,DT,43.5,1.5,36,0.5,19.5,-1,,,,,7.5,1,
,Nov,17-21,,MORI,,39,-4,37,2,22,2,,,,,2,-6,
,Dec,,3,MORI,ST,44,5,37,0,18,-4,,,,,7,5,
,Dec,?-6,,NOP,,41.5,-3.8,37.4,1.7,20.2,2.1,,,,,4.1,-5.5,
,Dec,5-7,15,Marplan,GU,41,-1,37,2,21,-1,,,,,4,-3,
,Dec,5-9,,MORI,,42,-2,37,0,19,1,,,,,5,-2,
,Dec,7-12,15,Gallup,DT,42.5,-1,36,0,19.5,0,,,,,6.5,-1,
,Dec,,17,MORI,ST,40.5,-1.5,39.5,2.5,18,-1,,,,,1,-4,
1984,Jan,5-9,16,MORI,ES,42,1.5,37,-2.5,19,1,,,,,5,0,
,Jan,?-10,,NOP,,44.1,2.6,37,-0.4,17,-3.2,,,,,7.1,3,
,Jan,11-16,19,Gallup,DT,41.5,-1,38,2,19.5,0,,,,,3.5,-3,
,Jan,12-16,26,Marplan,GU,42,1,38,1,19,-2,,,,,4,0,
,Jan,,20,Harris,OB,43,,36,,18,,,,,,7,,
,Jan,?-18,20,NOP,MoS,45,0.9,33,-4,20,3,,,,,12,4.9,
,Feb,?-7,,NOP,,46.7,1.7,35.4,2.4,15.5,-4.5,,,,,11.3,-0.7,
,Feb,8-13,15,Gallup,DT,43,1.5,33.5,-4.5,21.5,2,,,,,9.5,6,
,Feb,9-13,22,Marplan,GU,39,-3,40,2,20,1,,,,,-1,-5,
,Feb,16-20,27,MORI,ES,41,-1,38,1,19,0,,,,,3,-2,
,Mar,,3,MORI,ST,38,-3,41,3,18,-1,,,,,-3,-6,
,Mar,?-6,,NOP,,40.3,-6.4,41.1,5.7,17.4,1.9,,,,,-0.8,-12.1,
,Mar,14-20,27,MORI,ES,41,3,40,-1,17,-1,,,,,1,4,
,Mar,15-19,28,Marplan,GU,39,-1,39,-2,22,2,,,,,0,1,
,Mar,15-19,21,Gallup,DT,41,-2,38.5,5,19.5,-2,,,,,2.5,-7,
,Apr,?-10,,NOP,,41,0.7,39.6,-1.5,18.3,0.9,,,,,1.4,2.2,
,Apr,11-16,18,Gallup,DT,41,0,36.5,-2,20.5,1,,,,,4.5,2,
,Apr,12-16,26,Marplan,GU,40,1,37,-2,21,-1,,,,,3,3,
,Apr,13-17,28,Harris,OB,40,-3,36,0,22,4,,,,,4,-3,
,Apr,24-25,28,MORI,ST,42,1,36,-4,20,3,,,,,6,5,
,Apr,25-1,7,MORI,ES,40,-2,39,3,20,0,,,,,1,-5,
,May,?-8,,NOP,,42.6,1.6,35.5,-4.1,20.3,2,,,,,7.1,5.7,
,May,9-14,16,Gallup,DT,38.5,-2.5,36.5,0,23,2.5,,,,,2,-2.5,
,May,14,24,Marplan,GU,38,-2,37,0,23,2,,,,,1,-2,
,May,24-29,4,MORI,ES,40,0,38,-1,21,1,,,,,2,1,
,Jun,?-5,,NOP,,41.8,-0.8,36.2,0.7,20.3,0,,,,,5.6,-1.5,
,Jun,6-11,13,Gallup,DT,37.5,-1,38,1.5,23,0,,,,,-0.5,-2.5,
,Jun,7-8,9,MORI,ST,42,2,38,0,18,-3,,,,,4,2,
,Jun,7-11,21,Marplan,GU,37,-1,38,1,23,0,,,,,-1,-2,
,Jun,,16,Marplan,SM,38,1,39,1,22,-1,,,,,-1,0,
,Jun,21-25,2,MORI,ES,39,-3,39,1,21,3,,,,,0,-4,
,Jul,?-10,,NOP,,39.9,-1.9,36.5,0.3,21.6,1.3,,,,,3.4,-2.2,
,Jul,7-10,19,Marplan,GU,34.5,-3.5,39,0,25.5,3.5,,,,,-4.5,-3.5,
,Jul,11-16,18,Gallup,DT,37.5,0,38.5,0.5,22,-1,,,,,-1,-0.5,
,Jul,19-23,,MORI,,37,-2,40,1,20,-1,,,,,-3,-3,
,Aug,?-7,,NOP,,41,1.1,37.1,0.6,19.3,-2.3,,,,,3.9,0.5,
,Aug,8-13,15,Gallup,DT,36,-1.5,39,0.5,22.5,0.5,,,,,-3,-2,
,Aug,9-13,23,Marplan,GU,36,1.5,39,0,24,-1.5,,,,,-3,1.5,
,Aug,16-20,28,MORI,ES,39,2,39,-1,21,1,,,,,0,3,
,Aug,28-29,2,MORI,ST,39,0,40,1,19,-2,,,,,-1,-1,
,Sep,?-4,,NOP,,42.9,1.9,36.4,-0.7,18.3,-1,,,,,6.5,2.6,
,Sep,5-10,12,Gallup,DT,37,1,36,-3,25.5,3,,,,,1,4,
,Sep,6-10,18,MORI,TT,40,1,39,-1,19,0,,,,,1,2,
,Sep,7-11,23,Marplan,GU,39,3,38,-1,21,-3,,,,,1,4,
,Sep,17-21,27,MORI,ES,42,2,36,-3,20,1,,,,,6,5,
,Sep,20-24,3,Marplan,GU,38,-1,36,-2,24,3,,,,,2,1,
,Oct,3-4,7,MORI,ST,43,1,35,-1,19,-1,,,,,8,2,
,Oct,4-8,18,Marplan,GU,38,0,37,1,23,-1,,,,,1,-1,
,Oct,?-9,,NOP,,40.2,-2.7,33.5,-2.9,24.4,6.1,,,,,6.7,0.2,
,Oct,17-22,24,Gallup,DT,44.5,7.5,32,-4,21.5,-4,,,,,12.5,11.5,
,Oct,18-22,29,MORI,ES,44,1,35,0,20,1,,,,,9,1,
,Nov,1-5,14,Marplan,GU,42,4,33,-4,24,1,,,,,9,8,
,Nov,?-6,,NOP,,45.5,5.3,32.1,-1.4,20.8,-3.6,,,,,13.4,6.7,
,Nov,7-12,14,Gallup,DT,44.5,0,30.5,-1.5,23.5,2,,,,,14,1.5,
,Nov,15-19,26,MORI,ES,43,-1,35,0,19,-1,,,,,8,-1,
,Dec,?-4,,NOP,,42,-3.5,32.6,0.5,23.2,2.4,,,,,9.4,-4,
,Dec,5-7,9,MORI,ST,41,-2,37,2,20,1,,,,,4,-4,
,Dec,5-10,12,Gallup,DT,39.5,-5,31,0.5,27.5,4,,,,,8.5,-5.5,
,Dec,6-10,20,Marplan,GU,41,-1,32,-1,26,2,,,,,9,0,
,Dec,6-10,,MORI,,40,-1,36,-1,22,2,,,,,4,0,
,Dec,28,6,MORI,ST,38,-2,36,0,25,3,,,,,2,-2,
1985,Jan,2-7,14,MORI,ES,42,4,34,-2,21,-4,,,,,8,6,
,Jan,5,8,NOP,DM,33,-9,38,5.4,28,4.8,,,,,-5,-14.4,
,Jan,9-14,16,Gallup,DT,39,-0.5,33,2,25.5,-2,,,,,6,-2.5,
,Jan,10-14,23,Marplan,GU,41,0,33,1,25,-1,,,,,8,-1,
,Jan,?-15,,NOP,,38.1,5.1,33.2,-4.8,26.9,-1.1,,,,,4.9,9.9,
,Feb,?-5,,NOP,,37.9,-0.2,34.1,0.9,25.5,-1.4,,,,,3.8,-1.1,
,Feb,6,10,MORI,ST,37,-5,37,3,24,3,,,,,0,-8,
,Feb,6-11,13,Gallup,DT,35,-4,32,-1,31.5,6,,,,,3,-3,
,Feb,7-11,20,Marplan,GU,38,-3,35,2,26,1,,,,,3,-5,
,Feb,16-18,28,MORI,LWT,38,1,40,3,19,-5,,,,,-2,-2,
,Feb,19-24,4,MORI,ES,39,1,35,-5,24,5,,,,,4,6,
,Feb,21-25,6,Marplan,GU,38,0,36,1,25,-1,,,,,2,-1,
,Mar,?-5,,NOP,,38.5,0.6,37.3,3.2,22,-3.5,,,,,1.2,-2.6,
,Mar,6-7,9,Harris,OB,40,,38,,19,,,,,,2,,
,Mar,7-11,20,Marplan,GU,36,-2,36,0,27,2,,,,,0,-2,
,Mar,8,9,NOP,MoS,35,-3.5,35,-2.3,26,4,,,,,0,-1.2,
,Mar,19-24,1,MORI,ES,36,-3,40,5,23,-1,,,,,-4,-8,
,Mar,21-22,24,MORI,ST,37,1,39,-1,22,-1,,,,,-2,2,
,Mar,21-25,27,Gallup,DT,33,-2,39.5,7.5,25.5,-6,,,,,-6.5,-9.5,
,Apr,11-15,24,Marplan,GU,33,-3,38,2,28,1,,,,,-5,-5,
,Apr,?-16,,NOP,,39.9,4.9,37,2,20.9,-5.1,,,,,2.9,2.9,
,Apr,17-22,24,Gallup,DT,34,1,37.5,-2,26.5,1,,,,,-3.5,3,
,Apr,25-28,6,MORI,ES,38,1,37,-2,24,2,,,,,1,3,
,May,7-13,19,MORI,ST,34,-4,36,-1,28,4,,,,,-2,-3,
,May,8-13,15,Gallup,DT,30.5,-3.5,34,-3.5,33.5,7,,,,,-3.5,0,
,May,9-13,22,Marplan,GU,29,-4,35,-3,35,7,,,,,-6,-1,
,May,?-21,,NOP,,32.2,-7.7,35.3,-1.7,30.2,9.3,,,,,-3.1,-6,
,May,21-26,3,MORI,ES,33,-1,35,-1,30,2,,,,,-2,0,
,Jun,6-10,19,Marplan,GU,31,2,36,1,32,-3,,,,,-5,1,
,Jun,?-11,,NOP,,34.3,2.1,35.5,0.2,30.2,0,,,,,-1.2,1.9,
,Jun,12-17,19,Gallup,DT,34.5,4,34.5,0.5,30,-3.5,,,,,0,3.5,
,Jun,18-23,30,MORI,ES,35,2,36,1,27,-3,,,,,-1,1,
,Jun,21,23,MORI,ST,32,-3,40,4,26,-1,,,,,-8,-7,
,Jul,4-8,17,Marplan,GU,31,0,34,-2,33,1,,,,,-3,2,
,Jul,?-9,,NOP,,32.2,-2.1,35,-0.5,30.7,0.5,,,,,-2.8,-1.6,
,Jul,10-15,17,Gallup,DT,27.5,-7,38,3.5,32.5,2.5,,,,,-10.5,-10.5,
,Jul,16-21,29,MORI,ES,33,1,34,-6,31,5,,,,,-1,7,
,Aug,?-6,,NOP,,31.3,-0.9,35,0,31.8,1.1,,,,,-3.7,-0.9,
,Aug,7-12,14,Gallup,DT,24,-3.5,40,2,34,1.5,,,,,-16,-5.5,
,Aug,8-12,21,Marplan,GU,31,0,36,2,31,-2,,,,,-5,-2,
,Aug,9,11,MORI,ST,33,0,37,3,29,-2,,,,,-4,-3,
,Aug,13-18,26,MORI,ES,31,-2,35,-2,31,2,,,,,-4,0,
,Aug,29-3,11,Marplan,GU,30,-1,34,-2,35,4,,,,,,,
,Sep,?-3,,NOP,,31.6,0.3,33.9,-1.1,32.5,0.7,,,,,-2.3,1.4,
,Sep,3-8,15,MORI,ES,31,0,37,2,31,0,,,,,-6,-2,
,Sep,5-7,14,Harris,LWT,35,,36,,26,,,,,,-1,,
,Sep,11-16,18,Gallup,DT,29,5,29.5,-10.5,39,5,,,,,,,
,Sep,12-16,25,Marplan,GU,31,1,32,-2,36,1,,,,,,,
,Sep,17-22,29,MORI,ES,30,-1,33,-4,35,4,,,,,,,
,Sep,28-29,2,Harris,Thames,33,-2,32,-4,32,,,,,,1,2,
,Oct,2-3,4,MORI,TT,34,4,36,3,28,-7,,,,,-2,,
,Oct,3-4,5,Harris,OB,32,-1,39,7,27,-5,,,,,-7,-8,
,Oct,?-8,,NOP,,35.4,3.8,34.9,1,27.5,-5,,,,,0.5,2.8,
,Oct,10-14,23,Marplan,GU,32,1,34,2,32,-4,,,,,-2,,
,Oct,15-20,28,MORI,ES,37,3,36,0,25,-3,,,,,1,3,
,Oct,16-21,23,Gallup,DT,32,3,38,8.5,28,-11,,,,,-6,,
,Oct,17-19,26,NOP,MoS,37,1.6,34,-0.9,28,0.5,,,,,3,2.5,
,Nov,?-5,,NOP,,34.6,-2.4,36.7,2.7,26.3,-1.7,,,,,-2.1,-5.1,
,Nov,6-11,14,Gallup,DT,35,3,34,-4,29.5,1.5,,,,,1,7,
,Nov,7-11,20,Marplan,GU,34,2,35,1,29,-3,,,,,-1,1,
,Nov,19-24,1,MORI,ES,36,-1,36,0,25,0,,,,,0,-1,
,Dec,?-3,,NOP,,36.2,1.6,37.4,0.7,24.5,-1.8,,,,,-1.2,0.9,
,Dec,3-8,,MORI,,35,-1,35,-1,28,3,,,,,0,0,
,Dec,4-9,13,Gallup,DT,33,-2,32.5,-1.5,32.5,3,,,,,0.5,-0.5,
,Dec,5-9,19,Marplan,GU,35,1,33,-2,30,1,,,,,2,3,
1986,Jan,4-8,13,MORI,ES,33,-2,38,3,28,0,,,,,-5,-5,
,Jan,8-13,15,Gallup,DT,29.5,-3.5,34,1.5,35,2.5,,,,,,,
,Jan,9-12,22,Marplan,GU,29,-6,36,3,33,3,,,,,-7,-9,
,Jan,?-13,,NOP,,33.2,-3,32.5,-4.9,32.1,7.6,,,,,0.7,1.9,
,Jan,12,13,Harris,ITN,32,,33,,31,,,,,,-1,,
,Jan,24,25,Harris,OB,31,-1,36,3,30,-1,,,,,-5,-4,
,Feb,5-10,12,Gallup,DT,29.5,0,35.5,1.5,33.5,-1.5,,,,,-6,,
,Feb,6-10,19,Marplan,GU,27,-2,36,0,35,2,,,,,-9,-2,
,Feb,?-10,,NOP,,29.6,-3.6,37.4,4.9,30.6,-1.5,,,,,-7.8,-8.5,
,Feb,8-12,16,MORI,ST,33,0,37,-1,29,1,,,,,-4,1,
,Feb,22-26,4,MORI,ES,34,1,35,-2,30,1,,,,,-1,3,
,Mar,6-10,12,Marplan,GU,32,5,35,-1,31,-4,,,,,-3,6,
,Mar,?-10,,NOP,,32.5,2.9,34.8,-2.6,30.8,0.2,,,,,-2.3,5.5,
,Mar,20-24,26,Gallup,DT,29.5,0,34,-1.5,34.5,1,,,,,,,
,Mar,20-21,23,MORI,ST,31,-3,39,4,28,-2,,,,,-8,-7,
,Mar,22-26,,MORI,,34,3,36,-3,28,0,,,,,-2,6,
,Apr,?-7,,NOP,,33.8,1.3,34.7,-0.1,29,-1.8,,,,,-0.9,1.4,
,Apr,4-8,9,Marplan,GU,32,0,35,0,30,-1,,,,,-3,0,
,Apr,9-14,16,Gallup,DT,28,-1.5,38.5,4.5,31.5,-3,,,,,-10.5,,
,Apr,17-21,23,Gallup,DT,33.5,5.5,38,-0.5,26,-5.5,,,,,-4.5,6,
,Apr,19-22,29,MORI,ES,34,0,39,3,25,-3,,,,,-5,-3,
,May,1-2,4,MORI,ST,36,2,38,-1,23,-2,,,,,-2,3,
,May,8-12,15,Gallup,DT,27.5,-6,37,-1,32.5,6.5,,,,,-9.5,-5,
,May,?-12,,NOP,,33.6,-0.2,38.5,3.8,25.9,-3.1,,,,,-4.9,-4,
,May,15-19,21,Marplan,GU,28,-4,39,4,30,0,,,,,-11,-8,
,May,17-21,27,MORI,ES,32,-4,40,2,26,3,,,,,-8,-6,
,Jun,?-2,,NOP,,34,0.4,36.1,-2.4,27.8,1.9,,,,,-2.1,2.8,
,Jun,11-16,18,Gallup,DT,34,6.5,39,2,24.5,-8,,,,,-5,4.5,
,Jun,12,14,Harris,OB,31,,40,,25,,,,,,-9,,
,Jun,12-16,18,Marplan,GU,33,5,39,0,26,-4,,,,,-6,5,
,Jun,20-24,30,MORI,ES,34,2,40,0,23,-3,,,,,-6,2,
,Jul,?-14,,NOP,,36.3,2.3,36.4,0.3,25,-2.8,,,,,-0.1,2,
,Jul,9-14,16,Gallup,DT,33,-1,38,-1,27,2.5,,,,,-5,0,
,Jul,10-14,16,Marplan,GU,31,-2,38,-1,28,2,,,,,-7,-1,
,Jul,18-22,28,MORI,ES,36,2,37,-3,25,2,,,,,-1,5,
,Jul,25-29,3,Marplan,Today on S,29.5,-1.5,41,3,27.5,-0.5,,,,,-11.5,-4.5,
,Jul,30-31,,MORI,TT-ITN,32,-4,41,4,25,0,,,,,-9,-8,
,Aug,6-11,13,Gallup,DT,30,-3,36.5,-1.5,30,3,,,,,-6.5,-1.5,
