Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,
,Jan,15-16,15/01/2016,17,Survation,MoS,37,0,30,0,7,1,16,0,3,0,7,0,Internet
,Jan,15-17,15/01/2016,18,ICM,Gu,40,1,35,1,6,-1,10,0,3,0,5,0,Phone
,Jan,15-18,15/01/2016,,Sky,,,,,,,,,,,,,,Internet
,Jan,22-24,22/01/2016,30,ComRes,DM,37,0,32,-1,6,-1,12,1,4,-1,5,1,Phone
,Jan,23-25,23/01/2016,28,Ipsos MORI,ES,40,2,31,0,7,-2,11,2,4,-2,9,2,Phone
,Jan,27-28,27/01/2016,31,YouGov,,39,0,30,1,6,0,17,0,3,0,9,-1,Internet
,Feb,3-4,03/02/2016,5,YouGov,TT,39,0,29,-1,6,0,18,1,3,0,10,1,Internet
,Feb,10-12,10/02/2016,13,ComRes,IoS/SM,41,1,27,-2,9,2,15,-1,3,0,14,3,Internet
,Feb,11-12,11/02/2016,15,YouGov,,,,,,,,,,,,,,Internet
,Feb,12-14,12/02/2016,16,ICM,Gu,39,-1,32,-3,7,1,11,1,4,1,7,2,Phone
,Feb,13-16,13/02/2016,17,Ipsos MORI,ES,39,-1,33,2,6,-1,12,1,3,-1,6,-3,Phone
,Feb,19-22,19/02/2016,24,ComRes,DM,38,1,31,-1,8,2,12,0,3,-1,7,2,Phone
,Feb,17-23,17/02/2016,24,BMG,,38,1,30,0,5,-2,16,1,5,1,8,1,Internet
,Feb,23-26,23/02/2016,,Sky,,,,,,,,,,,,,,Internet
,Mar,9-10,09/03/2016,12,ComRes,IoS/SM,38,-3,29,2,7,-2,16,1,4,1,9,-5,Internet
,Mar,11-13,11/03/2016,14,ICM,Gu,36,-3,36,4,8,1,11,0,3,-1,0,-7,Phone
,Mar,16-17,16/03/2016,17,YouGov,TT,33,-6,34,5,6,0,16,-2,3,0,-1,-11,Internet
,Mar,18-20,18/03/2016,24,ComRes,DM,37,-1,35,4,7,-1,9,-3,4,1,2,-5,Phone
,Mar,19-22,19/03/2016,24,Ipsos MORI,ES,36,-3,34,1,10,4,11,-1,3,0,2,-4,Phone
,Mar,24-29,25/03/2016,4,BMG,,36,-2,31,1,7,2,16,0,5,0,5,-3,Internet
,Mar,29-1,29/03/2016,3,Opinium,Ob,33,-5,32,2,5,0,17,1,4,-1,1,-7,Internet
,Apr,4-25,04/04/2016,,Sky,,,,,,,,,,,,,,Internet
,Apr,6-7,06/04/2016,,YouGov,,,,,,,,,,,,,,Internet
,Apr,11-12,11/04/2016,14,YouGov,TT,31,-2,34,0,8,2,17,1,3,0,-3,-2,Internet
,Apr,13-14,13/04/2016,17,ComRes,IoS/SM,35,-3,30,1,8,1,16,0,4,0,5,-4,Internet
,Apr,15-17,15/04/2016,18,ICM,Gu,38,2,33,-3,7,-1,13,2,3,0,5,5,Phone
,Apr,15-17,15/04/2016,18,ICM,Gu,36,,31,,7,,16,,4,,5,,Internet
,Apr,16-18,16/04/2016,20,Ipsos MORI,ES,38,2,35,1,6,-4,11,0,3,0,3,1,Phone
,Apr,22-26,22/04/2016,4,BMG,,33,-3,32,1,6,-1,18,2,5,0,1,-4,Internet
,Apr,25-26,25/04/2016,28,YouGov,TT,30,-1,33,-1,6,-2,20,3,3,0,-3,0,Internet
,Apr,26-29,26/04/2016,1,Opinium,Ob,38,5,30,-2,5,0,15,-2,4,0,8,7,Internet
,May,11-12,11/05/2016,15,ComRes,IoS/SM,36,1,30,0,8,0,17,1,4,0,6,1,Internet
,May,13-15,13/05/2016,16,ICM,Gu,36,-2,34,1,7,0,13,0,4,1,2,-3,Phone
,May,13-15,13/05/2016,16,ICM,Gu,34,-2,32,1,7,0,17,1,4,0,2,-3,Internet
,May,14-16,14/05/2016,18,Ipsos MORI,ES,36,-2,34,-1,8,2,10,-1,5,2,2,-1,Phone
,May,17-19,17/05/2016,20,Opinium,Ob,35,-3,30,0,5,0,18,3,5,1,5,-3,Internet
,May,20-25,20/05/2016,,BMG,,31,-2,32,0,8,2,17,-1,6,1,-1,-2,Internet
,May,27-29,27/05/2016,30,ICM,Gu,36,0,32,-2,7,0,15,2,3,-1,4,2,Phone
,May,27-29,27/05/2016,30,ICM,Gu,36,2,31,-1,7,0,17,0,4,0,5,3,Internet
,May,31-3,31/05/2016,3,Opinium,Ob,34,-1,30,0,6,1,18,0,4,-1,4,-1,Internet
,Jun,7-10,07/06/2016,10,Opinium,Ob,35,1,32,2,4,-2,18,0,4,0,3,-1,Internet
,Jun,10-13,10/06/2016,13,ICM,Gu,34,-2,33,1,9,2,14,-1,5,2,,,Phone
,Jun,10-13,10/06/2016,13,ICM,Gu,34,-2,30,-1,8,1,19,2,4,0,4,-1,Internet
,Jun,10-15,10/06/2016,,BMG,,32,1,30,-2,7,-1,20,3,6,0,2,3,Internet
,Jun,11-14,11/06/2016,16,Ipsos MORI,ES,35,-1,34,0,9,1,10,0,4,-1,1,-1,Phone
,Jun,15-16,15/06/2016,18,ComRes,Ind/Sunday People,34,-2,29,-1,8,0,19,2,4,0,5,-1,Internet
,Jun,16-20,16/06/2016,,Sky,,,,,,,,,,,,,,Internet
,Jun,20-22,20/06/2016,22,Opinium,,34,-1,30,-2,6,2,19,1,4,0,4,1,Internet
,Jun,24-25,24/06/2016,26,Survation,MoS,32,-5,32,2,9,2,16,0,,,0,-7,Internet
,Jun,24-26,24/06/2016,27,ICM,Gu,36,2,32,2,7,-1,15,-4,5,1,4,0,Internet
,Jun,28-30,28/06/2016,1,Opinium,,34,0,29,-1,7,1,17,-2,4,0,5,1,Internet
,Jun,30-1,30/06/2016,3,Survation,MoS,35,3,30,-2,8,-1,16,0,3,,5,5,Internet
,Jul,1-2,01/07/2016,4,ICM,,37,1,30,-2,8,1,15,0,4,-1,7,3,Internet
,Jul,4-5,04/07/2016,6,Survation,Constitutional Research Council,36,,32,,9,,12,,,,4,,Phone
,Jul,8-10,08/07/2016,11,ICM,,38,1,30,0,8,0,15,0,4,0,8,1,Internet
,Jul,9-11,09/07/2016,13,Ipsos MORI,ES,36,1,35,1,11,2,8,-2,4,0,1,0,Phone
,Jul,13-15,13/07/2016,17,ICM,Sun on Sunday,39,1,29,-1,9,1,14,-1,4,0,10,2,Internet
,Jul,17-18,17/07/2016,20,YouGov,,40,10,29,-4,9,3,12,-8,3,0,11,14,Internet
,Jul,19-22,19/07/2016,23,Opinium,Ob,37,3,31,2,6,-1,15,-2,4,0,6,1,Internet
,Jul,20-25,20/07/2016,,Sky,,,,,,,,,,,,,,Internet
,Jul,22-24,22/07/2016,26,ICM,,43,4,27,-2,8,-1,13,-1,4,0,16,6,Internet
,Jul,22-26,22/07/2016,,BMG,,39,7,29,-1,8,1,13,-7,6,0,10,8,Internet
,Jul,25-26,25/07/2016,27,YouGov,TT,40,0,28,-1,8,-1,13,1,4,1,12,1,Internet
,Aug,1-2,01/08/2016,4,YouGov,TT,42,2,28,0,8,0,12,-1,3,-1,14,2,Internet
,Aug,5-8,05/08/2016,11,TNS BMRB,,39,,26,,10,,,,7,,13,,Internet
