Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,
,May,9-10,09/05/2017,11,YouGov,TT,46,-1,30,2,11,0,5,-1,2,0,16,-3,Internet
,May,9-12,09/05/2017,14,Opinium,Ob,47,1,32,2,8,-1,5,-2,2,0,15,-1,Internet
,May,10-11,10/05/2017,14,ORB,STel  ,46,0,32,1,8,-1,6,-2,,,14,-1,Internet
,May,10-12,10/05/2017,14,ComRes,IoS/SM,48,-2,30,5,10,-1,5,-2,3,0,18,-7,Internet
,May,11-12,11/05/2017,14,YouGov,ST,49,3,31,1,9,-2,3,-2,2,0,18,2,Internet
,May,11-15,11/05/2017,18,Kantar TNS,,47,3,29,1,8,-3,6,-2,4,2,18,2,Internet
,May,12-13,12/05/2017,15,Survation,GMB,48,1,30,0,8,1,4,-1,2,-1,18,1,Phone
,May,12-14,12/05/2017,15,ICM,Gu,48,-1,28,1,10,1,6,0,3,0,20,-2,Internet
,May,12-15,12/05/2017,18,Panelbase,,47,-1,33,2,7,-1,5,0,3,1,14,-3,Internet
,May,16-17,16/05/2017,18,YouGov,TT,45,-4,32,1,8,-1,6,3,2,0,13,-5,Internet
,May,15-17,15/05/2017,18,Ipsos MORI,ES,49,0,34,8,7,-6,2,-2,3,2,15,-8,Phone
,May,16-17,16/05/2017,20,Opinium,Ob,46,-1,33,1,8,0,5,0,2,0,13,-2,Internet
,May,17-18,17/05/2017,20,ORB,STel  ,46,0,34,2,7,-1,7,1,,,12,-2,Internet
,May,18-19,18/05/2017,21,YouGov,ST,44,-1,35,3,9,1,3,-3,2,0,9,-4,Internet
,May,18-22,18/05/2017,26,Kantar TNS,,42,-5,34,5,9,1,4,-2,3,-1,8,-10,Internet
,May,19-20,19/05/2017,21,Survation,MoS,46,6,34,5,8,-3,3,-8,1,-1,12,1,Internet
,May,19-20,19/05/2017,22,Survation,GMB,43,-5,34,4,8,0,4,0,2,0,9,-9,Phone
,May,19-21,19/05/2017,22,ICM,Gu,47,-1,33,5,9,-1,4,-2,2,-1,14,-6,Internet
,May,19-22,19/05/2017,,BMG,,,,,,,,,,,,,,Internet
,May,19-23,19/05/2017,31,Panelbase,,48,1,33,0,7,0,4,-1,2,-1,15,1,Internet
,May,22-23,22/05/2017,,YouGov,,,,,,,,,,,,,,
,May,23-24,23/05/2017,27,Opinium,Ob,45,-1,35,2,7,-1,5,0,2,0,10,-3,Internet
,May,24-25,24/05/2017,26,YouGov,TT,43,-1,38,3,10,1,4,1,1,-1,5,-4,Internet
,May,24-25,24/05/2017,26,SurveyMonkey,Sun  ,44,,36,,6,,5,,1,,8,,Internet
,May,24-25,24/05/2017,27,ORB,STel  ,44,-2,38,4,7,0,5,-2,,,6,-6,Internet
,May,24-26,24/05/2017,27,ICM,Sun on Sunday,46,-1,32,-1,8,-1,5,1,2,0,14,0,Internet
,May,24-26,24/05/2017,27,ComRes,IoS/SM,46,-2,34,4,8,-2,5,0,2,-1,12,-6,Internet
,May,24-30,23/05/2017,31,YouGov,,41,,38,,9,,4,,2,,3,,Internet
,May,25-26,25/05/2017,27,YouGov,ST,43,0,36,-2,9,-1,4,0,2,1,7,2,Internet
,May,25-30,25/05/2017,31,Kantar TNS,,43,1,33,-1,11,2,4,0,3,0,10,2,Internet
,May,25-31,24/05/2017,1,YouGov,,42,1,38,0,9,0,3,-1,2,0,4,1,Internet
,May,26-27,26/05/2017,30,Survation,GMB,43,0,37,3,8,0,4,0,1,-1,6,-3,Phone
,May,26-29,26/05/2017,30,ICM,Gu,45,-1,33,1,8,0,5,0,3,1,12,-2,Internet
,May,26-29,26/05/2017,31,Qriously,,43,-1,38,9,6,-3,5,-3,2,-2,5,-10,Mobile
,May,26-1,26/05/2017,1,Panelbase, ,44,-4,36,3,7,0,5,1,2,0,8,-7,Internet
,May,26-1,26/05/2017,2,YouGov,,42,0,38,0,9,0,3,0,2,0,4,0,Internet
,May,27-2,27/05/2017,3,YouGov,,42,0,38,0,9,0,3,0,2,0,4,0,Internet
,May,29-30,29/05/2017,,YouGov,,,,,,,,,,,,,,Internet
,May,29-4,29/05/2017,5,YouGov,,42,0,38,0,9,0,3,0,2,0,4,0,Internet
,May,30-31,30/05/2017,1,YouGov,TT,42,-1,39,3,7,-2,4,0,2,0,3,-4,Internet
,May,30-31,30/05/2017,4,Opinium,Ob,43,-2,37,2,6,-1,5,0,2,0,6,-4,Internet
,May,30-1,30/05/2017,2,Ipsos MORI,ES,45,-4,40,6,7,0,2,0,2,-1,5,-10,Phone
,May,30-5,30/05/2017,,SurveyMonkey,Sun,43,-1,38,2,6,0,4,-1,2,1,5,-3,Internet
,May,30-5,30/05/2017,6,YouGov,,42,0,38,0,9,0,4,1,2,0,4,0,Internet
,May,31-1,31/05/2017,4,ORB,STel  ,45,1,36,-2,8,1,4,-1,,,9,3,Internet
,May,31-1,31/05/2017,4,Norstat,S Express,39,-3,35,9,8,-2,6,-2,3,-3,4,-12,
,May,31-2,31/05/2017,4,ComRes,Ios/SM,47,1,35,1,8,0,4,-1,1,-1,12,0,Internet
,May,31-2,31/05/2017,4,ICM,Sun on Sunday,45,0,34,1,9,1,5,0,3,0,11,-1,Internet
,May,31-6,31/05/2017,,YouGov,,42,0,38,0,9,0,3,-1,2,0,4,0,Internet
,Jun,1-2,01/06/2017,4,YouGov,ST,42,0,38,-1,9,2,4,0,2,0,4,1,Internet
,Jun,1-7,01/06/2017,7,Kantar TNS,,43,0,38,5,7,-4,4,0,2,-1,5,-5,Internet
,Jun,2-3,02/06/2017,6,Survation,GMB,42,-1,40,3,6,-2,3,-1,,,2,-4,Phone
,Jun,2-4,02/06/2017,5,ICM,Gu,45,0,34,0,8,-1,5,0,3,0,11,0,Internet
,Jun,2-5,02/06/2017,,BMG,,,,,,,,,,,,,,Internet
,Jun,2-7,02/06/2017,7,Panelbase,,44,0,36,0,7,0,5,0,2,0,8,0,Internet
,Jun,3,03/06/2017,4,Survation,MoS,40,-6,39,5,8,0,5,2,,,1,-11,Internet
,Jun,4-6,04/06/2017,6,Opinium,,43,0,36,-1,8,2,5,0,2,0,7,1,Internet
,Jun,4-6,04/06/2017,7,SurveyMonkey,Sun,42,-1,38,0,6,0,4,0,2,0,4,-1,Internet
,Jun,4-7,04/06/2017,7,Qriously,,39,-4,41,3,8,2,4,-1,1,-1,-2,-7,Mobile
,Jun,5-7,05/06/2017,7,ComRes,Ind,44,-3,34,-1,9,1,5,1,2,1,10,-2,Internet
,Jun,5-7,05/06/2017,7,YouGov,TT,42,0,35,-3,10,1,5,1,2,0,7,3,Internet
,Jun,6-7,06/06/2017,7,ICM,Gu,46,1,34,0,7,-1,5,0,2,-1,12,1,Internet
,Jun,6-7,06/06/2017,8,BMG,The Herald,46,,33,,8,,5,,3,,13,,Phone and internet
,Jun,6-7,06/06/2017,7,Survation,,41,-1,40,0,8,2,2,-1,2,,1,-1,Phone
,Jun,6-7,06/06/2017,8,Ipsos MORI,ES,44,-1,36,-4,7,0,4,2,2,0,8,3,Phone
,Jun,7-8,07/06/2017,,Sky,,,,,,,,,,,,,,Internet
