Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,
1955,Jun,,,Gallup,News Chron,,,,,,,,,
,Jul,2-13,,Gallup,News Chron,47,,43,,9,,4,,
,Aug,,,Gallup,News Chron,44.5,-2.5,47.5,4.5,7,-2,-3,-7,
,Sep,9-19,,Gallup,News Chron,48,3.5,44,-3.5,7,0,4,7,
,Oct,19-26,,Gallup,News Chron,46.5,-1.5,44.5,0.5,8,1,2,-2,
,Dec,24-4,,Gallup,News Chron,44.5,-2,45.5,1,9,1,-1,-3,
,Dec,17-30,,Gallup,News Chron,45.5,1,46.5,1,7.5,-1.5,-1,0,
1956,Jan,14-26,,Gallup,News Chron,45.5,0,46.5,0,7.5,0,-1,0,
,Feb,11-20,,Gallup,News Chron,44,-1.5,46,-0.5,9,1.5,-2,-1,
,Apr,24-4,,Gallup,News Chron,44.5,0.5,47.5,1.5,7,-2,-3,-1,
,Apr,20-29,,Gallup,News Chron,43,-1.5,48,0.5,8,1,-5,-2,
,May,19-27,,Gallup,News Chron,43,0,47,-1,9,1,-4,1,
,Jun,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup
,Jul,13-23,,Gallup,News Chron,42,,49,,8,,-7,,
,Aug,16-24,,Gallup,News Chron,43.5,1.5,49.5,0.5,6,-2,-6,1,
,Sep,7-18,,Gallup,News Chron,43,-0.5,46.5,-3,10,4,-3.5,2.5,
,Oct,,,Gallup,News Chron,42.5,-0.5,47,0.5,9.5,-0.5,-4.5,-1,
,Nov,10-11,,Gallup,News Chron,46,3.5,45,-2,8,-1.5,1,5.5,
,Nov,22-25,,Gallup,News Chron,45,-1,46,1,8.5,0.8,-1,-2,
,Dec,1-2,,Gallup,News Chron,45,0,46,0,8,-0.8,-1,0,
1957,Jan,12-13,,Gallup,News Chron,43.5,-1.5,48.5,2.5,7,-1,-5,-4,
,Feb,,,Gallup,News Chron,42,-1.5,48,-0.5,8.5,1.5,-6,-1,
,Mar,15-22,,Gallup,News Chron,40,-2,51.5,3.5,7.5,-1,-11.5,-5.5,
,Apr,12-16,,Gallup,News Chron,41,1,51,-0.5,7,-0.5,-10,1.5,
,Jun,24-1,,Gallup,News Chron,41.5,0.5,50,-1,7.5,0.5,-8.5,1.5,
,Jun,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup
,Jul,5-11,,Gallup,News Chron,41.5,,49.5,,8,,-8,,
,Aug,16-27,,Gallup,News Chron,41.5,0,49,-0.5,8.5,0.5,-7.5,0.5,
,Sep,29-10,,Gallup,News Chron,40.5,-1,48.5,-0.5,10,1.5,-8,-0.5,
,Sep,19-25,,Gallup,News Chron,33.5,-7,52,3.5,14,4,-18.5,-10.5,
,Oct,4-8,,Gallup,News Chron,37,3.5,49,-3,13,-1,-12,6.5,
,Nov,2-6,,Gallup,News Chron,36,-1,48.5,-0.5,14.5,1.5,-12.5,-0.5,
,Nov,22-26,,Gallup,News Chron,38.5,2.5,49,0.5,12,-2.5,-10.5,2,
,Dec,,,Gallup,News Chron,41.5,3,47.5,-1.5,9.5,-2.5,-6,4.5,
1958,Jan,17-23,,Gallup,News Chron,40,-1.5,47.5,0,12,2.5,-7.5,-1.5,
,Feb,14-19,,Gallup,News Chron,36,-4,44.5,-3,18.5,6.5,-8.5,-1,
,Mar,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup
,Apr,19-23,,Gallup,News Chron,38,,46.5,,15,,-8.5,,
,May,3-7,,Gallup,News Chron,34,-4,47,0.5,19,4,-13,-4.5,
,May,30-6,,Gallup,News Chron,39,5,45.5,-1.5,15,-4,-6.5,6.5,
,Jun,20-25,,Gallup,News Chron,39.5,0.5,43,-2.5,17,2,-3.5,3,
,Jul,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup
,Aug,1-6,,Gallup,News Chron,42.5,,42,,15,,0.5,,
,Sep,19-23,,Gallup,News Chron,44,1.5,43,1,13,-2,1,0.5,
,Oct,10-14,,Gallup,News Chron,45.5,1.5,41.5,-1.5,12,-1,4,3,
,Nov,,,Gallup,News Chron,46.5,1,42.5,1,10,-2,4,0,
,Dec,6-10,,Gallup,News Chron,47,0.5,42.5,0,9.5,-0.5,4.5,0.5,
1959,Jan,10-14,,Gallup,News Chron,45.5,-1.5,45,2.5,8.5,-1,0.5,-4,
,Jan,24-28,,Gallup,News Chron,44.5,-1,46.5,1.5,8.5,0,-2,-2.5,
,Feb,,,Gallup,News Chron,43,-1.5,47,0.5,8.5,0,-4,-2,
,Mar,13-18,,Gallup,News Chron,45.5,2.5,47,0,6.5,-2,-1.5,2.5,
,Apr,10-15,,Gallup,News Chron,44.5,-1,44,-3,10,3.5,0.5,2,
,May,,,Gallup,News Chron,,,,,,,,,Poll conducted but results lost by Gallup
,Jun,6-10,,Gallup,News Chron,45,,43.5,,11,,1.5,,
,Jul,4-7,,Gallup,News Chron,45.5,0.5,41.5,-2,12.5,1.5,4,2.5,
,Jul,17-22,,Gallup,News Chron,46,0.5,42,0.5,11,-1.5,4,0,
,Jul,23-27,,Gallup,News Chron,46.5,0.5,43,1,9.5,-1.5,3.5,-0.5,
,Aug,7-12,,Gallup,News Chron,47.5,1,41.5,-1.5,10,0.5,6,2.5,
,Sep,,8,Gallup,News Chron,48.3,,41.9,,9.3,,6.4,,
