Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,
,Oct,,,ORC,ES,,,,,,,-17,-8
,Nov,2-7,,NOP,DM,49.3,-4.1,38.2,3.3,9.3,1,11.1,-7.4
,Nov,10-15,,Gallup,DT,55,7,30,-6.5,11.5,0,25,13.5
,Nov,23-28,,NOP,DM,55.2,5.9,31.3,-6.9,9.4,0.1,23.9,12.8
,Dec,8-13,,Gallup,DT,49.5,-5.5,34,4,11.5,0,15.5,-9.5
,Dec,8-14,,NOP,DM,47.9,-7.3,38.4,7.1,10.6,1.2,9.5,-14.4
1977,Jan,12-17,,Gallup,DT,47,-2.5,34,0,14.5,3,13,-2.5
,Jan,,26,NOP,DM,48.4,0.5,36.8,-1.6,10.2,-0.4,11.6,2.1
,Jan,,2,NOP,DM,50,1.6,35.1,-1.7,11.2,1,14.9,3.3
,Feb,9-14,,Gallup,DT,46,-1,33.5,-0.5,14,-0.5,12.5,-0.5
,Feb,,16,NOP,DM,50.2,0.2,36.1,1,10,-1.2,14.1,-0.8
,Feb,,23,NOP,DM,47.3,-2.9,37.4,1.3,10.9,0.9,9.9,-4.2
,Mar,9-14,,Gallup,DT,49.5,3.5,33,-0.5,13,-1,16.5,4
,Mar,,,MORI,DE,47,,38,,12,,9,
,Mar,,23,NOP,DM,50.9,3.6,35.7,-1.7,9.7,-1.2,15.2,5.3
,Apr,13-18,,Gallup,DT,49,-0.5,33.5,0.5,11.5,-1.5,15.5,-1
,Apr,,20,NOP,DM,49.4,-1.5,38.3,2.6,9.1,-0.6,11.1,-4.1
,May,,11,NOP,DM,52.9,3.5,36.9,-1.4,7.2,-1.9,16,4.9
,May,11-16,,Gallup,DT,53.5,4.5,33,-0.5,8.5,-3,20.5,5
,May,,2,NOP,DM,48.3,-4.6,41,4.1,6.6,-0.6,7.3,-8.7
,Jun,9-13,,Gallup,DT,47.5,-6,37,4,10.5,2,10.5,-10
,Jun,,22,NOP,DM,49.1,0.8,37.1,-3.9,10.8,4.2,12,4.7
,Jul,,13,NOP,DM,53.1,4,35.1,-2,8.4,-2.4,18,6
,Jul,13-18,,Gallup,DT,49,1.5,34.5,-2.5,10.5,0,14.5,4
,Aug,,10,NOP,DM,51.3,-1.8,38.2,3.1,7.1,-1.3,13.1,-4.9
,Aug,10-15,,Gallup,DT,48.5,-0.5,37.5,3,9,-1.5,11,-3.5
,Aug,,,MORI,,,,,,,,10,
,Sep,7-12,,Gallup,DT,45.5,-3,41,3.5,8.5,-0.5,4.5,-6.5
,Sep,,14,NOP,DM,48,-3.3,41.8,3.6,7.3,2,6.2,-6.9
,Sep,21-22,,MORI,DE,49,,42,,5,,7,
,Sep,,,MORI,,,,,,,,7,-3
,Oct,,19,NOP,DM,44.1,-3.9,45.8,4,7.3,0,-1.7,-7.9
,Oct,19-24,,Gallup,DT,45,-0.5,45,4,8,-0.5,0,-4.5
,Oct,,26,NOP,DM,46.7,2.6,43,-2.8,6.9,-0.4,3.7,5.4
,Oct,25-26,,MORI,DE,45,-4,44,2,7,2,1,-6
,Oct,,,MORI,,,,,,,,1,-6
,Nov,,9,NOP,DM,45.5,-1.2,44.1,1.1,7,0.1,1.4,-2.3
,Nov,9-14,,Gallup,DT,45.5,0.5,42,-3,8.5,0.5,3.5,3.5
,Nov,,16,NOP,DM,42.5,-3,48.5,4.4,6.2,-0.8,-6,-7.4
,Nov,,23,NOP,DM,46.7,4.2,44.3,-4.2,6.2,0,2.4,8.4
,Nov,,30,NOP,DM,43.2,-3.5,47.5,3.2,6.3,0.1,-4.3,-6.7
,Dec,,7,NOP,DM,44.6,1.4,44.1,-3.4,7.5,1.2,0.5,4.8
,Dec,7-12,,Gallup,DT,44,-1.5,44.5,2.5,8,-0.5,-0.5,-4
,Dec,,14,NOP,DM,40.8,-3.8,48.8,4.7,7,-0.5,-8,-8.5
1978,Jan,11-16,,Gallup,DT,43.5,-0.5,43.5,-1,8.5,0.5,0,0.5
,Jan,15-18,,NOP,DM,44,3.2,45.5,-3.3,7.5,0.5,-1.5,6.5
,Jan,,,MORI,,,,,,,,1,0
,Feb,4-7,,NOP,DM,50,6,39,-6.5,7,-0.5,11,12.5
,Feb,8-13,,Gallup,DT,48,4.5,39,-4.5,9,0.5,9,9
,Feb,,15,NOP,DM,45.3,-4.7,44.6,5.6,7.1,0.1,0.7,-10.3
,Mar,,8,NOP,DM,44.6,-0.7,45.6,1,7.3,0.2,-1,-1.7
,Mar,15-20,,Gallup,DT,48,0,41,2,8,-1,7,-2
,Apr,,12,NOP,DM,46.2,1.6,44.5,-1.1,6.6,-0.7,1.7,2.7
,Apr,12-13,,MORI,DE,46,,44,,7,,2,1
,Apr,13-17,,Gallup,DT,45.5,-2.5,43.5,2.5,7.5,-0.5,2,-5
,May,,9,NOP,DM,43.1,-3.1,48,3.5,7,0.4,-4.9,-6.6
,May,11-15,,Gallup,DT,43.5,-2,43.5,0,8.5,1,0,-2
,May,24,,MORI,DE,45,-1,46,2,6,-1,-1,-3
,Jun,7-12,,Gallup,DT,45.5,2,45.5,2,6,-2.5,0,0
,Jun,,14,NOP,DM,49.1,6,42.3,-5.7,6.3,-0.7,6.8,11.7
,Jun,13,,MORI,DE,46,1,45,-1,6,0,1,2
,Jul,,5,NOP,DM,46.5,-2.6,44.4,2.1,6.3,0,2.1,-4.7
,Jul,11,,MORI,DE,49,3,41,-4,6,0,8,7
,Jul,,,MORI,DE,48,-1,42,1,6,0,6,-2
,Jul,12-17,,Gallup,DT,45,-0.5,43,-2.5,8.5,2.5,2,2
,Aug,,9,NOP,DM,42.4,-4.1,48.5,4.1,6.3,0,-6.1,-8.2
,Aug,14,,MORI,DE,47,-1,44,2,6,0,3,-3
,Aug,9-14,,Gallup,DT,43.5,-1.5,47.5,4.5,6,-2.5,-4,-6
,Sep,,5,NOP,DM,48,5.6,45.8,-2.7,4.8,-1.5,2.2,8.3
,Sep,4,,MORI,DE,47,0,45,1,5,-1,2,-1
,Sep,6-11,,Gallup,DT,49.5,6,42.5,-5,6,0,7,11
,Sep,11,,MORI,DE,48,1,42,-3,8,3,6,4
,Oct,,12,NOP,DM,44.2,-3.8,48.5,2.7,4.7,-0.1,-4.3,-6.5
,Oct,17-23,,Gallup,DT,42,-7.5,47.5,5,7.5,1.5,-5.5,-12.5
,Nov,8,,MORI,DE,47,-1,46,4,5,-3,1,-5
,Nov,,9,NOP,DM,44.8,0.6,46.8,-1.7,6.2,1.5,-2,2.3
,Nov,8-13,,Gallup,DT,43,1,48,0.5,6.5,-1,-5,0.5
,Dec,5-11,,Gallup,DT,48,5,42.5,-5.5,6,-0.5,5.5,10.5
,Dec,7-13,7,NOP,DM,44.7,-0.1,47.9,1.1,4.6,-1.6,-3.2,-1.2
1979,Jan,,4,NOP,DM,42.5,-2.2,49.1,1.2,5.7,1.1,-6.6,-3.4
,Jan,10-15,,Gallup,DT,49,1,41.5,-1,6,0,7.5,2
,Jan,30-1,6,MORI,DE,55,8,36,-10,6,1,19,18
,Feb,3,,NOP,DM,53,10.5,35,-14.1,8,2.3,18,24.6
,Feb,,8,NOP,DM,49,-4,40.7,5.7,7.4,-0.6,8.3,-9.7
,Feb,7-12,,Gallup,DT,53,4,33,-8.5,11,5,20,12.5
,Mar,3-5,,MORI,DE,52,-3,39,3,7,1,13,-6
,Mar,7-12,,Gallup,DT,51.5,-1.5,37,4,8.5,-2.5,14.5,-5.5
,Mar,21-28,,Gallup,DT,47.5,-4,40.5,3.5,9,0.5,7,-7.5
,Mar,28-2,5,Gallup,DT,49,1.5,38.5,-2,9,0,10.5,3.5
,Mar,29,29,MORI,Thames,51,-1,42,3,5,-2,9,-4
,Mar,30-31,,Marplan,LWT,55,,40,,4,,15,
,Apr,1-2,4,MORI,DE,51,0,38,-4,10,5,13,4
,Apr,2-3,6,NOP,DM,48,-1,42,1.3,8,0.7,6,-2.3
,Apr,3-4,8,Research Srv,Ob,54.5,,33.5,,9,,21,
,Apr,4-6,8,MORI,ST ,50,,40,,10,,10,
,Apr,6-7,,Marplan,LWT,54,-1,41,1,5,1,13,-2
,Apr,6-9,12,Gallup,DT,50,1,40,1.5,8,-1,10,-0.5
,Apr,8-9,11,MORI,DE,49,-2,39,1,10,0,10,-3
,Apr,10-11,15,Research Srv,Ob,53,-1.5,37,3.5,8,-1,16,-5
,Apr,13-14,17,NOP,DM,48,0,42,0,8,0,6,0
,Apr,14-18,22,Gallup,STel,47.5,-2.5,42,2,9,1,5.5,-4.5
,Apr,17,19,MORI,DE,50,1,38,-1,10,0,12,2
,Apr,17-18,20,Marplan,Sun,51,,41,,6,,10,
,Apr,17-18,22,Research Srv,Ob,54,1,34,-3,9.5,1.5,20,4
,Apr,17-19,22,MORI,ST ,49,-1,40,0,9,-1,9,-1
,Apr,18-19,23,Marplan,Sun,50,-1,40,-1,9,3,10,0
,Apr,19-21,25,Gallup,DT,46.5,-1,41.5,-0.5,10,1,5,-0.5
,Apr,20-21,,Marplan,LWT,53,-1,41,0,6,1,12,-1
,Apr,21-23,25,MORI,DE,46,-4,40,2,11,1,6,6
,Apr,23-25,29,Gallup,STel,48,1.5,40,-1.5,10.5,0.5,8,3
,Apr,24-25,29,Research Srv,Ob,49.5,-4.5,38,4,10,0.5,11.5,-8.5
,Apr,24-26,29,MORI,ST ,47,-2,42,2,9,0,5,-4
,Apr,25,27,Marplan,Sun,48,-2,40,0,10,1,8,-2
,Apr,26,28,MORI,DE,44,-2,41,1,12,1,3,-3
,Apr,27-28,,Marplan,LWT,53,0,40,-1,7,1,13,1
,Apr,29-30,1,NOP,DM,42.4,-5.6,43.1,1.1,12.2,4.2,-0.7,-6.7
,Apr,29-1,3,MORI,DE,44.4,,38.8,,13.5,,5.6,2.6
,Apr,30-1,3,Gallup,DT,43,-5,41,1,13.5,3,2,-6
,May,1,3,Marplan,Sun,45,-3,38.5,-1.5,13.5,3.5,6.5,-1.5
,May,1-2,3,NOP,DM,46,3.6,39,-4.1,12.5,0.3,7,7.7
,May,2,3,MORI,ES,45,1,37,-4,15,3,8,5
,May,2-3,4,Gallup,BBC,45.6,2.6,37.9,-3.1,13.5,0,7.7,5.7
,May,3,3,ORC,ITN,44,,38,,14,,6,
