Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,,Con lead,,
,Apr,27-28,27/04/2020,1,Survation,,48,,31,,8,,5,,1,,,,17,,Internet
,Apr,29-1,29/04/2020,3,Opinium,Ob,51,1,33,0,6,-1,3,0,0,0,1,0,18,1,Internet
,May,2-3,02/05/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,May,5-6,05/05/2020,7,YouGov,,50,-3,30,-2,7,2,5,2,3,2,,,20,-1,Internet
,May,5-7,05/05/2020,10,Opinium,Ob,49,-2,33,0,6,0,5,2,0,0,1,0,16,-2,Internet
,May,6,06/05/2020,6,R+W,,50,0,31,-2,7,0,5,1,,,,,19,2,Internet
,May,7-11,07/05/2020,14,Kantar,,51,-3,32,4,7,-2,2,-2,2,1,0,0,19,-7,Internet
,May,8-10,08/05/2020,12,YouGov,,,,,,,,,,,,,,,,Internet
,May,13-14,13/05/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,May,13-14,13/05/2020,17,Opinium,Ob,49,0,34,1,6,0,3,-2,0,0,1,0,15,-1,Internet
,May,15,15/05/2020,18,R+W,,47,-3,35,4,9,2,3,-2,,,,,12,-7,Internet
,May,15-17,15/05/2020,21,Savanta ComRes,,46,-1,33,2,7,-2,4,0,2,-1,,,13,-3,Internet
,May,15-18,15/05/2020,22,Ipsos,,,,,,,,,,,,,,,,Internet
,May,16-18,16/05/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,May,18-19,18/05/2020,,YouGov,,48,-2,33,3,6,-1,5,0,2,-1,,,15,-5,Internet
,May,21-22,21/05/2020,24,Opinium,Ob,47,-2,35,1,6,0,3,0,0,0,2,1,12,-3,Internet
,May,22-26,22/05/2020,26,Survation,,46,-2,33,2,8,0,4,-1,0,-1,,,13,-4,Internet
,May,23-25,23/05/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,May,25-26,25/05/2020,27,YouGov,,44,-4,38,5,6,0,4,-1,2,0,,,6,-9,Internet
,May,26-27,26/05/2020,29,YouGov,Datapraxis,43,,38,,6,,4,,3,,,,5,,Internet
,May,27,27/05/2020,27,R+W,,43,-4,37,2,9,0,3,0,,,,,6,-6,Internet
,May,27-28,27/05/2020,31,Deltapoll,MoS,43,,38,,8,,4,,2,,,,5,,Internet
,May,27,27/05/2020,29,R+W,NS,,,,,,,,,,,,,,,Internet
,May,28-29,28/05/2020,31,Opinium,Ob,43,-4,39,4,6,0,3,0,0,0,1,-1,4,-8,Internet
,May,29-30,29/05/2020,1,YouGov,TT,45,1,35,-3,6,0,5,1,2,0,,,10,4,Internet
,May,29-3,29/05/2020,5,Ipsos,,,,,,,,,,,,,,,,Internet
,Jun,1-2,01/06/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Jun,3,03/06/2020,4,R+W,,43,0,36,-1,9,0,5,2,,,,,7,1,Internet
,Jun,3,03/06/2020,4,R+W,MailOnline,,,,,,,,,,,,,,,Internet
,Jun,3,03/06/2020,7,Survation,,41,-5,39,6,7,-1,4,0,1,1,,,2,-11,Internet
,Jun,4-5,04/06/2020,7,Deltapoll,,41,-2,38,0,8,0,4,0,3,1,,,3,-2,Internet
,Jun,4-5,04/06/2020,7,Opinium,Ob,43,0,40,1,6,0,3,0,0,0,2,1,3,-1,Internet
,Jun,5-10,05/06/2020,12,Ipsos,ES,43,-9,38,8,10,1,3,-1,0,0,,,5,-17,Phone
,Jun,6-8,06/06/2020,9,YouGov,,,,,,,,,,,,,,,,Internet
,Jun,9-10,09/06/2020,11,Survation,,42,1,36,-3,8,1,4,0,1,0,,,6,4,Internet
,Jun,10-11,10/06/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Jun,11,11/06/2020,13,R+W,,41,-2,39,3,9,0,4,-1,,,,,2,-5,Internet
,Jun,11-12,11/06/2020,13,YouGov,,45,0,37,2,6,0,4,-1,2,0,,,8,-2,Internet
,Jun,11-12,11/06/2020,14,Opinium,Ob,44,1,39,-1,6,0,2,-1,,,1,-1,5,2,Internet
,Jun,11-15,11/06/2020,17,Kantar,,43,-8,35,3,8,1,4,2,2,0,1,1,8,-11,Internet
,Jun,12-14,12/06/2020,18,Savanta ComRes,DT,40,-6,36,3,9,2,3,-1,3,1,,,4,-9,Internet
,Jun,13-15,13/06/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Jun,15-16,15/06/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Jun,18,18/06/2020,19,R+W,,43,2,38,-1,8,-1,4,0,,,,,5,3,Internet
,Jun,18-19,18/06/2020,20,Opinium,Ob,44,0,40,1,5,-1,3,1,,,1,0,4,-1,Internet
,Jun,20-22,20/06/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Jun,24-25,24/06/2020,26,Survation,,43,1,36,0,8,0,4,0,0,-1,,,7,1,Internet
,Jun,25,25/06/2020,27,R+W,,,,,,,,,,,,,,,,Internet
,Jun,25,26/06/2020,26,R+W,,44,1,38,0,7,-1,4,0,,,,,6,1,Internet
,Jun,25-26,25/06/2020,27,Opinium,Ob,43,-1,39,-1,6,1,4,1,,,,,4,0,Internet
,Jun,26-28,26/06/2020,,YouGov,TT,45,0,37,0,5,-1,4,0,2,0,,,8,0,Internet
,Jun,27-29,27/06/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Jun,29-30,29/06/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Jul,1,01/07/2020,2,R+W,Election Maps UK,42,-2,38,0,8,1,5,1,,,,,4,-2,Internet
,Jul,1-3,01/07/2020,5,Opinium,Ob,41,-2,37,-2,8,2,4,0,0,,2,,4,0,Internet
,Jul,3-6,03/07/2020,7,Survation,,44,1,37,1,7,-1,4,0,0,0,,,7,1,Internet
,Jul,4-6,04/07/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Jul,7-8,07/07/2020,,YouGov,,,,,,,,,,,,,,,,Internet
